X,Y,Z
8.65867,6.93582,0
8.66299,6.9344,0
8.66731,6.93297,0
8.67163,6.93152,0
8.67593,6.93005,0
8.68024,6.92857,0
8.68453,6.92707,0
8.68882,6.92556,0
8.6931,6.92403,0
8.69738,6.92248,0
8.70165,6.92092,0
8.70592,6.91935,0
8.71018,6.91776,0
8.71443,6.91615,0
8.71867,6.91453,0
8.72291,6.9129,0
8.72715,6.91125,0
8.73138,6.90958,0
8.7356,6.9079,0
8.73981,6.9062,0
8.74402,6.90449,0
8.74823,6.90276,0
8.75242,6.90102,0
8.75661,6.89926,0
8.7608,6.89749,0
8.76497,6.8957,0
8.76915,6.8939,0
8.77331,6.89208,0
8.77747,6.89025,0
8.78163,6.8884,0
8.78577,6.88653,0
8.78991,6.88465,0
8.79405,6.88276,0
8.79817,6.88085,0
8.8023,6.87893,0
8.80641,6.87699,0
8.81052,6.87503,0
8.81462,6.87306,0
8.81872,6.87108,0
8.82281,6.86908,0
8.82689,6.86706,0
8.83097,6.86503,0
8.83504,6.86299,0
8.83911,6.86093,0
8.84316,6.85885,0
8.84722,6.85676,0
8.85126,6.85466,0
8.85529,6.85254,0
8.85933,6.8504,0
8.86336,6.84825,0
8.86737,6.84609,0
8.8714,6.84391,0
8.8754,6.84171,0
8.8794,6.8395,0
8.8834,6.83728,0
8.88739,6.83504,0
8.89136,6.83279,0
8.89534,6.83052,0
8.89931,6.82823,0
8.90328,6.82594,0
8.90723,6.82362,0
8.91118,6.82129,0
8.91512,6.81895,0
8.91906,6.81659,0
8.92299,6.81422,0
8.92692,6.81183,0
8.93084,6.80943,0
8.93475,6.80701,0
8.93865,6.80458,0
8.94255,6.80213,0
8.94644,6.79967,0
8.95033,6.7972,0
8.9542,6.79471,0
8.95808,6.7922,0
8.96194,6.78968,0
8.9658,6.78715,0
8.96965,6.7846,0
8.9735,6.78204,0
8.97734,6.77946,0
8.98117,6.77687,0
8.985,6.77426,0
8.98882,6.77164,0
8.99263,6.769,0
8.99644,6.76635,0
9.00024,6.76368,0
9.00403,6.76101,0
9.00782,6.75831,0
9.0116,6.7556,0
9.01538,6.75288,0
9.01914,6.75014,0
9.0229,6.74739,0
9.02666,6.74462,0
9.03041,6.74184,0
9.03415,6.73905,0
9.03788,6.73624,0
9.04161,6.73341,0
9.04533,6.73057,0
9.04905,6.72772,0
9.05276,6.72485,0
9.05646,6.72197,0
9.06015,6.71908,0
9.06384,6.71617,0
9.06752,6.71324,0
9.0712,6.71031,0
9.07486,6.70735,0
9.07853,6.70439,0
9.08218,6.7014,0
9.08583,6.69841,0
9.08947,6.6954,0
9.09311,6.69238,0
9.09674,6.68934,0
9.10036,6.68629,0
9.10397,6.68323,0
9.10758,6.68015,0
9.11118,6.67705,0
9.11478,6.67394,0
9.11836,6.67082,0
9.12195,6.66769,0
9.12552,6.66454,0
9.12909,6.66137,0
9.13265,6.6582,0
9.1362,6.655,0
9.13975,6.6518,0
9.14329,6.64858,0
9.14683,6.64535,0
9.15036,6.6421,0
9.15388,6.63884,0
9.15739,6.63556,0
9.1609,6.63227,0
9.1644,6.62897,0
9.16789,6.62565,0
9.17138,6.62232,0
9.17486,6.61898,0
9.17833,6.61562,0
9.1818,6.61225,0
9.18526,6.60887,0
9.18871,6.60547,0
9.19216,6.60206,0
9.1956,6.59863,0
9.19903,6.59519,0
9.20246,6.59174,0
9.20588,6.58827,0
9.20929,6.58479,0
9.2127,6.58129,0
9.21609,6.57779,0
9.21948,6.57427,0
9.22287,6.57073,0
9.22625,6.56718,0
9.22962,6.56362,0
9.23298,6.56005,0
9.23634,6.55646,0
9.23969,6.55286,0
9.24304,6.54924,0
9.24637,6.54561,0
9.2497,6.54197,0
9.25302,6.53832,0
9.25634,6.53465,0
9.25965,6.53097,0
9.26295,6.52727,0
9.26625,6.52356,0
9.26954,6.51984,0
9.27282,6.51611,0
9.27609,6.51236,0
9.27936,6.5086,0
9.28262,6.50482,0
9.28588,6.50104,0
9.28913,6.49723,0
9.29236,6.49342,0
9.2956,6.4896,0
9.29882,6.48576,0
9.30204,6.4819,0
9.30526,6.47804,0
9.30846,6.47416,0
9.31166,6.47027,0
9.31485,6.46637,0
9.31803,6.46245,0
9.32121,6.45851,0
9.32438,6.45457,0
9.32755,6.45062,0
9.3307,6.44665,0
9.33385,6.44266,0
9.33699,6.43867,0
9.34013,6.43466,0
9.34326,6.43064,0
9.34638,6.42661,0
9.3495,6.42256,0
9.3526,6.4185,0
9.35571,6.41443,0
9.3588,6.41035,0
9.36189,6.40625,0
9.36496,6.40214,0
9.36803,6.39803,0
9.3711,6.39389,0
9.37416,6.38974,0
9.37721,6.38558,0
9.38026,6.38141,0
9.38329,6.37722,0
9.38632,6.37303,0
9.38935,6.36882,0
9.39235,6.36461,0
9.39537,6.36036,0
9.39837,6.35611,0
9.40137,6.35186,0
9.40436,6.34759,0
9.40734,6.3433,0
9.41031,6.33901,0
9.41328,6.3347,0
9.41624,6.33038,0
9.41919,6.32605,0
9.42213,6.3217,0
9.42507,6.31734,0
9.428,6.31298,0
9.43093,6.30859,0
9.43384,6.3042,0
9.43675,6.2998,0
9.43966,6.29538,0
9.44255,6.29095,0
9.44544,6.28651,0
9.44832,6.28205,0
9.4512,6.27758,0
9.45406,6.27311,0
9.45692,6.26862,0
9.45977,6.26412,0
9.46261,6.25962,0
9.46546,6.25508,0
9.46829,6.25055,0
9.47111,6.246,0
9.47393,6.24143,0
9.47674,6.23686,0
9.47954,6.23227,0
9.48234,6.22768,0
9.48512,6.22308,0
9.4879,6.21846,0
9.49068,6.21383,0
9.49344,6.20919,0
9.4962,6.20453,0
9.49896,6.19986,0
9.5017,6.19519,0
9.50444,6.1905,0
9.50717,6.1858,0
9.50989,6.18109,0
9.51261,6.17637,0
9.51532,6.17163,0
9.51802,6.16689,0
9.52071,6.16213,0
9.5234,6.15736,0
9.52608,6.15258,0
9.52875,6.14779,0
9.53142,6.14299,0
9.53408,6.13817,0
9.53672,6.13335,0
9.53937,6.12852,0
9.542,6.12367,0
9.54463,6.11881,0
9.54726,6.11394,0
9.54987,6.10906,0
9.55248,6.10417,0
9.55508,6.09927,0
9.55767,6.09436,0
9.56025,6.08943,0
9.56283,6.0845,0
9.5654,6.07955,0
9.56797,6.07459,0
9.57052,6.06963,0
9.57307,6.06465,0
9.57561,6.05966,0
9.57815,6.05466,0
9.58067,6.04964,0
9.58319,6.04462,0
9.5857,6.03959,0
9.58821,6.03455,0
9.59071,6.02949,0
9.5932,6.02443,0
9.59568,6.01935,0
9.59816,6.01427,0
9.60062,6.00917,0
9.60308,6.00407,0
9.60554,5.99895,0
9.60799,5.99381,0
9.61042,5.98868,0
9.61285,5.98353,0
9.61528,5.97837,0
9.6177,5.9732,0
9.6201,5.96802,0
9.62251,5.96283,0
9.6249,5.95763,0
9.62729,5.95242,0
9.62967,5.9472,0
9.63204,5.94197,0
9.63441,5.93673,0
9.63676,5.93148,0
9.63911,5.92621,0
9.64146,5.92094,0
9.64379,5.91566,0
9.64612,5.91037,0
9.64844,5.90506,0
9.65076,5.89975,0
9.65306,5.89442,0
9.65536,5.8891,0
9.65765,5.88376,0
9.65993,5.87841,0
9.66221,5.87304,0
9.66448,5.86767,0
9.66674,5.86229,0
9.66899,5.8569,0
9.67124,5.8515,0
9.67348,5.84609,0
9.67571,5.84067,0
9.67794,5.83524,0
9.68015,5.8298,0
9.68236,5.82435,0
9.68457,5.81889,0
9.68676,5.81342,0
9.68895,5.80795,0
9.69113,5.80246,0
9.6933,5.79696,0
9.69546,5.79146,0
9.69762,5.78594,0
9.69977,5.78042,0
9.70191,5.77488,0
9.70405,5.76934,0
9.70617,5.76379,0
9.70829,5.75824,0
9.71041,5.75264,0
9.71251,5.74707,0
9.71461,5.74149,0
9.7167,5.73589,0
9.71878,5.73028,0
9.72085,5.72466,0
9.72292,5.71904,0
9.72498,5.7134,0
9.72703,5.70776,0
9.72908,5.70211,0
9.73112,5.69644,0
9.73315,5.69077,0
9.73517,5.68509,0
9.73718,5.6794,0
9.73919,5.67371,0
9.74119,5.668,0
9.74318,5.66228,0
9.74517,5.65656,0
9.74714,5.65083,0
9.74911,5.64509,0
9.75108,5.63934,0
9.75303,5.63358,0
9.75498,5.62782,0
9.75692,5.62204,0
9.75885,5.61626,0
9.76077,5.61047,0
9.76269,5.60467,0
9.7646,5.59886,0
9.7665,5.59304,0
9.7684,5.58722,0
9.77028,5.58138,0
9.77216,5.57554,0
9.77403,5.56969,0
9.7759,5.56383,0
9.77775,5.55796,0
9.7796,5.55209,0
9.78144,5.54621,0
9.78328,5.54031,0
9.7851,5.53442,0
9.78692,5.52851,0
9.78873,5.52259,0
9.79053,5.51667,0
9.79233,5.51074,0
9.79412,5.5048,0
9.7959,5.49885,0
9.79767,5.4929,0
9.79944,5.48693,0
9.8012,5.48096,0
9.80294,5.47498,0
9.80469,5.469,0
9.80642,5.463,0
9.80815,5.457,0
9.80987,5.45099,0
9.81158,5.44498,0
9.81328,5.43895,0
9.81498,5.43292,0
9.81667,5.42688,0
9.81835,5.42083,0
9.82003,5.41478,0
9.82169,5.40872,0
9.82335,5.40265,0
9.825,5.39657,0
9.82664,5.39049,0
9.82828,5.3844,0
9.82991,5.3783,0
9.83153,5.37219,0
9.83314,5.36608,0
9.83475,5.35996,0
9.83635,5.35382,0
9.83793,5.3477,0
9.83952,5.34156,0
9.84109,5.33541,0
9.84266,5.32925,0
9.84422,5.32309,0
9.84577,5.31692,0
9.84731,5.31075,0
9.84885,5.30456,0
9.85038,5.29837,0
9.8519,5.29218,0
9.85341,5.28597,0
9.85492,5.27976,0
9.85641,5.27355,0
9.8579,5.26732,0
9.85939,5.26109,0
9.86086,5.25486,0
9.86233,5.24861,0
9.86379,5.24236,0
9.86524,5.2361,0
9.86668,5.22984,0
9.86812,5.22357,0
9.86955,5.2173,0
9.87097,5.21102,0
9.87238,5.20472,0
9.87379,5.19843,0
9.87519,5.19213,0
9.87658,5.18582,0
9.87796,5.17951,0
9.87933,5.17319,0
9.8807,5.16686,0
9.88206,5.16053,0
9.88341,5.15419,0
9.88475,5.14785,0
9.88609,5.1415,0
9.88742,5.13514,0
9.88874,5.12878,0
9.89005,5.12242,0
9.89136,5.11604,0
9.89266,5.10965,0
9.89394,5.10329,0
9.89523,5.09688,0
9.8965,5.09049,0
9.89777,5.08408,0
9.89903,5.07767,0
9.90028,5.07126,0
9.90152,5.06486,0
9.90276,5.05842,0
9.90399,5.05198,0
9.90521,5.04555,0
9.90642,5.0391,0
9.90762,5.03266,0
9.90882,5.0262,0
9.91001,5.01974,0
9.91119,5.01328,0
9.91236,5.00681,0
9.91353,5.00034,0
9.91469,4.99386,0
9.91584,4.98737,0
9.91698,4.98089,0
9.91812,4.97439,0
9.91924,4.96789,0
9.92036,4.96138,0
9.92148,4.95487,0
9.92258,4.94836,0
9.92368,4.94184,0
9.92476,4.93531,0
9.92585,4.92877,0
9.92692,4.92225,0
9.92798,4.9157,0
9.92904,4.90916,0
9.93009,4.90261,0
9.93113,4.89606,0
9.93217,4.8895,0
9.93319,4.88294,0
9.93421,4.87637,0
9.93522,4.8698,0
9.93622,4.86322,0
9.93722,4.85664,0
9.93821,4.85005,0
9.93919,4.84346,0
9.94016,4.83687,0
9.94112,4.83027,0
9.94208,4.82366,0
9.94303,4.81706,0
9.94397,4.81044,0
9.9449,4.80383,0
9.94582,4.79721,0
9.94674,4.79058,0
9.94765,4.78395,0
9.94855,4.77732,0
9.94945,4.77068,0
9.95033,4.76404,0
9.95121,4.7574,0
9.95208,4.75074,0
9.95294,4.74409,0
9.9538,4.73743,0
9.95465,4.73077,0
9.95549,4.72411,0
9.95632,4.71744,0
9.95714,4.71076,0
9.95796,4.70409,0
9.95876,4.69741,0
9.95956,4.69073,0
9.96036,4.68403,0
9.96114,4.67735,0
9.96192,4.67066,0
9.96269,4.66395,0
9.96345,4.65726,0
9.9642,4.65055,0
9.96495,4.64384,0
9.96568,4.63713,0
9.96641,4.63042,0
9.96714,4.6237,0
9.96785,4.61697,0
9.96856,4.61025,0
9.96925,4.60352,0
9.96994,4.59679,0
9.97063,4.59006,0
9.9713,4.58332,0
9.97197,4.57658,0
9.97263,4.56984,0
9.97328,4.56309,0
9.97392,4.55634,0
9.97456,4.54959,0
9.97519,4.54283,0
9.97581,4.53608,0
9.97642,4.52931,0
9.97703,4.52255,0
9.97762,4.51578,0
9.97821,4.50901,0
9.97879,4.50224,0
9.97937,4.49547,0
9.97993,4.48869,0
9.98049,4.48191,0
9.98104,4.47513,0
9.98158,4.46835,0
9.98211,4.46156,0
9.98264,4.45477,0
9.98316,4.44798,0
9.98367,4.44118,0
9.98417,4.43439,0
9.98467,4.42759,0
9.98515,4.42079,0
9.98563,4.41398,0
9.9861,4.40718,0
9.98657,4.40037,0
9.98702,4.39356,0
9.98747,4.38675,0
9.98791,4.37994,0
9.98834,4.37312,0
9.98877,4.3663,0
9.98918,4.35948,0
9.98959,4.35266,0
9.98999,4.34584,0
9.99038,4.33901,0
9.99077,4.33219,0
9.99115,4.32536,0
9.99152,4.31853,0
9.99188,4.31169,0
9.99223,4.30486,0
9.99257,4.29805,0
9.99291,4.29119,0
9.99324,4.28435,0
9.99357,4.27751,0
9.99388,4.27067,0
9.99419,4.26383,0
9.99448,4.25699,0
9.99477,4.25014,0
9.99506,4.24329,0
9.99533,4.23644,0
9.9956,4.2296,0
9.99586,4.22274,0
9.99611,4.21589,0
9.99635,4.20904,0
9.99659,4.20219,0
9.99682,4.19533,0
9.99704,4.18848,0
9.99725,4.18162,0
9.99745,4.17476,0
9.99765,4.1679,0
9.99784,4.16104,0
9.99802,4.15418,0
9.99819,4.14732,0
9.99835,4.14046,0
9.99851,4.1336,0
9.99866,4.12673,0
9.9988,4.11987,0
9.99894,4.113,0
9.99906,4.10613,0
9.99918,4.09927,0
9.99929,4.09241,0
9.99939,4.08554,0
9.99948,4.07867,0
9.99957,4.0718,0
9.99965,4.06493,0
9.99972,4.05807,0
9.99978,4.0512,0
9.99984,4.04433,0
9.99988,4.03746,0
9.99992,4.03059,0
9.99995,4.02372,0
9.99998,4.01685,0
9.99999,4.00998,0
10,4.00311,0
10,3.99624,0
9.99999,3.98937,0
9.99997,3.9825,0
9.99995,3.97563,0
9.99992,3.96876,0
9.99988,3.96189,0
9.99983,3.95502,0
9.99978,3.94815,0
9.99971,3.94128,0
9.99964,3.93442,0
9.99956,3.92755,0
9.99948,3.92068,0
9.99938,3.91381,0
9.99928,3.90695,0
9.99917,3.90007,0
9.99905,3.89321,0
9.99892,3.88634,0
9.99879,3.87948,0
9.99865,3.87262,0
9.9985,3.86575,0
9.99834,3.85889,0
9.99817,3.85203,0
9.998,3.84517,0
9.99782,3.83831,0
9.99763,3.83145,0
9.99743,3.82459,0
9.99723,3.81773,0
9.99702,3.81087,0
9.99679,3.80402,0
9.99657,3.79716,0
9.99633,3.79031,0
9.99609,3.78346,0
9.99583,3.77661,0
9.99557,3.76976,0
9.99531,3.76291,0
9.99503,3.75606,0
9.99475,3.74923,0
9.99446,3.74237,0
9.99416,3.73552,0
9.99385,3.72867,0
9.99354,3.72184,0
9.99321,3.715,0
9.99288,3.70816,0
9.99254,3.70132,0
9.9922,3.69449,0
9.99184,3.68765,0
9.99148,3.68082,0
9.99111,3.67399,0
9.99073,3.66716,0
9.99034,3.66029,0
9.98995,3.65352,0
9.98955,3.64669,0
9.98914,3.63987,0
9.98873,3.63305,0
9.9883,3.62625,0
9.98787,3.61942,0
9.98743,3.6126,0
9.98698,3.60579,0
9.98652,3.59898,0
9.98606,3.59218,0
9.98559,3.58537,0
9.98511,3.57857,0
9.98462,3.57177,0
9.98412,3.56497,0
9.98362,3.55817,0
9.98311,3.55138,0
9.98259,3.54459,0
9.98206,3.5378,0
9.98153,3.53101,0
9.98099,3.52423,0
9.98044,3.51745,0
9.97988,3.51067,0
9.97931,3.50389,0
9.97874,3.49711,0
9.97816,3.49034,0
9.97757,3.48357,0
9.97697,3.47681,0
9.97636,3.47004,0
9.97575,3.46328,0
9.97513,3.45653,0
9.9745,3.44977,0
9.97386,3.44302,0
9.97322,3.43627,0
9.97257,3.42953,0
9.97191,3.42278,0
9.97124,3.41604,0
9.97056,3.40931,0
9.96988,3.40257,0
9.96919,3.39584,0
9.96849,3.38911,0
9.96778,3.38239,0
9.96707,3.37566,0
9.96634,3.36895,0
9.96561,3.36224,0
9.96488,3.35552,0
9.96413,3.34883,0
9.96338,3.34211,0
9.96261,3.33541,0
9.96184,3.32871,0
9.96107,3.32202,0
9.96028,3.31533,0
9.95949,3.30864,0
9.95869,3.30196,0
9.95788,3.2953,0
9.95706,3.2886,0
9.95624,3.28193,0
9.95541,3.27526,0
9.95457,3.26859,0
9.95372,3.26193,0
9.95286,3.25528,0
9.952,3.24864,0
9.95113,3.24198,0
9.95025,3.23533,0
9.94936,3.22869,0
9.94847,3.22205,0
9.94757,3.21542,0
9.94666,3.20879,0
9.94574,3.20217,0
9.94481,3.19554,0
9.94388,3.18893,0
9.94294,3.18232,0
9.94199,3.17571,0
9.94103,3.16911,0
9.94007,3.16251,0
9.93909,3.15591,0
9.93811,3.14932,0
9.93713,3.14274,0
9.93613,3.13616,0
9.93513,3.12958,0
9.93411,3.12301,0
9.93309,3.11644,0
9.93207,3.10988,0
9.93103,3.10332,0
9.92999,3.09679,0
9.92894,3.09022,0
9.92788,3.08367,0
9.92682,3.07715,0
9.92574,3.0706,0
9.92466,3.06407,0
9.92357,3.05754,0
9.92248,3.05103,0
9.92137,3.04451,0
9.92026,3.038,0
9.91914,3.03149,0
9.91801,3.02499,0
9.91687,3.0185,0
9.91573,3.01201,0
9.91458,3.00553,0
9.91342,2.99905,0
9.91225,2.99258,0
9.91108,2.9861,0
9.9099,2.97964,0
9.90871,2.97318,0
9.90751,2.96673,0
9.9063,2.96029,0
9.90509,2.95385,0
9.90387,2.94741,0
9.90264,2.94098,0
9.9014,2.93455,0
9.90016,2.92813,0
9.89891,2.92172,0
9.89765,2.91531,0
9.89638,2.90891,0
9.89511,2.90251,0
9.89382,2.89612,0
9.89253,2.88974,0
9.89123,2.88336,0
9.88993,2.87698,0
9.88861,2.87061,0
9.88729,2.86424,0
9.88596,2.8579,0
9.88463,2.85155,0
9.88328,2.8452,0
9.88193,2.83887,0
9.88057,2.83254,0
9.8792,2.82621,0
9.87783,2.81989,0
9.87644,2.81358,0
9.87505,2.80727,0
9.87365,2.80097,0
9.87225,2.79468,0
9.87083,2.78839,0
9.86941,2.78211,0
9.86798,2.77583,0
9.86655,2.76956,0
9.8651,2.7633,0
9.86365,2.75705,0
9.86219,2.75079,0
9.86072,2.74455,0
9.85925,2.73832,0
9.85776,2.73209,0
9.85627,2.72586,0
9.85477,2.71965,0
9.85327,2.71344,0
9.85175,2.70724,0
9.85023,2.70104,0
9.8487,2.69485,0
9.84716,2.68866,0
9.84562,2.68249,0
9.84407,2.67632,0
9.84251,2.67016,0
9.84094,2.66401,0
9.83937,2.65786,0
9.83778,2.65172,0
9.83619,2.64559,0
9.83459,2.63946,0
9.83299,2.63334,0
9.83138,2.62723,0
9.82975,2.62112,0
9.82813,2.61503,0
9.82649,2.60894,0
9.82484,2.60285,0
9.82319,2.59678,0
9.82153,2.59071,0
9.81987,2.58465,0
9.81819,2.57859,0
9.81651,2.57255,0
9.81482,2.56651,0
9.81312,2.56048,0
9.81142,2.55445,0
9.8097,2.54844,0
9.80799,2.54243,0
9.80626,2.53643,0
9.80452,2.53043,0
9.80277,2.52444,0
9.80103,2.51847,0
9.79927,2.5125,0
9.7975,2.50654,0
9.79573,2.50058,0
9.79395,2.49464,0
9.79216,2.4887,0
9.79036,2.48277,0
9.78856,2.47685,0
9.78675,2.47093,0
9.78493,2.46503,0
9.7831,2.45913,0
9.78127,2.45324,0
9.77943,2.44735,0
9.77758,2.44148,0
9.77572,2.43562,0
9.77386,2.42976,0
9.77198,2.42391,0
9.7701,2.41807,0
9.76822,2.41223,0
9.76632,2.40641,0
9.76442,2.40059,0
9.76251,2.39478,0
9.76059,2.38898,0
9.75867,2.38319,0
9.75673,2.37741,0
9.75479,2.37164,0
9.75285,2.36587,0
9.75089,2.36011,0
9.74893,2.35436,0
9.74696,2.34862,0
9.74498,2.34289,0
9.743,2.33717,0
9.741,2.33146,0
9.739,2.32575,0
9.73699,2.32005,0
9.73498,2.31437,0
9.73295,2.30869,0
9.73092,2.30302,0
9.72889,2.29736,0
9.72684,2.29171,0
9.72479,2.28607,0
9.72273,2.28043,0
9.72066,2.27481,0
9.71858,2.26919,0
9.7165,2.26358,0
9.71441,2.25799,0
9.71231,2.2524,0
9.71021,2.24682,0
9.70809,2.24125,0
9.70597,2.23569,0
9.70385,2.23013,0
9.70171,2.22459,0
9.69957,2.21906,0
9.69742,2.21353,0
9.69526,2.20802,0
9.69309,2.20252,0
9.69092,2.19702,0
9.68874,2.19153,0
9.68655,2.18605,0
9.68435,2.18057,0
9.68215,2.17513,0
9.67994,2.16968,0
9.67773,2.16425,0
9.6755,2.15881,0
9.67327,2.1534,0
9.67103,2.14799,0
9.66878,2.14259,0
9.66653,2.1372,0
9.66427,2.13182,0
9.662,2.12645,0
9.65972,2.12108,0
9.65743,2.11574,0
9.65514,2.1104,0
9.65284,2.10506,0
9.65054,2.09974,0
9.64822,2.09443,0
9.6459,2.08913,0
9.64357,2.08384,0
9.64124,2.07856,0
9.63889,2.07329,0
9.63654,2.06803,0
9.63418,2.06278,0
9.63182,2.05753,0
9.62944,2.05231,0
9.62706,2.04709,0
9.62467,2.04187,0
9.62228,2.03668,0
9.61988,2.03149,0
9.61747,2.02631,0
9.61505,2.02114,0
9.61262,2.01598,0
9.61019,2.01083,0
9.60775,2.0057,0
9.6053,2.00057,0
9.60285,1.99545,0
9.60039,1.99034,0
9.59792,1.98525,0
9.59545,1.98017,0
9.59296,1.97509,0
9.59047,1.97003,0
9.58797,1.96497,0
9.58547,1.95993,0
9.58295,1.9549,0
9.58043,1.94988,0
9.57791,1.94487,0
9.57537,1.93987,0
9.57283,1.93488,0
9.57028,1.9299,0
9.56772,1.92494,0
9.56516,1.91998,0
9.56259,1.91504,0
9.56001,1.9101,0
9.55742,1.90518,0
9.55483,1.90027,0
9.55223,1.89536,0
9.54962,1.89047,0
9.54701,1.8856,0
9.54438,1.88073,0
9.54175,1.87587,0
9.53912,1.87103,0
9.53647,1.86619,0
9.53382,1.86137,0
9.53116,1.85656,0
9.5285,1.85175,0
9.52582,1.84696,0
9.52314,1.84218,0
9.52046,1.83742,0
9.51776,1.83266,0
9.51506,1.82792,0
9.51235,1.82318,0
9.50963,1.81846,0
9.50691,1.81375,0
9.50418,1.80905,0
9.50144,1.80437,0
9.4987,1.7997,0
9.49594,1.79503,0
9.49318,1.79037,0
9.49041,1.78573,0
9.48764,1.7811,0
9.48486,1.77649,0
9.48207,1.77188,0
9.47928,1.76729,0
9.47647,1.7627,0
9.47366,1.75813,0
9.47085,1.75357,0
9.46802,1.74903,0
9.46519,1.74449,0
9.46235,1.73997,0
9.45951,1.73546,0
9.45665,1.73095,0
9.45379,1.72647,0
9.45092,1.72199,0
9.44805,1.71752,0
9.44517,1.71307,0
9.44228,1.70863,0
