Time,X,Y,Z
1.2723e-05,7.69134,6.91008,0
0.0165919,7.69673,6.91173,0
0.0332597,7.70213,6.91338,0
0.0499266,7.70754,6.91501,0
0.0665909,7.71294,6.91663,0
0.0832579,7.71833,6.91823,0
0.0999252,7.72372,6.91981,0
0.116589,7.7291,6.92138,0
0.133256,7.73448,6.92294,0
0.149924,7.73986,6.92448,0
0.166587,7.74523,6.926,0
0.183247,7.75059,6.92751,0
0.199919,7.75595,6.929,0
0.216582,7.76131,6.93048,0
0.23325,7.76666,6.93194,0
0.249922,7.772,6.93339,0
0.2666,7.77735,6.93482,0
0.283256,7.78268,6.93624,0
0.299921,7.78801,6.93764,0
0.316596,7.79334,6.93903,0
0.333256,7.79865,6.9404,0
0.34993,7.80397,6.94175,0
0.366588,7.80928,6.94309,0
0.383254,7.81458,6.94441,0
0.399924,7.81989,6.94572,0
0.416589,7.82518,6.94702,0
0.433254,7.83047,6.94829,0
0.449922,7.83576,6.94956,0
0.466592,7.84104,6.9508,0
0.483206,7.8463,6.95203,0
0.499912,7.85158,6.95325,0
0.516585,7.85685,6.95445,0
0.53325,7.86211,6.95564,0
0.549922,7.86736,6.95681,0
0.566586,7.87261,6.95796,0
0.583248,7.87785,6.9591,0
0.599921,7.8831,6.96022,0
0.616591,7.88833,6.96133,0
0.633256,7.89356,6.96242,0
0.649924,7.89879,6.9635,0
0.666584,7.904,6.96456,0
0.683254,7.90922,6.9656,0
0.699914,7.91443,6.96663,0
0.716588,7.91963,6.96764,0
0.733248,7.92483,6.96864,0
0.749914,7.93002,6.96963,0
0.766584,7.93521,6.97059,0
0.783247,7.94039,6.97154,0
0.799924,7.94558,6.97248,0
0.816583,7.95075,6.9734,0
0.833245,7.95591,6.97431,0
0.84992,7.96108,6.9752,0
0.866581,7.96623,6.97607,0
0.883236,7.97138,6.97693,0
0.89992,7.97654,6.97777,0
0.916583,7.98168,6.9786,0
0.933253,7.98681,6.97941,0
0.949923,7.99195,6.98021,0
0.966586,7.99707,6.98099,0
0.983255,8.00219,6.98175,0
0.999921,8.00731,6.9825,0
1.01658,8.01242,6.98323,0
1.03325,8.01752,6.98395,0
1.04992,8.02262,6.98465,0
1.06659,8.02772,6.98534,0
1.08326,8.03281,6.98601,0
1.09992,8.03789,6.98666,0
1.11658,8.04297,6.9873,0
1.13325,8.04804,6.98793,0
1.14992,8.05311,6.98853,0
1.16659,8.05818,6.98913,0
1.18326,8.06323,6.9897,0
1.19988,8.06827,6.99026,0
1.21659,8.07333,6.99081,0
1.23325,8.07837,6.99134,0
1.24988,8.0834,6.99185,0
1.26659,8.08844,6.99235,0
1.28326,8.09347,6.99283,0
1.29992,8.09849,6.9933,0
1.31659,8.1035,6.99375,0
1.33325,8.10851,6.99419,0
1.34992,8.11351,6.99461,0
1.36659,8.11851,6.99501,0
1.38325,8.1235,6.9954,0
1.39991,8.12849,6.99577,0
1.41658,8.13348,6.99613,0
1.43325,8.13845,6.99647,0
1.44991,8.14342,6.99679,0
1.46658,8.14839,6.9971,0
1.48325,8.15335,6.9974,0
1.49991,8.15831,6.99767,0
1.51659,8.16326,6.99794,0
1.53325,8.1682,6.99818,0
1.54991,8.17314,6.99842,0
1.56658,8.17807,6.99863,0
1.58325,8.183,6.99883,0
1.59993,8.18793,6.99901,0
1.61658,8.19284,6.99918,0
1.63325,8.19775,6.99934,0
1.64992,8.20266,6.99947,0
1.66658,8.20756,6.99959,0
1.68325,8.21245,6.9997,0
1.69992,8.21734,6.99979,0
1.71658,8.22223,6.99986,0
1.73325,8.2271,6.99992,0
1.74992,8.23198,6.99996,0
1.76658,8.23684,6.99999,0
1.78325,8.2417,7,0
1.79992,8.24656,6.99999,0
1.81658,8.25141,6.99997,0
1.83325,8.25626,6.99994,0
1.84992,8.2611,6.99989,0
1.86658,8.26593,6.99982,0
1.88325,8.27076,6.99973,0
1.89991,8.27558,6.99964,0
1.91658,8.2804,6.99952,0
1.93326,8.28521,6.99939,0
1.94992,8.29002,6.99924,0
1.96659,8.29482,6.99908,0
1.98325,8.29961,6.9989,0
1.99987,8.30439,6.99871,0
2.01659,8.30918,6.9985,0
2.03326,8.31396,6.99828,0
2.04992,8.31873,6.99803,0
2.06656,8.32349,6.99778,0
2.08326,8.32826,6.99751,0
2.09993,8.33302,6.99722,0
2.11659,8.33776,6.99691,0
2.13325,8.34251,6.99659,0
2.14992,8.34725,6.99626,0
2.16658,8.35198,6.99591,0
2.18325,8.3567,6.99554,0
2.19992,8.36142,6.99516,0
2.21658,8.36614,6.99476,0
2.23325,8.37085,6.99435,0
2.24991,8.37555,6.99392,0
2.26658,8.38025,6.99347,0
2.28325,8.38494,6.99301,0
2.29991,8.38963,6.99254,0
2.31658,8.39431,6.99205,0
2.33325,8.39898,6.99154,0
2.34992,8.40365,6.99101,0
2.36659,8.40832,6.99047,0
2.38325,8.41297,6.98992,0
2.39991,8.41762,6.98935,0
2.41658,8.42227,6.98876,0
2.43326,8.42691,6.98816,0
2.44992,8.43155,6.98754,0
2.46659,8.43618,6.98691,0
2.48325,8.4408,6.98626,0
2.49992,8.44542,6.9856,0
2.51659,8.45003,6.98492,0
2.53325,8.45463,6.98422,0
2.54993,8.45923,6.98351,0
2.56659,8.46383,6.98278,0
2.58326,8.46841,6.98204,0
2.59993,8.47299,6.98128,0
2.61659,8.47757,6.98051,0
2.63326,8.48214,6.97972,0
2.64992,8.4867,6.97891,0
2.66658,8.49126,6.97809,0
2.68325,8.49581,6.97725,0
2.6999,8.50035,6.9764,0
2.71658,8.5049,6.97553,0
2.73325,8.50944,6.97465,0
2.74992,8.51397,6.97375,0
2.76659,8.51849,6.97284,0
2.78325,8.523,6.97191,0
2.79991,8.52751,6.97096,0
2.81659,8.53202,6.97,0
2.83325,8.53652,6.96902,0
2.84991,8.54101,6.96803,0
2.86659,8.5455,6.96702,0
2.88325,8.54998,6.966,0
2.89991,8.55446,6.96496,0
2.91658,8.55893,6.96391,0
2.93325,8.56339,6.96284,0
2.94992,8.56785,6.96175,0
2.96658,8.5723,6.96065,0
2.98325,8.57674,6.95953,0
2.99991,8.58118,6.9584,0
3.01658,8.58562,6.95725,0
3.03325,8.59004,6.95609,0
3.04991,8.59447,6.95491,0
3.06658,8.59888,6.95371,0
3.08325,8.60329,6.9525,0
3.09991,8.60769,6.95128,0
3.1166,8.61209,6.95004,0
3.13326,8.61649,6.94878,0
3.14992,8.62087,6.94751,0
3.16659,8.62525,6.94622,0
3.18327,8.62962,6.94492,0
3.19992,8.63399,6.9436,0
3.21659,8.63835,6.94227,0
3.23325,8.6427,6.94092,0
3.24993,8.64705,6.93955,0
3.26659,8.6514,6.93817,0
3.28326,8.65573,6.93678,0
3.29994,8.66007,6.93537,0
3.31659,8.66439,6.93394,0
3.33326,8.6687,6.9325,0
3.34992,8.67302,6.93105,0
3.36658,8.67732,6.92957,0
3.38325,8.68162,6.92808,0
3.39992,8.68591,6.92658,0
3.41658,8.6902,6.92506,0
3.43325,8.69448,6.92353,0
3.44992,8.69876,6.92198,0
3.46658,8.70303,6.92042,0
3.48325,8.70729,6.91884,0
3.49992,8.71155,6.91724,0
3.51659,8.7158,6.91563,0
3.53325,8.72004,6.91401,0
3.54991,8.72428,6.91237,0
3.56659,8.72851,6.91071,0
3.58325,8.73274,6.90904,0
3.59991,8.73696,6.90735,0
3.61659,8.74117,6.90565,0
3.63325,8.74538,6.90393,0
3.64992,8.74958,6.9022,0
3.66659,8.75378,6.90045,0
3.68325,8.75797,6.89869,0
3.69992,8.76215,6.89691,0
3.71659,8.76632,6.89512,0
3.73325,8.77049,6.89331,0
3.74992,8.77466,6.89149,0
3.76659,8.77881,6.88965,0
3.78325,8.78296,6.8878,0
3.79992,8.78711,6.88593,0
3.81659,8.79125,6.88404,0
3.83326,8.79538,6.88214,0
3.84992,8.79951,6.88023,0
3.86659,8.80363,6.8783,0
3.88325,8.80774,6.87636,0
3.89992,8.81185,6.8744,0
3.91659,8.81595,6.87242,0
3.93325,8.82004,6.87043,0
3.94992,8.82413,6.86843,0
3.96659,8.82821,6.86641,0
3.98325,8.83229,6.86437,0
3.99992,8.83636,6.86232,0
4.01659,8.84042,6.86026,0
4.03328,8.84448,6.85818,0
4.04992,8.84853,6.85608,0
4.06659,8.85257,6.85397,0
4.08326,8.85661,6.85185,0
4.09992,8.86064,6.84971,0
4.11658,8.86466,6.84756,0
4.13326,8.86868,6.84539,0
4.14992,8.87269,6.8432,0
4.16659,8.8767,6.841,0
4.18327,8.8807,6.83879,0
4.19992,8.88469,6.83656,0
4.21659,8.88868,6.83431,0
4.23321,8.89264,6.83206,0
4.24993,8.89663,6.82978,0
4.26659,8.9006,6.82749,0
4.28326,8.90456,6.82519,0
4.29992,8.90851,6.82287,0
4.31659,8.91246,6.82054,0
