X,Y,Z
8.00727,6.98249,0
8.01237,6.98322,0
8.01748,6.98394,0
8.02258,6.98464,0
8.02767,6.98533,0
8.03276,6.986,0
8.03784,6.98666,0
8.04292,6.9873,0
8.04799,6.98792,0
8.05306,6.98853,0
8.05813,6.98912,0
8.06318,6.9897,0
8.06824,6.99026,0
8.07328,6.9908,0
8.07833,6.99133,0
8.08338,6.99185,0
8.08839,6.99235,0
8.09342,6.99283,0
8.09844,6.99329,0
8.10345,6.99375,0
8.10846,6.99418,0
8.11347,6.9946,0
8.11847,6.99501,0
8.12346,6.99539,0
8.12845,6.99577,0
8.13343,6.99612,0
8.13841,6.99646,0
8.14339,6.99679,0
8.14834,6.9971,0
8.15331,6.99739,0
8.15826,6.99767,0
8.16321,6.99794,0
8.16816,6.99818,0
8.17309,6.99841,0
8.17803,6.99863,0
8.18295,6.99883,0
8.18788,6.99901,0
8.19279,6.99918,0
8.19771,6.99933,0
8.2026,6.99947,0
8.20751,6.99959,0
8.21241,6.9997,0
8.21729,6.99979,0
8.22218,6.99986,0
8.22706,6.99992,0
8.23193,6.99996,0
8.2368,6.99999,0
8.24166,7,0
8.2465,7,0
8.25137,6.99997,0
8.25621,6.99994,0
8.26105,6.99989,0
8.26589,6.99982,0
8.27071,6.99974,0
8.27553,6.99964,0
8.28035,6.99952,0
8.28516,6.99939,0
8.28997,6.99924,0
8.29477,6.99908,0
8.29957,6.99891,0
8.30435,6.99871,0
8.30914,6.9985,0
8.31392,6.99828,0
8.31869,6.99804,0
8.32345,6.99778,0
8.32822,6.99751,0
8.33297,6.99722,0
8.33772,6.99692,0
8.34246,6.9966,0
8.3472,6.99626,0
8.35193,6.99591,0
8.35666,6.99555,0
8.36138,6.99516,0
8.3661,6.99477,0
8.3708,6.99435,0
8.37551,6.99392,0
8.38021,6.99348,0
8.3849,6.99302,0
8.38958,6.99254,0
8.39426,6.99205,0
8.39894,6.99154,0
8.40361,6.99102,0
8.40827,6.99048,0
8.41293,6.98993,0
8.41758,6.98935,0
8.42223,6.98877,0
8.42687,6.98817,0
8.4315,6.98755,0
8.43613,6.98692,0
8.44075,6.98627,0
8.44537,6.9856,0
8.44998,6.98492,0
8.45459,6.98423,0
8.45919,6.98352,0
8.46378,6.98279,0
8.46837,6.98205,0
8.47295,6.98129,0
8.47753,6.98051,0
8.4821,6.97972,0
8.48666,6.97892,0
8.49122,6.9781,0
8.49577,6.97726,0
8.50032,6.97641,0
8.50486,6.97554,0
8.50939,6.97466,0
8.51392,6.97376,0
8.51844,6.97285,0
8.52296,6.97192,0
8.52747,6.97097,0
8.53198,6.97001,0
8.53648,6.96903,0
8.54097,6.96804,0
8.54546,6.96703,0
8.54994,6.96601,0
8.55441,6.96497,0
8.55888,6.96392,0
8.56335,6.96284,0
8.5678,6.96176,0
8.57226,6.96066,0
8.5767,6.95954,0
8.58114,6.95841,0
8.58557,6.95726,0
8.59,6.9561,0
8.59442,6.95492,0
8.59884,6.95373,0
8.60325,6.95252,0
8.60765,6.95129,0
8.61205,6.95005,0
8.61644,6.94879,0
8.62082,6.94752,0
8.62521,6.94623,0
8.62958,6.94493,0
8.63395,6.94361,0
8.63831,6.94228,0
8.64266,6.94093,0
8.64701,6.93957,0
8.65135,6.93819,0
8.65569,6.93679,0
8.66002,6.93538,0
8.66434,6.93396,0
8.66866,6.93252,0
8.67297,6.93106,0
8.67727,6.92959,0
8.68158,6.9281,0
8.68587,6.9266,0
8.69016,6.92508,0
8.69444,6.92355,0
8.69872,6.922,0
8.70299,6.92043,0
8.70725,6.91885,0
8.71151,6.91726,0
8.71576,6.91565,0
8.72,6.91402,0
8.72424,6.91238,0
8.72847,6.91073,0
8.7327,6.90906,0
8.73692,6.90737,0
8.74113,6.90567,0
8.74534,6.90395,0
8.74954,6.90222,0
8.75373,6.90047,0
8.75792,6.89871,0
8.76211,6.89693,0
8.76628,6.89514,0
8.77045,6.89333,0
8.77462,6.89151,0
8.77878,6.88967,0
8.78292,6.88781,0
8.78707,6.88595,0
8.79121,6.88406,0
8.79534,6.88216,0
8.79947,6.88025,0
8.80359,6.87832,0
8.8077,6.87638,0
8.81181,6.87442,0
8.81591,6.87244,0
8.82,6.87045,0
8.82409,6.86845,0
8.82817,6.86643,0
8.83225,6.86439,0
