Time,Pos_X,Output_X
7.56e-07,-0.049361,2.30859
0.0166586,-0.0485876,2.30689
0.0333259,-0.0478106,2.30518
0.0499894,-0.0470302,2.30347
0.0666623,-0.046209,2.30166
0.0833283,-0.0453537,2.29978
0.0999925,-0.0445052,2.29791
0.116657,-0.0432363,2.29512
0.133328,-0.0422883,2.29303
0.149991,-0.0411453,2.29052
0.16666,-0.0397188,2.28738
0.183323,-0.0379651,2.28352
0.199989,-0.0360949,2.27941
0.216661,-0.0338432,2.27446
0.233324,-0.0314422,2.26917
0.249989,-0.028864,2.2635
0.266661,-0.0258314,2.25683
0.283326,-0.022508,2.24952
0.300003,-0.0186488,2.24103
0.316658,-0.0143421,2.23155
0.333323,-0.00679542,2.21495
0.349994,-0.0010224,2.20225
0.366657,0.0053766,2.18817
0.383321,0.0124865,2.17253
0.399994,0.0202845,2.15537
0.416655,0.0288052,2.13663
0.433327,0.0380489,2.11629
0.449991,0.0481183,2.09414
0.466655,0.0589078,2.0704
0.483326,0.0704434,2.04502
0.499991,0.0826787,2.01811
0.516656,0.0956421,1.98959
0.533327,0.109336,1.95946
0.549989,0.123681,1.9279
0.56666,0.146492,1.87772
0.583324,0.162499,1.8425
0.59999,0.17915,1.80587
0.616662,0.196357,1.76801
0.633322,0.214158,1.72885
0.649988,0.232536,1.68842
0.666658,0.251393,1.64694
0.683322,0.270773,1.6043
0.699993,0.290752,1.56035
0.716654,0.311184,1.51539
0.733323,0.332052,1.46949
0.749991,0.353253,1.42284
0.766655,0.374826,1.37538
0.783324,0.407738,1.30298
0.799991,0.430049,1.25389
0.816656,0.452561,1.20437
0.833325,0.475306,1.15433
0.849989,0.498259,1.10383
0.866656,0.521318,1.0531
0.883323,0.544518,1.00206
0.899991,0.567764,0.950919
0.916664,0.591087,0.899608
0.93333,0.614459,0.848191
0.949997,0.637792,0.796857
0.966662,0.661117,0.745543
0.983323,0.695909,0.668999
0.999991,0.718968,0.618269
1.01666,0.741833,0.567968
1.03332,0.764528,0.518038
1.04999,0.787022,0.468552
1.06666,0.80927,0.419607
1.08332,0.83129,0.371161
1.1,0.852965,0.323478
