Time,Pos_Z,Output_Z
9.92e-07,-5.03642,-10
0.0166574,-5.02187,-10
0.0333183,-5.00765,-10
0.0499864,-4.98688,-10
0.0666479,-4.97343,-10
0.0833191,-4.96039,-10
0.0999818,-4.94841,-10
0.116653,-4.93795,-10
0.13332,-4.92912,-10
0.149983,-4.922,-10
0.166656,-4.91657,-10
0.183314,-4.91281,-10
0.199981,-4.91072,-10
0.216652,-4.91024,-10
0.23332,-4.91144,-10
0.249986,-4.91624,-10
0.266653,-4.92155,-10
0.283327,-4.92846,-10
0.299989,-4.93702,-10
0.316657,-4.94724,-10
0.333323,-4.9591,-10
0.349988,-4.97264,-10
0.36665,-4.9878,-10
0.38332,-5.00462,-10
0.399987,-5.02313,-10
0.416676,-5.04329,-10
0.43332,-5.06515,-10
0.449981,-5.08864,-10
0.466647,-5.11376,-10
0.483326,-5.15424,-9.72628
0.499985,-5.18288,-9.39684
0.516652,-5.2127,-9.05395
0.533314,-5.24355,-8.69918
0.549988,-5.27534,-8.33362
0.566652,-5.30793,-7.95878
0.583315,-5.34128,-7.57529
0.599987,-5.37528,-7.18423
0.616653,-5.40989,-6.78621
0.633316,-5.44504,-6.382
0.649984,-5.4807,-5.97193
0.666649,-5.51685,-5.55624
0.683319,-5.5534,-5.13587
0.699984,-5.60897,-4.49679
0.716647,-5.64646,-4.06569
0.734596,-5.68429,-3.63067
0.749985,-5.72241,-3.19226
0.766646,-5.76083,-2.75041
0.783319,-5.79956,-2.30508
0.799987,-5.83852,-1.85699
0.816654,-5.87774,-1.40596
0.833318,-5.91712,-0.953082
0.849979,-5.95644,-0.500907
0.86665,-5.99528,-0.0542495
0.883314,-6.03314,0.381068
0.899979,-6.0872,1.00285
0.91665,-6.12095,1.39098
0.933316,-6.1527,1.75603
0.949983,-6.18233,2.09681
0.966648,-6.20992,2.41407
0.984561,-6.23544,2.70758
0.999988,-6.25885,2.97679
1.01669,-6.28022,3.22255
1.03332,-6.29945,3.44366
1.04998,-6.31665,3.64152
1.06665,-6.33179,3.81557
1.08332,-6.3448,3.96522
1.09998,-6.35575,4.09118
1.11665,-6.36456,4.19247
1.13332,-6.37392,4.30012
1.14995,-6.37746,4.34079
1.16665,-6.37896,4.35799
1.18331,-6.37842,4.35178
1.19998,-6.37588,4.3226
1.21665,-6.37145,4.27168
1.23479,-6.36515,4.1992
1.24999,-6.35712,4.10692
1.26665,-6.34741,3.99521
1.28332,-6.33608,3.86494
1.29999,-6.32324,3.71725
1.31665,-6.30893,3.55269
1.33332,-6.28496,3.27704
1.34999,-6.26737,3.0748
1.36665,-6.24863,2.85921
1.38332,-6.22876,2.63072
1.39998,-6.20786,2.39041
1.41665,-6.186,2.13901
1.43332,-6.16323,1.87719
1.44998,-6.13963,1.60578
1.46665,-6.11523,1.32514
1.48333,-6.09011,1.03624
1.49999,-6.0643,0.739478
1.51665,-6.03788,0.435581
1.53332,-5.99715,-0.0327482
1.54998,-5.96936,-0.352329
1.56665,-5.94109,-0.677409
1.58331,-5.91237,-1.00774
1.59998,-5.88326,-1.34247
1.61665,-5.85384,-1.68085
1.63332,-5.82448,-2.0185
1.64998,-5.79578,-2.34852
1.66665,-5.76828,-2.66473
1.68332,-5.74232,-2.9633
1.70001,-5.71796,-3.24352
1.71665,-5.69524,-3.50475
1.73438,-5.6741,-3.74788
1.74998,-5.64535,-4.07847
1.76665,-5.62811,-4.2767
1.78331,-5.6124,-4.45736
1.79999,-5.59829,-4.61963
1.81665,-5.58571,-4.76432
1.83331,-5.57474,-4.89047
1.84998,-5.56529,-4.99912
1.86665,-5.55741,-5.0898
1.88331,-5.55113,-5.16199
1.89998,-5.54641,-5.21626
1.91665,-5.54332,-5.25179
1.93332,-5.54179,-5.26947
1.94998,-5.54184,-5.26882
1.96665,-5.54497,-5.23288
1.98333,-5.54904,-5.186
1.99998,-5.55476,-5.12032
2.01665,-5.56207,-5.03616
2.03331,-5.57105,-4.93288
2.04998,-5.58164,-4.81118
2.06665,-5.59386,-4.67058
2.08331,-5.60775,-4.5109
2.09998,-5.62327,-4.33238
2.11665,-5.64048,-4.13451
2.13331,-5.65932,-3.91784
2.14998,-5.67985,-3.68178
2.16665,-5.70206,-3.42627
2.18331,-5.73851,-3.00717
2.19998,-5.7648,-2.70474
2.21665,-5.79256,-2.38556
2.23552,-5.82166,-2.05093
2.24999,-5.85186,-1.7036
2.26665,-5.88293,-1.34636
2.28332,-5.91442,-0.984218
2.29998,-5.94579,-0.623417
2.31665,-5.97657,-0.269411
2.33334,-6.00632,0.0726361
2.34998,-6.03465,0.398446
2.36665,-6.06128,0.704756
2.38332,-6.08606,0.989712
2.39998,-6.10881,1.2513
2.41665,-6.13919,1.60068
2.43332,-6.15681,1.80337
2.44999,-6.17245,1.98313
2.46665,-6.18605,2.13959
2.48454,-6.19757,2.272
2.49998,-6.20707,2.38133
2.51665,-6.21447,2.46639
2.53332,-6.21986,2.52841
2.54998,-6.22321,2.56693
2.56665,-6.22447,2.58141
2.58332,-6.22373,2.57294
2.59998,-6.22097,2.54118
2.61665,-6.21635,2.48803
2.63332,-6.20989,2.41377
2.64998,-6.19688,2.26412
2.66665,-6.18615,2.14069
