Time,Pos_X,Output_X
9.12e-07,-0.0461519,2.87692
0.0166609,-0.0447183,2.87298
0.0333261,-0.0437592,2.87034
0.0499897,-0.0427991,2.8677
0.066655,-0.0418372,2.86505
0.0833291,-0.0408754,2.86241
0.0999957,-0.0399222,2.85979
0.116654,-0.0389796,2.85719
0.133322,-0.0380714,2.8547
0.149991,-0.0370704,2.85194
0.166655,-0.0357601,2.84834
0.183321,-0.0340294,2.84358
0.199992,-0.0318873,2.83769
0.216655,-0.0294689,2.83104
0.233329,-0.026622,2.82321
0.249987,-0.0218619,2.81012
0.266654,-0.0181107,2.7998
0.283325,-0.0140012,2.7885
0.299987,-0.00924657,2.77543
0.316656,-0.00400732,2.76102
0.333323,0.00182022,2.74499
0.349988,0.00843515,2.7268
0.366654,0.0157586,2.70666
0.383322,0.0239128,2.68424
0.399986,0.0329457,2.6594
0.416657,0.0428305,2.63222
0.433274,0.0535906,2.60263
0.44999,0.0652339,2.57061
0.466658,0.0843463,2.51805
0.483277,0.0982083,2.47993
0.499989,0.112917,2.43948
0.516605,0.1287,2.39607
0.53332,0.145359,2.35026
0.54999,0.162801,2.3023
0.566654,0.181078,2.25204
0.58332,0.200095,2.19974
0.599992,0.219898,2.14528
0.616655,0.240474,2.0887
0.633324,0.261705,2.03031
0.649989,0.283633,1.97001
0.666654,0.306158,1.90807
0.683324,0.34117,1.81178
0.699987,0.36517,1.74578
0.716659,0.389732,1.67824
0.733324,0.414832,1.60921
0.749988,0.440333,1.53908
0.766659,0.466334,1.46758
0.78332,0.492662,1.39518
0.799988,0.519365,1.32175
0.816656,0.546414,1.24736
0.833322,0.57366,1.17243
0.849994,0.601165,1.0968
0.866654,0.628789,1.02083
0.88332,0.656583,0.944396
0.89999,0.698458,0.829241
0.916655,0.726408,0.752378
0.93332,0.754375,0.67547
0.949989,0.782216,0.598906
0.966653,0.809982,0.52255
0.983322,0.837537,0.446773
0.999991,0.864927,0.37145
1.01665,0.892116,0.296681
1.03332,0.918969,0.222836
1.04999,0.945519,0.149823
1.06665,0.971644,0.0779784
1.08332,0.997379,0.00720692
1.09999,1.02268,0
1.11665,1.05961,0
1.13332,1.08359,0
1.14999,1.10696,0
1.16665,1.12972,0
1.18332,1.15178,0
1.19999,1.17316,0
1.21666,1.19383,0
1.23332,1.21371,0
1.24999,1.23283,0
1.26667,1.25107,0
1.28332,1.26844,0
1.29999,1.28501,0
1.31665,1.30072,0
1.33332,1.32272,0
1.34999,1.3363,0
1.36665,1.349,0
1.38332,1.36084,0
1.39999,1.37164,0
1.41666,1.38154,0
1.43332,1.39059,0
1.44999,1.39874,0
1.46666,1.40606,0
1.48332,1.41249,0
1.49999,1.41804,0
1.51666,1.42271,0
1.53332,1.42646,0
1.54999,1.43059,0
1.56677,1.43234,0
1.58333,1.43334,0
1.59999,1.43355,0
1.61666,1.433,0
1.63332,1.43175,0
1.64999,1.42972,0
1.66665,1.42703,0
1.68332,1.42364,0
1.69999,1.41956,0
1.71666,1.41487,0
1.73332,1.40952,0
1.74999,1.4036,0
1.76665,1.39349,0
1.78332,1.38604,0
1.79999,1.37803,0
1.81665,1.36947,0
1.83332,1.36042,0
1.84999,1.35086,0
1.86666,1.34085,0
1.88332,1.33036,0
1.89999,1.31943,0
1.91666,1.3081,0
1.93333,1.29634,0
1.94994,1.28421,0
1.96666,1.26528,0
1.98332,1.25224,0
1.99999,1.23886,0
2.01666,1.22517,0
2.03332,1.21123,0
2.04999,1.19699,0
2.06666,1.18249,0
2.08332,1.16772,0
2.09999,1.1527,0
2.11666,1.13747,0
2.13332,1.12201,0
2.14999,1.10647,0
