Time,Pos_Z,Output_Z
1.172e-06,-5.04947,-8.07952
0.0166475,-5.04876,-8.08555
0.033319,-5.04806,-8.09147
0.049936,-5.04738,-8.09728
0.066647,-5.04671,-8.10293
0.0833134,-5.04607,-8.10843
0.0999792,-5.04589,-8.10996
0.116647,-5.04699,-8.10057
0.133269,-5.0497,-8.07759
0.149985,-5.05693,-8.01613
0.166651,-5.06389,-7.95695
0.183314,-5.07253,-7.88347
0.199978,-5.08285,-7.79581
0.216646,-5.09478,-7.69437
0.233311,-5.10839,-7.57871
0.249979,-5.12359,-7.44945
0.266646,-5.14044,-7.30628
0.283314,-5.15894,-7.14903
0.299981,-5.17906,-6.97797
0.316645,-5.20085,-6.79275
0.333314,-5.22426,-6.59383
0.349982,-5.24931,-6.38086
0.366645,-5.29,-6.03497
0.383311,-5.31919,-5.78689
0.399979,-5.35004,-5.52466
0.416642,-5.38254,-5.24842
0.433313,-5.41673,-4.95779
0.449974,-5.45255,-4.65332
0.466639,-5.48994,-4.33549
0.483312,-5.52877,-4.00549
0.499973,-5.56885,-3.66476
0.516647,-5.61006,-3.31445
0.533316,-5.65221,-2.95618
0.549981,-5.6952,-2.59078
0.566647,-5.73891,-2.21924
0.583307,-5.78325,-1.84238
0.599985,-5.8281,-1.46115
0.616644,-5.89577,-0.885971
0.633309,-5.94048,-0.50591
0.649979,-5.98431,-0.133388
0.666644,-6.02682,0.227972
0.683309,-6.06764,0.574943
0.69998,-6.10659,0.906001
0.716643,-6.14349,1.21962
0.733313,-6.17836,1.51604
0.749979,-6.21118,1.79504
0.766642,-6.2419,2.05614
0.785851,-6.27059,2.30002
0.799978,-6.29716,2.52583
0.816643,-6.32172,2.73462
0.833308,-6.34423,2.926
0.849973,-6.36464,3.09946
0.866643,-6.39141,3.327
0.883306,-6.40664,3.45646
0.899974,-6.41982,3.56851
0.916645,-6.43087,3.6624
0.933311,-6.43988,3.73894
0.949978,-6.4468,3.79779
0.966639,-6.45164,3.83894
0.983308,-6.4545,3.86329
0.999979,-6.4554,3.87088
