Time,Pos_Z,Output_Z
8.02e-07,-5.04354,-10
0.0166619,-5.02411,-10
0.0333243,-5.01781,-10
0.049993,-5.00547,-10
0.0666559,-4.99346,-10
0.0833229,-4.98179,-10
0.09999,-4.97056,-10
0.116658,-4.95587,-10
0.133323,-4.94805,-10
0.149991,-4.94192,-10
0.166654,-4.93749,-10
0.183323,-4.93476,-10
0.2,-4.93372,-10
0.21666,-4.93431,-10
0.233325,-4.93653,-10
0.249994,-4.94043,-10
0.266684,-4.94595,-10
0.283323,-4.95315,-10
0.299988,-4.96199,-10
0.316657,-4.97248,-10
0.333326,-4.98464,-10
0.349989,-5.00598,-10
0.366656,-5.0223,-10
0.383322,-5.04027,-10
0.399983,-5.05993,-10
0.416653,-5.08124,-10
0.433323,-5.10425,-10
0.45,-5.12894,-10
0.466656,-5.15528,-10
0.483325,-5.18322,-9.80139
0.499991,-5.21259,-9.4489
0.516653,-5.2433,-9.08042
0.533317,-5.27519,-8.69775
0.54999,-5.30812,-8.30251
0.566654,-5.35926,-7.68884
0.583317,-5.39436,-7.26771
0.599991,-5.43016,-6.83805
0.616656,-5.4666,-6.40083
0.633326,-5.50363,-5.95648
0.649995,-5.54117,-5.50598
0.666683,-5.57921,-5.04947
0.683326,-5.6177,-4.58766
0.699997,-5.65659,-4.1209
0.716658,-5.69589,-3.64938
0.733324,-5.73551,-3.17385
0.749983,-5.77548,-2.69424
0.766654,-5.81574,-2.21115
0.783324,-5.85629,-1.72451
0.799984,-5.89713,-1.23444
0.816654,-5.93814,-0.742321
0.833318,-5.99931,-0.0082798
0.849989,-6.0392,0.470346
0.866656,-6.07784,0.934124
0.883319,-6.11482,1.37789
0.899992,-6.14991,1.79887
0.916661,-6.18297,2.19567
0.933322,-6.21395,2.56735
0.95,-6.24287,2.91441
0.966682,-6.26966,3.23589
0.98333,-6.29443,3.5332
0.999998,-6.31716,3.80589
1.01666,-6.33777,4.05326
1.03334,-6.35635,4.27618
1.04999,-6.37279,4.47343
1.06666,-6.38719,4.64627
1.08332,-6.40486,4.85826
1.09999,-6.41404,4.9685
1.11666,-6.42114,5.05363
1.13333,-6.42611,5.11331
1.14999,-6.42905,5.14855
1.16668,-6.42993,5.1592
1.18332,-6.42892,5.14702
1.2,-6.42603,5.1123
1.21666,-6.42131,5.0557
1.23333,-6.41487,4.97849
1.25,-6.40675,4.88102
1.26667,-6.39709,4.76503
1.28333,-6.37976,4.55711
1.29999,-6.36648,4.3977
1.31666,-6.35186,4.22232
1.33332,-6.336,4.03194
1.34999,-6.31896,3.82753
1.36665,-6.30081,3.60974
1.38333,-6.28164,3.37969
1.39999,-6.26148,3.13782
1.41666,-6.24043,2.88518
1.43332,-6.21852,2.62223
1.45,-6.19582,2.34979
1.46665,-6.17238,2.06855
1.48332,-6.14824,1.77888
1.49999,-6.11087,1.33045
1.51666,-6.08521,1.02256
1.53332,-6.05904,0.708509
1.55,-6.03237,0.388458
1.56667,-6.00526,0.063097
1.58333,-5.97772,-0.26734
1.6,-5.94978,-0.602623
1.61666,-5.9215,-0.941986
1.63332,-5.89288,-1.28545
1.64999,-5.86413,-1.6305
1.66666,-5.83565,-1.97217
1.68332,-5.80782,-2.30615
1.69999,-5.78115,-2.6262
1.71666,-5.74396,-3.07247
1.73332,-5.72118,-3.34579
1.74999,-5.7,-3.60003
1.76666,-5.68045,-3.83455
1.78332,-5.66244,-4.05072
1.79999,-5.64597,-4.24836
1.81665,-5.6311,-4.42679
1.83332,-5.61776,-4.58684
1.84999,-5.60604,-4.72747
1.86665,-5.59585,-4.8498
1.88332,-5.58722,-4.95333
1.89999,-5.58021,-5.03753
1.91665,-5.57475,-5.10301
1.93332,-5.56961,-5.16471
1.95,-5.56815,-5.18217
1.96666,-5.56834,-5.17991
1.98332,-5.5701,-5.1588
1.99999,-5.57347,-5.11835
2.01666,-5.57848,-5.05826
2.03332,-5.58509,-4.97889
2.05,-5.59336,-4.87968
2.06667,-5.60322,-4.76131
2.08332,-5.61473,-4.6232
2.09999,-5.6279,-4.46515
2.11665,-5.64271,-4.28744
2.13332,-5.65921,-4.08953
2.14999,-5.67733,-3.87205
