X,Y,Z
0.0041102,0.00366817,-0.641888
0.00407647,0.00369753,-0.617266
0.00403811,0.00372774,-0.592648
0.00399425,0.00376,-0.568034
0.00394632,0.00379275,-0.543424
0.00389339,0.00382714,-0.518818
0.00383581,0.00386296,-0.494216
0.00374302,0.00391722,-0.45732
0.00368328,0.00393361,-0.432737
0.00362765,0.00392985,-0.408168
0.0035679,0.00392964,-0.383602
0.00350519,0.00393109,-0.359039
0.00343872,0.00393554,-0.33448
0.00336878,0.00394278,-0.309924
0.00329639,0.00395119,-0.285372
0.00322083,0.00396206,-0.260823
0.00310923,0.00390959,-0.236278
0.00299627,0.00386271,-0.211737
0.00288202,0.00382093,-0.187198
0.00270871,0.00376361,-0.150396
0.00259181,0.00373137,-0.125865
0.00247417,0.00370157,-0.101336
0.00235568,0.00367609,-0.0768096
0.00221446,0.0036478,-0.0522833
0.00205214,0.00361891,-0.0277582
0.00189103,0.00359403,-0.00323455
0.00173094,0.00357162,0.0212865
0.00157224,0.00355292,0.0458037
0.00141473,0.00353644,0.0703173
0.0012589,0.00352325,0.0948252
0.00110485,0.00351314,0.119329
0.000996682,0.00351879,0.143825
0.000931383,0.00354034,0.168315
0.000863917,0.00356224,0.192801
0.000758183,0.0035979,0.229522
0.000686021,0.00362207,0.254
0.000612442,0.00364743,0.278475
0.000537601,0.00367393,0.30295
0.000458672,0.00370592,0.327414
0.000375821,0.00374395,0.351867
0.000293079,0.00378148,0.376317
0.00021063,0.00381947,0.400761
0.000128662,0.00385788,0.425202
4.72621e-05,0.00389576,0.449638
-3.32782e-05,0.00393394,0.47407
-0.000112984,0.00397153,0.498497
-0.000152735,0.00401066,0.535125
-0.000156015,0.00403155,0.559538
-0.000162344,0.00405408,0.583946
-0.000171301,0.00407809,0.608351
-0.000182169,0.00410269,0.632753
-0.000195066,0.00412865,0.657152
-0.000209415,0.0041551,0.681551
-0.000225414,0.00418276,0.705947
-0.000172314,0.00425144,0.73033
-0.000123959,0.00431824,0.75471
-8.07479e-05,0.00438364,0.779088
-4.14909e-05,0.00444714,0.803464
-6.51068e-06,0.00450947,0.827836
3.91979e-05,0.00460049,0.86439
6.55971e-05,0.0046595,0.888755
0.000163481,0.00475279,0.913107
0.000254927,0.00484273,0.937458
0.000339424,0.00492962,0.961808
0.000418273,0.00501332,0.986157
0.000512032,0.00506721,0.992213
0.000606211,0.00510995,0.992173
0.00069391,0.00515076,0.992134
0.000775484,0.00518974,0.992096
0.000859393,0.00526086,0.992007
0.000937172,0.00532826,0.991917
0.0010092,0.00539217,0.991826
0.00107647,0.00545345,0.991736
0.00116786,0.00554013,0.991603
0.00122332,0.00559477,0.991515
0.00127422,0.00564683,0.991428
0.00131343,0.00571048,0.991309
0.00134891,0.00577141,0.991193
0.0013809,0.00582972,0.99108
0.00140993,0.00588607,0.99097
0.00143584,0.00593998,0.990863
0.00145907,0.00599202,0.990759
0.00147957,0.00604167,0.990658
0.00149748,0.00608907,0.99056
0.00155275,0.00614028,0.990465
0.00162569,0.00621285,0.990328
0.00166828,0.00625873,0.990241
0.00170626,0.00630242,0.990156
0.00173998,0.00634439,0.990074
0.00176966,0.00638428,0.989995
0.00179559,0.00642216,0.989919
0.00180527,0.00645574,0.98984
0.0017995,0.00648538,0.98976
0.00179118,0.0065144,0.989682
0.00178106,0.00654227,0.989607
0.00176929,0.00656903,0.989535
0.00175544,0.00659516,0.989466
0.00174026,0.0066202,0.989399
0.00172733,0.00669993,0.989301
0.00173392,0.00680695,0.989234
0.00173864,0.00690961,0.989171
0.00174188,0.00700678,0.989109
0.00174382,0.00709877,0.98905
0.00174444,0.00718703,0.988992
0.00174408,0.0072705,0.988937
0.00174259,0.00735053,0.988884
0.0017663,0.00745469,0.988827
0.00181239,0.00758033,0.988768
0.00185428,0.00769989,0.988711
0.00189234,0.00781216,0.988656
0.00192668,0.00791885,0.988603
0.00197209,0.00806614,0.988527
0.00199836,0.008158,0.988478
0.00202188,0.00824381,0.988431
0.00212142,0.00829558,0.9884
0.00221434,0.00834323,0.988371
0.00230061,0.00838641,0.988341
0.00238104,0.00842575,0.988313
0.00245563,0.00846096,0.988286
0.00252478,0.00849224,0.988259
0.0025891,0.00852015,0.988233
0.00264007,0.00855321,0.988197
0.00267821,0.00859158,0.988154
0.00271274,0.00862599,0.988112
0.0027439,0.00865668,0.988071
0.0027717,0.00868436,0.988032
0.00280783,0.00871997,0.987977
0.00282833,0.00874034,0.987941
0.00284639,0.00875793,0.987907
0.00291361,0.00878014,0.987841
0.00297507,0.00879916,0.987779
0.00303114,0.00881521,0.987719
0.00308203,0.00882875,0.987662
0.00312821,0.00883979,0.987607
0.00316981,0.00884857,0.987555
0.00320735,0.00885511,0.987505
0.00324855,0.00888836,0.98745
0.00329314,0.00894633,0.98739
0.00333397,0.00899937,0.987333
0.00337128,0.00904842,0.987279
0.00342133,0.00911386,0.987201
0.00345099,0.00915319,0.987152
0.003478,0.00918887,0.987104
0.00350256,0.00922115,0.987058
0.00356471,0.00927103,0.986994
0.00362153,0.00931685,0.986932
0.00367312,0.00935954,0.986874
0.00372002,0.00939868,0.986817
0.00376255,0.0094345,0.986763
0.0038007,0.00946779,0.986712
0.00383506,0.00949816,0.986662
0.00386558,0.00952624,0.986614
0.00391501,0.00966739,0.986509
0.00394382,0.00975523,0.986443
0.00396982,0.00983729,0.98638
0.00399324,0.00991395,0.986319
0.004014,0.00998664,0.986262
0.00403258,0.0100545,0.986207
0.00404882,0.0101187,0.986154
0.00414129,0.0101554,0.986098
0.00422744,0.0101887,0.986045
0.00430799,0.0102193,0.985994
0.00438302,0.0102466,0.985946
0.00445313,0.0102715,0.9859
0.00454926,0.0103033,0.985835
0.00460797,0.0103217,0.985794
0.004678,0.0103385,0.985746
0.00475847,0.0103532,0.985691
0.00483495,0.0103643,0.98564
0.00490698,0.0103721,0.98559
0.00497553,0.0103765,0.985542
0.00504011,0.010378,0.985496
0.00510098,0.0103769,0.985452
0.00515881,0.0103732,0.985409
0.00521279,0.010397,0.985355
0.00526359,0.0104475,0.985291
0.00531129,0.0104937,0.985229
0.00535605,0.010536,0.98517
0.0054186,0.0105936,0.985086
0.00545687,0.010628,0.985033
0.00549293,0.0106597,0.984982
0.00552176,0.0106717,0.984926
0.00554373,0.0106645,0.984866
0.00556382,0.010656,0.984808
0.0055821,0.0106463,0.984753
0.00559871,0.0106352,0.9847
0.00561367,0.0106231,0.984649
0.00562708,0.0106097,0.9846
0.005639,0.0105956,0.984553
0.00566448,0.0106138,0.984507
0.00570307,0.0106621,0.98446
0.00573944,0.0107069,0.984416
0.00577428,0.0107487,0.984374
0.00582271,0.0108058,0.984313
