Time,X,Y,Z
2.11662,6.91009,6.5221,-2.25885
2.13328,6.98312,6.58568,-2.24495
2.14994,7.05398,6.64914,-2.23186
2.16662,7.12422,6.71113,-2.21957
2.18328,7.19359,6.77183,-2.20805
2.19994,7.26208,6.83122,-2.19727
2.21662,7.32987,6.88912,-2.18736
2.23328,7.39672,6.94568,-2.17828
2.24994,7.46288,7.00074,-2.16998
2.26662,7.5281,7.05449,-2.16235
2.28328,7.59122,7.1079,-2.15539
2.29995,7.65367,7.1598,-2.14908
2.31662,7.71523,7.21039,-2.14336
2.33328,7.80618,7.28362,-2.13592
2.34995,7.86571,7.33083,-2.13167
2.36662,7.92457,7.37658,-2.12799
2.38328,7.98252,7.42108,-2.12483
2.39994,8.03846,7.46531,-2.12223
2.41662,8.09375,7.50809,-2.12014
2.43328,8.14818,7.54958,-2.11856
2.44995,8.20197,7.58961,-2.11751
2.46662,8.25489,7.6284,-2.11693
2.48328,8.30696,7.66594,-2.11681
2.49995,8.35839,7.70209,-2.11714
2.5166,8.40899,7.73705,-2.11789
2.53328,8.45773,7.77162,-2.11908
2.54997,8.52937,7.82128,-2.1216
2.56661,8.57638,7.85271,-2.12376
2.58328,8.62263,7.883,-2.1263
2.59995,8.66812,7.91214,-2.1292
2.61661,8.71303,7.93999,-2.13245
2.63328,8.75719,7.96675,-2.13604
2.64995,8.79982,7.99325,-2.13999
2.66657,8.84177,8.01863,-2.14425
2.68328,8.88302,8.04291,-2.14881
2.69995,8.92374,8.06595,-2.15366
2.71661,8.96379,8.08792,-2.15879
2.73328,9.00331,8.10867,-2.16418
2.74995,9.04216,8.12841,-2.16983
2.76662,9.09891,8.15648,-2.17876
2.78328,9.1355,8.17447,-2.18502
2.79994,9.17149,8.19144,-2.1915
2.81661,9.20699,8.20727,-2.19817
2.83328,9.24189,8.22212,-2.20504
2.84995,9.27631,8.23586,-2.21208
2.86663,9.31014,8.24867,-2.21929
2.88328,9.34338,8.26054,-2.22664
2.89995,9.3757,8.27185,-2.23414
2.91662,9.40702,8.2827,-2.24179
2.93329,9.43791,8.29248,-2.24955
2.94995,9.46827,8.30135,-2.25742
2.96662,9.4981,8.30931,-2.26541
2.98328,9.54203,8.31938,-2.27756
2.99995,9.57065,8.32503,-2.28577
3.01662,9.59847,8.33017,-2.29406
3.03328,9.62544,8.33491,-2.30244
3.04995,9.652,8.33866,-2.31087
3.06662,9.6781,8.34156,-2.31937
3.08328,9.70374,8.34361,-2.3279
3.09995,9.72898,8.34473,-2.33645
3.11661,9.75375,8.34503,-2.34502
3.13328,9.77812,8.34443,-2.3536
3.14996,9.80171,8.34346,-2.3622
3.16661,9.82455,8.34208,-2.37083
3.18328,9.84702,8.33981,-2.37945
3.19995,9.87994,8.33489,-2.39239
3.21661,9.9014,8.33057,-2.40101
3.23328,9.92245,8.32549,-2.40961
3.24995,9.9431,8.31957,-2.4182
3.26661,9.96335,8.31292,-2.42677
3.28329,9.98247,8.30643,-2.43535
3.29995,10.0012,8.29911,-2.44387
3.31662,10.0197,8.29106,-2.45234
3.33329,10.0377,8.28222,-2.46076
3.34995,10.0554,8.27268,-2.46912
3.36661,10.0728,8.26244,-2.47744
3.38329,10.0897,8.25146,-2.48569
3.39995,10.106,8.24026,-2.49389
3.41662,10.1294,8.22275,-2.50609
3.43328,10.1446,8.21023,-2.51415
3.44995,10.1594,8.19698,-2.52215
3.46662,10.1739,8.1831,-2.53009
3.48328,10.1881,8.16859,-2.53798
3.49995,10.202,8.15341,-2.54579
3.51662,10.2155,8.13764,-2.55354
3.53328,10.2282,8.12195,-2.56122
3.54995,10.2406,8.10567,-2.56883
3.56662,10.2528,8.08879,-2.57636
3.58328,10.2646,8.0713,-2.58382
3.59995,10.2761,8.05326,-2.5912
3.61662,10.2873,8.03462,-2.5985
3.63328,10.3036,8.00571,-2.60932
3.64995,10.3136,7.98646,-2.61644
3.66662,10.3234,7.96669,-2.62349
3.68328,10.3328,7.94641,-2.63046
3.69995,10.342,7.9256,-2.63736
3.71662,10.351,7.90431,-2.64419
3.73328,10.3596,7.88253,-2.65093
3.74995,10.368,7.86031,-2.65759
3.76662,10.3761,7.83767,-2.66417
3.78328,10.3835,7.81525,-2.67067
3.79995,10.3907,7.7924,-2.6771
3.81662,10.3976,7.76911,-2.68345
3.83328,10.4075,7.73345,-2.69285
3.84995,10.4138,7.70917,-2.69902
3.86661,10.4199,7.68455,-2.70513
3.88328,10.4257,7.65958,-2.71117
3.89994,10.4311,7.63463,-2.71715
3.91661,10.4361,7.6097,-2.72306
3.93328,10.4409,7.58443,-2.7289
3.94995,10.4454,7.55886,-2.73466
3.96662,10.4498,7.53298,-2.74035
3.98328,10.4539,7.50683,-2.74598
3.99994,10.4579,7.48042,-2.75153
4.01662,10.4616,7.45375,-2.75703
4.03328,10.4647,7.42762,-2.76246
4.04995,10.4677,7.40123,-2.76783
4.06662,10.4718,7.36121,-2.77578
4.08328,10.4743,7.33427,-2.78101
4.09995,10.4766,7.30713,-2.78619
4.11662,10.4787,7.27983,-2.7913
4.13328,10.4806,7.25236,-2.79637
4.14996,10.4822,7.22513,-2.80138
4.16661,10.4836,7.19812,-2.80633
4.18328,10.4847,7.17096,-2.81122
4.19995,10.4857,7.14367,-2.81605
4.21661,10.4865,7.11626,-2.82082
4.23328,10.4872,7.08876,-2.82555
