Time,X,Y,Z
1.0679e-05,0.0038758,0.0493208,-4.9928
0.0166323,0.00405736,0.0492083,-4.99286
0.0332974,0.00421911,0.0491134,-4.99292
0.0499595,0.0043583,0.0490398,-4.99298
0.0666387,0.00447645,0.0489863,-4.99304
0.083309,0.00457802,0.048947,-4.99309
0.0999766,0.00465398,0.0489203,-4.99292
0.116645,0.00474458,0.048794,-4.99207
0.133308,0.00487572,0.0485761,-4.99017
0.149966,0.0050543,0.0483665,-4.98694
0.166628,0.005329,0.0481726,-4.98238
0.183292,0.00571182,0.0480208,-4.97656
0.199964,0.00653045,0.0479291,-4.96567
0.216646,0.00710791,0.0479683,-4.95726
0.233313,0.00791562,0.0481681,-4.94795
0.24997,0.00876501,0.0480787,-4.938
0.266637,0.00977515,0.0480808,-4.92755
0.283302,0.0112845,0.0483916,-4.91664
0.29997,0.0130899,0.048933,-4.90548
0.316636,0.0155029,0.04995,-4.89385
0.333304,0.01831,0.0512983,-4.88188
0.349971,0.0217342,0.0530601,-4.86963
0.366638,0.0261113,0.055386,-4.85693
0.383303,0.0313442,0.0581092,-4.84389
0.399936,0.0376031,0.0616368,-4.83046
0.41665,0.0448258,0.0658531,-4.81677
0.433305,0.0531049,0.070878,-4.80271
0.449971,0.0677696,0.0804168,-4.78102
0.466638,0.0791037,0.0881379,-4.76639
0.483304,0.0917846,0.0971128,-4.75157
0.499987,0.106119,0.107351,-4.73654
0.516641,0.121849,0.118878,-4.72125
0.533304,0.13898,0.131641,-4.70549
0.549966,0.157431,0.145609,-4.68911
0.566634,0.177284,0.160923,-4.67241
0.583302,0.198545,0.17762,-4.65533
0.599965,0.221199,0.195641,-4.63784
0.616645,0.245276,0.215075,-4.62003
0.633306,0.270902,0.236066,-4.6018
0.649981,0.297921,0.258337,-4.58317
0.666636,0.32647,0.282031,-4.56429
0.683304,0.356525,0.307092,-4.5452
0.699972,0.387969,0.33348,-4.52566
0.716635,0.437873,0.37571,-4.49574
0.733298,0.472894,0.405562,-4.47529
0.74996,0.509575,0.437004,-4.45451
0.766635,0.547752,0.469827,-4.43358
0.783302,0.587419,0.504055,-4.41238
0.799969,0.628606,0.539639,-4.391
0.816635,0.6713,0.576633,-4.36941
0.833298,0.715529,0.615043,-4.34764
0.84996,0.761359,0.654853,-4.32588
0.866636,0.808781,0.696136,-4.30412
0.8833,0.857726,0.738971,-4.28223
0.899964,0.908024,0.783108,-4.25999
0.916629,0.959609,0.828493,-4.23727
0.933296,1.03937,0.898772,-4.20253
0.949961,1.09417,0.947281,-4.17919
0.966632,1.15028,0.997004,-4.1557
0.983296,1.20759,1.04785,-4.13175
0.999963,1.26608,1.10002,-4.10729
1.01663,1.32574,1.1533,-4.08232
1.0333,1.38665,1.20774,-4.05698
1.04996,1.44876,1.26323,-4.03145
1.06663,1.5121,1.31988,-4.00575
1.0833,1.57666,1.37755,-3.97991
1.09996,1.64241,1.4363,-3.95392
1.11664,1.70935,1.49619,-3.9279
1.1333,1.77741,1.55752,-3.90194
1.14996,1.8817,1.65157,-3.86302
1.16663,1.95262,1.71548,-3.83695
1.18329,2.02455,1.78038,-3.81062
1.19996,2.09751,1.84614,-3.78411
1.21664,2.17142,1.91278,-3.75746
1.2333,2.24624,1.98031,-3.73072
1.24996,2.32194,2.04881,-3.70399
1.26663,2.39846,2.11835,-3.67722
1.28329,2.47587,2.18854,-3.65033
1.29996,2.55412,2.25945,-3.6233
1.31663,2.6332,2.33105,-3.59612
1.3333,2.71305,2.4032,-3.56889
1.34996,2.79365,2.47605,-3.54163
1.36662,2.91579,2.58668,-3.50077
1.3833,2.99797,2.66158,-3.47365
1.39996,3.0809,2.73699,-3.44662
1.41663,3.16448,2.81295,-3.41982
1.4333,3.24865,2.88945,-3.39319
1.44996,3.33336,2.96634,-3.36675
1.46663,3.41856,3.04366,-3.3404
1.48329,3.50426,3.12121,-3.31403
1.49996,3.59028,3.19936,-3.28767
1.51663,3.67663,3.27813,-3.26133
1.53329,3.76341,3.35707,-3.23509
1.54996,3.85053,3.43636,-3.20896
1.56663,3.98184,3.55563,-3.16994
1.58329,4.06971,3.63538,-3.14399
1.59996,4.15785,3.71513,-3.11797
1.61664,4.24615,3.79497,-3.09192
1.6333,4.33431,3.87543,-3.06593
1.64996,4.4226,3.95581,-3.04005
1.66663,4.51097,4.03618,-3.01423
1.6833,4.59945,4.11633,-2.98845
1.69996,4.68803,4.1963,-2.96288
1.71663,4.77672,4.27608,-2.93751
1.73329,4.86542,4.35558,-2.91227
1.74996,4.95385,4.4352,-2.88721
