Time,X,Y,Z
1.0679e-05,7.95684,6.99858,0
0.0166323,8.14837,7.09316,0
0.0332974,8.01406,6.95312,0
0.0499595,7.88471,6.89549,0
0.0666387,8.06033,7.0801,0
0.083309,7.99573,6.90048,0
0.0999766,8.13137,7.1454,0
0.116645,8.26205,6.93372,0
0.133308,8.15043,6.84167,0
0.149966,8.10544,6.94167,0
0.166628,7.97661,7.10905,0
0.183292,8.12979,7.07076,0
0.199964,8.20139,7.04927,0
0.216646,7.98549,6.89737,0
0.233313,8.04762,6.91558,0
0.24997,8.22348,7.13943,0
0.266637,8.12498,7.01848,0
0.283302,8.23918,7.08176,0
0.29997,8.26033,7.12095,0
0.316636,7.86978,6.93888,0
0.333304,8.21497,6.80049,0
0.349971,8.08276,7.01232,0
0.366638,8.19734,6.79059,0
0.383303,8.11462,6.93392,0
0.399936,8.11819,6.91575,0
0.41665,8.37487,6.86259,0
0.433305,8.06718,7.06357,0
0.449971,8.26986,7.08892,0
0.466638,8.35279,7.0309,0
0.483304,8.12223,6.90978,0
0.499987,8.17221,6.85942,0
0.516641,8.25783,7.02582,0
0.533304,8.16824,6.7715,0
0.549966,8.177,6.97996,0
0.566634,8.3938,7.02535,0
0.583302,8.09971,7.07235,0
0.599965,8.15572,6.92337,0
0.616645,8.43292,6.96572,0
0.633306,8.14764,6.9562,0
0.649981,8.23682,6.95276,0
0.666636,8.24814,6.9089,0
0.683304,8.26141,6.83849,0
0.699972,8.37217,7.00337,0
0.716635,8.27345,6.86898,0
0.733298,8.37395,6.98929,0
0.74996,8.48418,7.04422,0
0.766635,8.50017,7.08593,0
0.783302,8.34477,7.10089,0
0.799969,8.29041,6.95456,0
0.816635,8.14747,6.99985,0
0.833298,8.3201,6.95491,0
0.84996,8.33972,7.20721,0
0.866636,8.32439,6.92705,0
0.8833,8.12778,7.20572,0
0.899964,8.4189,6.99934,0
0.916629,8.36315,7.02203,0
0.933296,8.29568,7.09738,0
0.949961,8.34132,6.83611,0
0.966632,8.45829,6.97441,0
0.983296,8.31332,6.75974,0
0.999963,8.36226,7.06419,0
1.01663,8.39562,7.04632,0
1.0333,8.48106,7.06795,0
1.04996,8.51495,7.03622,0
1.06663,8.42897,7.21747,0
1.0833,8.37192,7.05366,0
1.09996,8.3884,6.97584,0
1.11664,8.30285,7.05858,0
1.1333,8.36063,6.93453,0
1.14996,8.54842,6.93373,0
1.16663,8.36616,6.97403,0
1.18329,8.3064,6.73864,0
1.19996,8.45444,7.02534,0
1.21664,8.4164,7.08605,0
1.2333,8.51469,7.04488,0
1.24996,8.46272,6.92438,0
1.26663,8.57343,7.00242,0
1.28329,8.4265,7.06058,0
1.29996,8.44285,6.86702,0
1.31663,8.33699,7.09576,0
1.3333,8.55401,6.74606,0
1.34996,8.54094,6.97445,0
1.36662,8.53328,6.98531,0
1.3833,8.4888,6.99757,0
1.39996,8.52664,7.1135,0
1.41663,8.43986,6.90596,0
1.4333,8.45536,7.02776,0
1.44996,8.63297,6.85757,0
1.46663,8.49611,7.06867,0
1.48329,8.56675,6.99163,0
1.49996,8.44176,7.00343,0
1.51663,8.34203,7.04785,0
1.53329,8.4785,6.84167,0
1.54996,8.44184,6.87128,0
1.56663,8.51406,6.78454,0
1.58329,8.64246,6.91344,0
1.59996,8.44842,6.89238,0
1.61664,8.50517,6.82807,0
1.6333,8.6719,6.88734,0
1.64996,8.50832,7.12823,0
1.66663,8.52775,6.94004,0
1.6833,8.6281,6.99663,0
1.69996,8.51276,6.97705,0
1.71663,8.50084,6.91417,0
1.73329,8.56384,6.8733,0
1.74996,8.54725,6.90651,0
1.76663,8.54615,6.64537,0
1.78329,8.60001,6.82468,0
1.79996,8.58509,7.0922,0
1.81663,8.50126,6.96051,0
1.83329,8.67652,6.76621,0
1.84996,8.60446,7.06407,0
1.86663,8.5973,6.94968,0
1.8833,8.60856,6.95349,0
1.89997,8.71553,6.97685,0
1.91662,8.72105,6.81225,0
1.93329,8.75501,6.97643,0
1.94996,8.69475,6.90324,0
1.96663,8.67975,6.69273,0
1.9833,8.61788,6.88286,0
1.99996,8.60134,6.86571,0
2.01662,8.83497,6.8998,0
2.0333,8.74409,6.92934,0
2.04996,8.69287,7.06876,0
2.06663,8.66457,6.84481,0
2.08329,8.76146,6.98338,0
2.09996,8.60306,7.09654,0
2.11663,8.63898,6.75768,0
2.13329,8.78585,6.90245,0
2.14996,8.79976,6.96854,0
2.16663,8.83554,6.96068,0
2.18329,8.83048,6.91816,0
2.19996,8.64358,6.93599,0
2.21663,8.78795,6.76108,0
2.23329,8.72347,6.99853,0
2.24996,8.65935,6.98537,0
2.26663,8.66518,6.94201,0
2.28331,8.63626,6.86874,0
2.29996,8.77069,6.93483,0
2.31662,8.94725,6.99622,0
2.33329,8.68383,7.03921,0
2.34996,8.7943,6.92826,0
2.36663,8.76907,6.911,0
2.3833,8.85589,6.91706,0
2.39996,8.74066,6.86117,0
2.41662,8.78086,6.9775,0
2.43329,8.70811,6.87856,0
2.44996,8.84177,6.902,0
2.46663,8.76905,7.06302,0
2.48329,8.73554,6.83961,0
2.49996,8.74625,6.87965,0
2.51663,8.7904,6.80829,0
2.53329,8.69962,6.87433,0
2.54996,8.62015,6.85319,0
2.56663,8.70702,6.91407,0
2.58331,8.75147,6.73914,0
2.59996,8.85172,6.98453,0
2.61663,8.83542,6.80571,0
2.6333,8.71016,6.87822,0
2.64996,8.88133,6.84373,0
2.66663,8.80371,6.79298,0
2.68329,8.92973,6.85167,0
2.69996,8.83593,6.80839,0
2.71662,8.83328,6.76646,0
2.73329,8.75967,6.86143,0
2.74996,8.73986,6.84224,0
2.76663,8.90721,6.72306,0
2.78329,8.91127,6.9284,0
2.79996,8.77433,6.81201,0
2.81663,8.67471,6.75889,0
2.83329,8.93922,6.7837,0
2.84996,8.96436,6.84039,0
2.86663,8.91977,6.84271,0
2.88329,8.88565,6.96723,0
2.89996,8.91138,6.75101,0
2.91663,8.84851,6.87737,0
2.93329,8.9193,7.03734,0
2.94996,8.89121,6.82102,0
2.96662,8.91092,6.78773,0
2.9833,9.02877,7.11839,0
2.99996,8.8581,6.83228,0
3.01665,8.80795,6.87377,0
3.0333,8.98035,6.69816,0
3.04996,9.07155,6.73303,0
3.06663,8.88639,6.65318,0
3.08329,8.94358,6.57564,0
3.09996,8.96989,6.89364,0
3.11663,8.84692,6.93551,0
3.13329,8.88287,6.88866,0
3.14996,8.92045,6.65443,0
3.16663,9.06415,6.81542,0
3.18329,9.02391,6.78278,0
3.19996,8.95227,6.705,0
3.21663,9.07064,6.6421,0
3.23329,8.98131,6.8168,0
3.24996,8.86327,6.69613,0
3.26663,9.01186,6.74106,0
3.2833,8.95038,6.96034,0
3.29996,8.96821,6.97651,0
3.31662,8.96263,6.75294,0
3.3333,8.9893,6.84446,0
3.34996,9.03593,6.69331,0
3.36662,9.08995,6.83894,0
3.38329,9.12623,6.82157,0
3.39996,8.95006,6.58573,0
3.41663,9.05258,6.94458,0
3.43329,8.99719,6.73307,0
3.44996,8.96075,6.6785,0
3.46663,9.04144,6.87628,0
3.48329,9.05382,6.6762,0
3.49997,9.03297,6.7885,0
3.51663,9.10174,6.85177,0
3.53329,9.02219,6.64836,0
3.54996,8.99408,6.69034,0
3.56663,9.01992,6.80971,0
3.58329,8.95726,6.78349,0
3.59996,9.07743,6.77938,0
3.61663,9.2222,6.74618,0
3.6333,8.95156,6.731,0
3.64996,9.03701,6.49567,0
3.66662,9.03046,6.54166,0
3.6833,9.22052,6.85457,0
3.69996,8.9131,6.87298,0
3.71663,9.21668,6.77331,0
3.73329,9.11552,6.65853,0
3.74996,9.28657,6.74967,0
3.76663,9.15078,6.78345,0
3.78329,9.05982,6.69969,0
3.79996,9.14611,6.67183,0
3.81663,9.13915,6.79768,0
3.83329,8.99454,6.73391,0
3.84996,9.22637,6.75514,0
3.86662,9.22362,6.52736,0
3.8833,8.97525,6.68791,0
3.89998,9.0893,6.75145,0
3.91663,9.28609,6.61808,0
3.9333,8.95658,6.73978,0
3.94996,9.17727,6.70286,0
3.96662,8.97478,6.65734,0
3.9833,9.18101,6.60318,0
3.99996,9.07564,6.73534,0
4.01663,9.24144,6.65953,0
4.03329,9.33165,6.51093,0
4.04996,9.22015,6.67203,0
4.06663,9.19013,6.37542,0
4.08329,9.12519,6.81886,0
4.09996,9.18272,6.6364,0
4.11663,9.28399,6.56521,0
4.13329,9.17129,6.55423,0
4.14996,9.22046,6.60199,0
4.16663,9.14089,6.68876,0
4.1833,9.16291,6.6281,0
4.19996,9.09961,6.51367,0
4.21663,9.19539,6.72255,0
4.23329,9.25187,6.64216,0
4.24996,9.26152,6.45774,0
4.26662,9.1544,6.56696,0
4.28329,9.11156,6.487,0
4.29996,9.30734,6.73418,0
4.31663,9.1961,6.66868,0
4.3333,9.20187,6.67704,0
4.34996,9.19332,6.66376,0
4.36663,9.37668,6.49444,0
4.38329,9.34559,6.66296,0
4.39996,9.16061,6.62232,0
4.41663,9.17841,6.64818,0
4.43329,9.27228,6.38965,0
4.44996,9.3363,6.51625,0
4.46662,9.19428,6.4539,0
4.4833,9.17234,6.51977,0
4.49996,9.1788,6.53051,0
4.51662,8.95652,6.56489,0
4.5333,9.0054,6.38735,0
4.54996,9.15552,6.57001,0
4.56662,9.33478,6.64172,0
4.58329,9.09792,6.41662,0
4.59996,9.28702,6.36881,0
4.61663,9.31103,6.35204,0
4.63329,9.32282,6.46518,0
4.64996,9.4613,6.41176,0
4.66663,9.35558,6.74314,0
4.6833,9.26795,6.62139,0
4.69997,9.31122,6.51215,0
4.71663,9.22379,6.48959,0
4.73329,9.28423,6.39192,0
4.74996,9.29439,6.43225,0
4.76663,9.35127,6.4517,0
4.78329,9.2857,6.70178,0
4.79996,9.2887,6.3965,0
4.81663,9.44405,6.35608,0
4.8333,9.41148,6.46653,0
4.84996,9.19743,6.44108,0
4.86662,9.15961,6.61654,0
4.8833,9.17644,6.71165,0
4.89996,9.2799,6.47769,0
4.91663,9.32405,6.4862,0
4.93329,9.20561,6.37012,0
4.94996,9.2308,6.48615,0
4.96663,9.00447,6.4676,0
4.98329,9.27918,6.27971,0
4.99996,9.35945,6.43595,0
5.01662,9.16738,6.40448,0
5.03329,9.29677,6.41221,0
5.04996,9.24313,6.39672,0
5.06663,9.20211,6.34396,0
5.08329,9.31554,6.47834,0
5.09996,9.68092,6.52992,0
5.11663,9.24796,6.57285,0
5.1333,9.62172,6.58935,0
5.14996,9.41573,6.37391,0
5.16662,9.32256,6.50156,0
5.1833,9.33414,6.41286,0
5.19996,9.37064,6.57685,0
5.21663,9.45842,6.25596,0
5.23329,9.40675,6.41273,0
5.24996,9.31853,6.2724,0
5.26663,9.47388,6.57893,0
5.28329,9.34011,6.45507,0
5.29997,9.49024,6.42243,0
5.31663,9.58202,6.37801,0
5.33329,9.22434,6.23636,0
5.34996,9.35902,6.37541,0
5.36662,9.19281,6.33598,0
5.3833,9.43254,6.32786,0
5.39996,9.31244,6.15025,0
5.41663,9.29072,6.255,0
5.4333,9.55678,6.40797,0
5.44996,9.53369,6.31158,0
5.46662,9.56646,6.1219,0
5.4833,9.48431,6.25363,0
5.49996,9.45477,6.26035,0
5.51663,9.43306,6.20337,0
5.53329,9.63021,6.41037,0
5.54996,9.28642,6.43735,0
5.56663,9.38795,6.18398,0
5.58329,9.38308,6.13212,0
5.59996,9.34244,6.34357,0
5.61663,9.5174,6.37128,0
5.63329,9.40923,6.27642,0
5.64996,9.50909,6.14247,0
5.66663,9.43927,6.39494,0
5.68329,9.37124,6.43494,0
5.69996,9.42183,6.36907,0
5.71663,9.16744,6.19219,0
5.73329,9.34854,6.20984,0
5.74996,9.49195,6.36872,0
5.76662,9.37645,6.06118,0
5.7833,9.52883,6.21797,0
5.79996,9.59266,6.34365,0
5.81663,9.41865,6.26499,0
5.83329,9.58286,6.13815,0
5.84996,9.47996,6.30853,0
5.86663,9.48715,6.0771,0
5.88329,9.42184,6.21038,0
5.89996,9.5508,6.32775,0
5.91663,9.52213,6.08046,0
5.93329,9.64012,6.42887,0
5.94997,9.51464,6.2025,0
5.96663,9.40776,6.25073,0
5.98329,9.41422,6.17906,0
5.99996,9.4697,6.16402,0
6.01663,9.46493,6.18948,0
6.0333,9.65972,6.43789,0
6.04996,9.42482,6.32243,0
6.06663,9.49577,6.34831,0
6.0833,9.30452,6.24485,0
6.09996,9.61853,6.1194,0
6.11664,9.42933,6.16028,0
6.13329,9.51097,6.21123,0
6.14996,9.50181,5.97972,0
6.16663,9.64943,6.20897,0
6.18329,9.46312,6.15033,0
6.19996,9.4432,6.01112,0
6.21663,9.72558,6.24959,0
6.23329,9.54738,5.9939,0
6.24996,9.65372,6.17147,0
6.26662,9.40078,6.04673,0
6.28329,9.61614,6.09278,0
6.29996,9.60544,6.19049,0
6.31662,9.54997,6.09187,0
6.33329,9.36159,6.18056,0
6.34996,9.40275,5.93826,0
6.36662,9.54065,6.1008,0
6.38329,9.56534,6.00398,0
6.39996,9.5673,5.96333,0
6.41663,9.62582,6.12753,0
6.43329,9.57104,6.11543,0
6.44996,9.45354,6.13174,0
6.46663,9.60637,6.15004,0
6.48329,9.64465,6.1311,0
6.49996,9.42023,6.15506,0
6.51662,9.55873,6.05952,0
6.53329,9.60031,6.22199,0
6.54996,9.60965,5.88606,0
6.56662,9.61898,6.02299,0
6.58329,9.52822,6.05442,0
6.59996,9.36308,5.88766,0
6.61663,9.52572,5.9988,0
6.6333,9.58726,6.03859,0
6.64996,9.58416,6.13825,0
6.66663,9.67265,5.96264,0
6.68329,9.64365,6.08848,0
6.69996,9.47927,5.94092,0
6.71663,9.59612,6.077,0
6.73329,9.54051,5.99279,0
6.74996,9.37766,5.9787,0
6.76663,9.68309,6.09465,0
6.78329,9.73116,5.98999,0
6.79996,9.42783,5.95534,0
6.81663,9.74538,5.95261,0
6.83329,9.63083,6.06361,0
6.84996,9.67954,5.88797,0
6.86663,9.54772,5.86269,0
6.88329,9.77109,5.93004,0
6.89996,9.67705,5.92652,0
6.91663,9.62628,5.87687,0
6.93329,9.68961,6.08532,0
6.94996,9.8874,5.68277,0
6.96662,9.63949,5.90686,0
6.98329,9.58709,5.91623,0
6.99996,9.68098,5.97757,0
7.01663,9.73344,5.81042,0
7.03329,9.71125,5.7948,0
7.04996,9.67791,5.91387,0
7.06663,9.63854,6.04107,0
7.08329,9.58921,5.68799,0
7.09996,9.67488,5.88458,0
7.11663,9.78834,5.8103,0
7.13329,9.6712,5.78702,0
7.14996,9.52137,5.71052,0
7.16662,9.62747,5.73434,0
7.18329,9.68303,5.78191,0
7.19996,9.67212,5.70116,0
7.21663,9.84116,5.8002,0
7.2333,9.65176,5.73203,0
7.24996,9.73926,5.62348,0
7.26662,9.72697,5.7297,0
7.28329,9.69304,5.83011,0
7.29996,9.78978,5.80663,0
7.31663,9.71006,5.80241,0
7.33329,9.69249,5.77134,0
7.34996,9.51403,5.86276,0
7.36663,9.68257,5.80918,0
7.38329,9.86673,5.83248,0
7.39996,9.70375,5.71024,0
7.41663,9.76118,5.76423,0
7.43329,9.8352,5.60951,0
7.44996,9.64159,5.8226,0
7.46663,9.53152,5.69894,0
7.48329,9.9012,5.76059,0
7.49996,9.66114,5.67761,0
7.51663,9.77041,5.72269,0
7.53329,9.75726,5.63001,0
7.54996,9.66887,5.81864,0
7.56663,9.70248,5.57893,0
7.58328,9.62483,5.61661,0
7.59996,9.38686,5.58047,0
7.61663,9.8835,5.75531,0
7.63328,9.7929,5.52657,0
7.64996,9.79127,5.72844,0
7.66663,9.8546,5.65551,0
7.68329,9.84183,5.60962,0
7.69996,9.78376,5.45851,0
7.71666,9.74891,5.69741,0
7.73329,9.87704,5.43999,0
7.74996,9.79859,5.59411,0
7.76662,9.7811,5.59043,0
7.78333,9.46475,5.55864,0
7.79996,9.77473,5.65395,0
7.81663,9.83157,5.72386,0
7.8333,9.72257,5.54212,0
7.84996,9.78888,5.55869,0
7.86662,9.72394,5.56035,0
7.88329,9.83206,5.70901,0
7.89996,9.82485,5.52,0
7.91663,9.65011,5.59295,0
7.93329,9.99541,5.52377,0
7.94996,9.7206,5.51797,0
7.96663,9.65022,5.77382,0
7.98329,9.81852,5.60051,0
7.99996,9.75947,5.63208,0
8.01663,9.6608,5.53129,0
8.03329,9.87625,5.40382,0
8.04996,9.78577,5.62756,0
8.06663,9.81147,5.55732,0
8.08329,9.67221,5.47675,0
8.09996,9.68553,5.63031,0
8.11663,9.84269,5.60086,0
8.1333,9.67841,5.64287,0
8.14996,9.74263,5.53753,0
8.16663,9.921,5.34352,0
8.1833,9.81217,5.48511,0
8.19996,9.86898,5.37308,0
8.21663,9.77479,5.55963,0
8.23329,9.81969,5.42587,0
8.24996,9.76109,5.56569,0
8.26663,9.70524,5.53901,0
8.28329,9.61633,5.47951,0
8.29996,9.86937,5.47336,0
8.31663,9.85017,5.43553,0
8.33329,9.93188,5.51847,0
8.34996,9.75414,5.42373,0
8.36662,9.71723,5.23342,0
8.38329,9.76905,5.48553,0
8.39996,9.64147,5.41026,0
8.41666,9.93836,5.37711,0
8.4333,9.68482,5.25893,0
8.44996,9.81018,5.27181,0
8.46663,9.8961,5.40978,0
8.48329,9.7391,5.37895,0
8.49996,9.78247,5.29864,0
8.51663,9.79544,5.35707,0
8.53329,9.81957,5.50211,0
8.54996,9.80904,5.38562,0
8.56663,10.0425,5.24753,0
8.58329,9.73683,5.24914,0
8.59999,9.96402,5.24188,0
8.61664,9.69309,5.48693,0
8.63329,9.8391,5.14872,0
8.64996,9.81915,5.4653,0
8.66663,9.80443,5.164,0
8.68329,9.91642,5.10983,0
8.69996,9.92757,5.2501,0
8.71663,9.81452,5.30049,0
8.7333,9.86714,5.23196,0
8.74996,9.84948,5.28109,0
8.76662,9.86743,5.09105,0
8.7833,9.89919,5.30513,0
8.79996,9.91031,5.28451,0
8.81663,9.89135,5.29179,0
8.83329,9.94021,5.41132,0
8.84995,9.82025,5.34579,0
8.86663,9.87268,5.1824,0
8.88334,9.88575,5.0829,0
8.89996,9.81054,5.07185,0
8.91663,10.0021,5.12017,0
8.93329,9.89054,5.29927,0
8.94996,10.0225,5.12236,0
8.96662,9.9518,5.13696,0
8.98329,9.95825,5.23227,0
8.99996,9.99376,5.15265,0
9.01663,9.87675,5.07939,0
9.0333,9.81558,4.99358,0
9.04996,9.96089,4.97146,0
9.06663,9.83363,5.23733,0
9.08329,9.97088,5.36549,0
9.09996,9.91019,5.00345,0
9.11664,9.8782,4.93352,0
9.13329,9.87905,5.04872,0
9.14995,9.79753,5.13374,0
9.16663,9.92348,5.08104,0
9.18329,9.67377,5.22088,0
9.19996,9.71901,4.95374,0
9.21663,9.80039,4.9782,0
9.2333,9.88647,5.11409,0
9.24996,9.86768,4.91721,0
9.26663,9.87417,5.23271,0
9.28329,9.85488,4.94255,0
9.29996,9.73831,4.88378,0
9.31663,9.99556,4.92144,0
9.33329,9.62013,5.18212,0
9.34996,9.94443,5.05743,0
9.36662,9.83635,4.937,0
