Time,X,Y,Z
1.2723e-05,7.70088,6.91411,0
0.0165919,7.71454,6.90793,0
0.0332597,7.70221,6.89967,0
0.0499266,7.71596,6.89785,0
0.0665909,7.70277,6.91244,0
0.0832579,7.71755,6.94155,0
0.0999252,7.71437,6.91775,0
0.116589,7.73136,6.90948,0
0.133256,7.7197,6.91413,0
0.149924,7.73591,6.92608,0
0.166587,7.7424,6.90822,0
0.183247,7.75816,6.90931,0
0.199919,7.75817,6.95307,0
0.216582,7.75213,6.92693,0
0.23325,7.76775,6.93242,0
0.249922,7.77879,6.92802,0
0.2666,7.77238,6.95057,0
0.283256,7.80436,6.95028,0
0.299921,7.76634,6.94975,0
0.316596,7.78716,6.94171,0
0.333256,7.7938,6.95127,0
0.34993,7.81074,6.93169,0
0.366588,7.81482,6.95026,0
0.383254,7.80166,6.95059,0
0.399924,7.81275,6.94314,0
0.416589,7.81915,6.94493,0
0.433254,7.80852,6.94941,0
0.449922,7.83338,6.94313,0
0.466592,7.85207,6.95116,0
0.483206,7.85037,6.95253,0
0.499912,7.85983,6.95214,0
0.516585,7.85961,6.96091,0
0.53325,7.86015,6.96242,0
0.549922,7.87005,6.96044,0
0.566586,7.87525,6.95042,0
0.583248,7.88351,6.96001,0
0.599921,7.89188,6.94223,0
0.616591,7.89389,6.96509,0
0.633256,7.90152,6.94849,0
0.649924,7.88925,6.96978,0
0.666584,7.89493,6.96341,0
0.683254,7.92754,6.97366,0
0.699914,7.89781,6.9482,0
0.716588,7.89615,6.97542,0
0.733248,7.91503,6.95591,0
0.749914,7.92748,6.95435,0
0.766584,7.93944,6.96052,0
0.783247,7.93745,6.9911,0
0.799924,7.945,6.99201,0
0.816583,7.95846,6.96804,0
0.833245,7.96523,6.98704,0
0.84992,7.95966,6.96947,0
0.866581,7.95859,6.98835,0
0.883236,7.9617,6.97365,0
0.89992,7.97934,6.9821,0
0.916583,7.98153,6.99864,0
0.933253,7.98429,6.97049,0
0.949923,7.99032,6.95746,0
0.966586,7.9843,6.97546,0
0.983255,8.00464,6.97918,0
0.999921,7.99955,6.9698,0
1.01658,8.03072,6.99184,0
1.03325,8.01912,6.9824,0
1.04992,8.02669,6.98597,0
1.06659,8.02652,6.99273,0
1.08326,8.04937,6.98062,0
1.09992,8.03572,6.96993,0
1.11658,8.04242,6.99452,0
1.13325,8.04887,6.9882,0
1.14992,8.0558,6.98899,0
1.16659,8.05121,6.99599,0
1.18326,8.05985,6.9975,0
1.19988,8.06619,6.98376,0
1.21659,8.06164,6.99255,0
1.23325,8.08021,6.99686,0
1.24988,8.08415,6.95896,0
1.26659,8.11078,6.995,0
1.28326,8.10234,6.99361,0
1.29992,8.10824,6.9911,0
1.31659,8.11535,6.99395,0
1.33325,8.12148,6.99351,0
1.34992,8.10909,7.00458,0
1.36659,8.12647,6.99914,0
1.38325,8.12091,6.99632,0
1.39991,8.12507,7.00103,0
1.41658,8.14405,6.99667,0
1.43325,8.13953,7.00066,0
1.44991,8.14722,6.97862,0
1.46658,8.1568,7.01647,0
1.48325,8.16289,6.98441,0
1.49991,8.17186,6.99147,0
1.51659,8.17842,6.99759,0
1.53325,8.16761,7.00745,0
1.54991,8.17582,7.0106,0
1.56658,8.16788,7.00702,0
1.58325,8.16392,6.98237,0
1.59993,8.18648,7.00585,0
1.61658,8.18605,7.00426,0
1.63325,8.1861,6.99463,0
1.64992,8.20863,6.98711,0
1.66658,8.21762,6.99339,0
1.68325,8.20122,7.00285,0
1.69992,8.21882,6.98515,0
1.71658,8.21835,6.97719,0
1.73325,8.23226,6.99915,0
1.74992,8.23562,6.99969,0
1.76658,8.22825,6.98907,0
1.78325,8.23499,6.98624,0
1.79992,8.2563,7.00155,0
1.81658,8.27074,6.98474,0
1.83325,8.23043,7.00707,0
1.84992,8.27209,6.98427,0
1.86658,8.26568,6.98741,0
1.88325,8.26221,6.99822,0
1.89991,8.27405,7.0125,0
1.91658,8.27471,7.00512,0
1.93326,8.28169,7.00242,0
1.94992,8.28885,7.02359,0
1.96659,8.3177,6.98925,0
1.98325,8.29906,6.98923,0
1.99987,8.30843,6.99434,0
2.01659,8.30429,6.99144,0
2.03326,8.31621,7.00847,0
2.04992,8.31377,6.99759,0
2.06656,8.31866,6.99101,0
2.08326,8.32769,6.99051,0
2.09993,8.32699,6.98707,0
2.11659,8.32873,6.98611,0
2.13325,8.34527,7.01223,0
2.14992,8.34064,6.97952,0
2.16658,8.34905,6.99035,0
2.18325,8.36641,7.00118,0
2.19992,8.37432,6.99404,0
2.21658,8.36498,6.98012,0
2.23325,8.37734,7.00027,0
2.24991,8.36548,6.99095,0
2.26658,8.38894,7.00102,0
2.28325,8.39084,6.99498,0
2.29991,8.39537,6.98337,0
2.31658,8.3979,6.99047,0
2.33325,8.40438,7.00859,0
