Time,X,Y,Z
1.1756e-05,7.85609,6.96156,0
0.0166006,8.12864,6.83041,0
0.0332756,7.97363,6.88985,0
0.0499358,8.13651,7.06135,0
0.0666151,8.35746,6.90006,0
0.0832752,8.28604,6.97341,0
0.0999367,8.13951,7.17687,0
0.116599,8.15907,6.7976,0
0.133271,8.1128,7.12276,0
0.149938,7.9696,7.12004,0
0.166598,8.09641,6.65295,0
0.183267,7.95474,7.18108,0
0.199935,7.78715,7.21711,0
0.216597,8.18593,6.97069,0
0.233278,8.34225,6.95526,0
0.249942,7.97814,7.07867,0
0.266641,8.19167,7.24977,0
0.283278,8.22171,7.04871,0
0.299938,7.9155,7.18931,0
0.316613,8.12542,7.42233,0
0.333279,8.51567,6.93779,0
0.349941,8.05088,7.33686,0
0.366609,7.83855,7.14406,0
0.383273,8.01245,7.10403,0
0.399943,8.37872,6.91961,0
0.416612,8.33097,7.27882,0
0.433277,8.17605,6.94752,0
0.449936,8.3267,6.97159,0
0.466607,8.11793,7.52307,0
0.483269,8.09974,6.99228,0
0.499932,8.00205,6.77452,0
0.516604,8.24487,7.27002,0
0.533266,8.51492,6.89366,0
0.549933,8.3372,7.03799,0
0.566609,8.04311,7.11625,0
0.583275,8.01781,7.24495,0
0.599945,8.59231,7.24226,0
0.616603,8.17974,7.20437,0
0.633275,8.08788,6.91717,0
0.649941,8.31575,7.28902,0
0.666628,8.22412,7.05381,0
0.68327,8.22267,7.06616,0
0.69993,8.26496,7.022,0
0.716596,8.2888,6.92767,0
0.733266,8.46261,6.99689,0
0.749928,8.19027,7.09331,0
0.766598,7.77299,6.74733,0
0.783266,8.06361,7.13082,0
0.79993,8.18252,6.75365,0
0.816605,8.24661,7.3149,0
0.833273,8.11317,6.93056,0
0.849931,8.06589,6.7329,0
0.866601,8.19849,7.10957,0
0.883271,8.39108,7.10696,0
0.899936,8.36374,7.19976,0
0.916603,8.41523,6.91238,0
0.933264,8.0882,6.74943,0
0.949935,8.65989,7.05111,0
0.966599,8.19487,7.38605,0
0.983271,8.58521,6.71144,0
0.999935,8.48069,7.30293,0
1.01661,8.38786,7.00219,0
1.03327,8.36482,6.65884,0
1.04994,8.35474,6.83634,0
1.06661,8.48996,7.14816,0
1.08327,8.75834,6.9744,0
1.09994,8.54028,7.26434,0
1.11661,8.45883,6.79537,0
1.13327,8.54878,6.95423,0
1.14994,8.30226,7.28298,0
1.16662,8.19227,6.81241,0
1.18327,8.46783,6.94787,0
1.19994,8.23462,6.93808,0
1.21661,8.67126,7.10221,0
1.23327,8.63591,6.96067,0
1.24994,8.65354,6.89164,0
1.26661,7.92448,6.92676,0
1.28327,8.98551,6.61902,0
1.29994,8.18171,6.92161,0
1.31661,8.50429,7.11843,0
1.33328,8.3211,6.86868,0
1.34994,8.33482,6.92955,0
1.36662,8.36501,6.54823,0
1.38329,8.06705,6.64918,0
1.39996,8.50873,6.82039,0
1.41661,8.66167,7.14447,0
1.43328,8.3443,6.9667,0
1.44994,8.45569,6.55295,0
1.46661,8.37004,6.85334,0
1.48328,8.15389,6.97379,0
1.49995,8.12571,6.74163,0
1.51661,8.28873,7.13763,0
1.53328,8.57299,6.77626,0
1.54994,8.19981,7.0846,0
1.5666,8.60976,6.92626,0
1.58327,8.38307,6.75302,0
1.59994,8.53411,7.00963,0
1.6166,8.22175,7.08031,0
1.63327,8.83597,7.27574,0
1.64994,8.65831,6.78048,0
1.6666,8.51981,7.24484,0
1.68329,8.74392,7.22382,0
1.69995,8.61018,7.17774,0
1.71662,8.43256,6.87261,0
1.73328,8.63624,7.17416,0
1.74995,8.61965,6.58406,0
1.76662,8.32343,6.67678,0
1.78328,8.59797,7.12067,0
1.79994,8.43357,7.1258,0
1.81661,8.61492,6.98786,0
1.83327,8.46954,7.12346,0
1.84994,8.78836,6.92629,0
1.86661,8.64072,6.6775,0
1.88328,8.95775,6.59442,0
1.89992,8.31373,6.97403,0
1.91661,8.44843,6.94291,0
1.93327,8.39606,6.75341,0
1.94993,8.94845,7.15086,0
1.9666,8.52489,7.11903,0
1.98327,8.67174,6.803,0
1.99994,8.88842,7.02858,0
2.01661,8.87516,7.25606,0
2.03327,8.54126,7.02163,0
2.04995,8.52106,6.94334,0
2.0666,8.69735,7.16828,0
2.08328,9.04462,6.91433,0
2.09994,8.40751,7.43074,0
2.11664,8.46095,6.99878,0
2.13327,8.34542,7.16101,0
2.14994,8.55691,6.77544,0
2.1666,8.56355,7.12173,0
2.18327,8.89087,6.8729,0
2.19994,8.58367,6.90561,0
2.2166,8.99172,7.13834,0
2.23327,8.9894,6.58553,0
2.24994,9.04362,7.02699,0
2.2666,8.4886,6.97324,0
2.28327,8.75431,6.9779,0
2.29994,8.90776,6.89023,0
2.3166,8.62585,6.81275,0
2.33327,8.53372,6.86081,0
2.34994,9.0181,6.81073,0
2.3666,8.44239,7.25974,0
2.38327,8.58932,6.69994,0
2.39994,8.96818,7.02003,0
2.4166,8.72717,6.99023,0
2.43327,8.47296,7.0576,0
2.44993,8.83786,6.99128,0
2.4666,8.91324,6.61784,0
2.48327,8.85145,6.93268,0
2.49994,9.12312,7.0219,0
2.5166,8.82756,7.00333,0
2.53327,8.68353,6.68615,0
2.54994,8.79183,7.15571,0
2.56661,8.37995,6.8097,0
2.58328,8.96521,6.97625,0
2.59994,8.94364,7.0547,0
2.61661,8.41316,6.97564,0
2.63327,8.77428,7.12902,0
2.64994,8.84829,6.81989,0
2.6666,8.91778,6.73181,0
2.68327,8.60447,6.78402,0
2.69994,8.61086,6.50806,0
2.71659,9.23645,6.83521,0
2.73327,8.61894,6.83851,0
2.74994,8.80562,6.55429,0
