Time,Pos_X,Output_X
8.54e-07,0.0256736,1.46149
0.0166247,0.0223029,1.46655
0.0332903,0.019006,1.47149
0.0499526,0.0142056,1.47869
0.0666275,0.0110987,1.48335
0.0832919,0.0080681,1.4879
0.0999514,0.00510586,1.49234
0.116624,0.00230835,1.49654
0.13329,-0.000353867,1.50053
0.149952,-0.00282304,1.50423
0.166693,-0.00504629,1.50757
0.18329,-0.00697336,1.51046
0.199952,-0.00865224,1.51298
0.216633,-0.01016,1.51524
0.233288,-0.0113749,1.51706
0.249948,-0.012422,1.51863
0.266623,-0.0131079,1.51966
0.283287,-0.013672,1.52051
0.299948,-0.0135171,1.52028
0.316629,-0.0130038,1.51951
0.333292,-0.012074,1.51811
0.349951,-0.0106303,1.51595
0.366624,-0.00874326,1.51311
0.383288,-0.00635377,1.50953
0.399949,-0.00343755,1.50516
0.41662,3.68459e-05,1.49994
0.433286,0.00407081,1.49389
0.449955,0.0086754,1.48699
0.466627,0.0166335,1.47505
0.483285,0.0227148,1.46593
0.499954,0.0293927,1.45591
0.516622,0.0366245,1.44506
0.533282,0.0444121,1.43338
0.549953,0.0526995,1.42095
0.56663,0.0615178,1.40772
0.583289,0.0708138,1.39378
0.599953,0.0806118,1.37908
0.61662,0.090911,1.36363
0.633283,0.101646,1.34753
0.649956,0.112842,1.33074
0.666626,0.124441,1.31334
0.683286,0.142646,1.28603
0.69995,0.155243,1.26714
0.71662,0.168224,1.24766
0.733283,0.181624,1.22756
0.749954,0.195375,1.20694
0.766624,0.209455,1.18582
0.783287,0.223805,1.16429
0.79995,0.238446,1.14233
0.816626,0.253364,1.11995
0.833288,0.268495,1.09726
0.849959,0.283863,1.0742
0.866631,0.299481,1.05078
0.883288,0.315357,1.02696
0.899959,0.339461,0.990808
0.916618,0.355692,0.966462
0.933282,0.372047,0.941929
0.949958,0.388469,0.917297
0.966624,0.404975,0.892538
0.983291,0.421511,0.867733
0.999954,0.438065,0.842903
1.01662,0.454647,0.81803
1.03329,0.471202,0.793198
1.04995,0.487744,0.768384
1.06663,0.504225,0.743663
1.08329,0.520652,0.719022
1.09995,0.53701,0.694485
1.11662,0.561222,0.658168
1.13329,0.577198,0.634203
1.14995,0.593018,0.610473
1.16662,0.608691,0.586964
1.18329,0.624175,0.563737
1.19996,0.639478,0.540782
1.21662,0.654583,0.518125
1.23329,0.669454,0.495819
1.24995,0.683993,0.47401
1.26662,0.698275,0.452588
1.28329,0.7123,0.43155
1.29995,0.726053,0.410921
1.31662,0.739507,0.390739
1.33329,0.759123,0.361315
1.34995,0.771799,0.342302
1.36663,0.784151,0.323774
1.38329,0.796158,0.305762
1.39995,0.807815,0.288278
1.41662,0.819106,0.27134
1.43329,0.830022,0.254966
1.44995,0.840556,0.239166
1.46662,0.850699,0.223951
1.48329,0.860446,0.209331
1.49995,0.869745,0.195382
1.51662,0.878637,0.182044
1.53329,0.887111,0.169334
1.54998,0.895167,0.15725
1.56663,0.902795,0.145807
1.58329,0.913428,0.129858
1.59995,0.919976,0.120037
1.61662,0.926078,0.110882
1.63329,0.93175,0.102376
1.64995,0.936972,0.0945414
1.66691,0.94176,0.0873603
1.68329,0.946099,0.0808517
1.69995,0.949984,0.075024
1.71662,0.953437,0.0698452
1.73329,0.956438,0.065343
1.74995,0.958898,0.0616533
1.76662,0.960917,0.0586248
1.78329,0.962491,0.056263
1.79995,0.964069,0.053896
1.81662,0.964571,0.0531431
1.83329,0.964666,0.0530013
1.84995,0.964333,0.0535011
1.86663,0.963592,0.0546114
1.88329,0.96243,0.0563557
1.89995,0.960851,0.0587232
1.91662,0.958893,0.0616609
1.93329,0.956533,0.0652003
1.94995,0.953805,0.0692924
1.96663,0.950692,0.0739625
1.98329,0.947195,0.0792076
1.99996,0.943352,0.0849726
2.01657,0.936907,0.0946399
2.03329,0.932192,0.101711
2.04995,0.927135,0.109298
2.06664,0.921771,0.117343
2.08329,0.916085,0.125873
2.09995,0.910081,0.134879
2.11662,0.903774,0.144339
2.13329,0.897146,0.154281
2.14995,0.890264,0.164604
2.16679,0.883114,0.175328
2.18329,0.875703,0.186445
2.19995,0.868073,0.197891
2.21662,0.860206,0.209691
2.23329,0.84802,0.22797
2.24995,0.83958,0.24063
2.26663,0.830972,0.253542
2.28329,0.822184,0.266724
2.29995,0.813225,0.280163
2.31663,0.804135,0.293798
2.33329,0.794899,0.307651
2.34995,0.785554,0.321669
2.36663,0.776089,0.335867
2.38329,0.766516,0.350226
2.39996,0.756873,0.364691
2.41662,0.747146,0.379281
2.43329,0.73737,0.393945
2.44995,0.727537,0.408694
2.46662,0.717657,0.423515
2.48329,0.707763,0.438355
2.49995,0.692908,0.460638
2.51662,0.683018,0.475472
2.53329,0.673137,0.490295
2.54996,0.663291,0.505063
2.56663,0.653478,0.519783
2.58329,0.643708,0.534439
2.59995,0.634006,0.548991
2.61662,0.62437,0.563445
2.63329,0.61481,0.577786
2.64995,0.605338,0.591992
2.66663,0.595967,0.606049
2.68329,0.586716,0.619926
2.69995,0.57307,0.640395
2.71662,0.564145,0.653782
2.73329,0.555365,0.666953
2.74995,0.546757,0.679864
2.76663,0.538311,0.692533
2.78328,0.530036,0.704946
2.79993,0.521943,0.717086
2.81663,0.514036,0.728946
2.83329,0.506324,0.740514
2.84995,0.498813,0.751781
2.86663,0.49151,0.762735
2.88329,0.484453,0.773321
2.89995,0.477617,0.783575
2.91662,0.467786,0.798321
2.93328,0.461524,0.807714
2.94995,0.455497,0.816755
2.96663,0.449714,0.82543
2.98329,0.444181,0.833728
2.99995,0.438903,0.841646
3.01662,0.43389,0.849164
3.03328,0.429128,0.856308
3.04995,0.424629,0.863057
3.06663,0.420396,0.869406
3.08329,0.41642,0.87537
3.09995,0.412716,0.880927
3.11662,0.407659,0.888512
3.13328,0.404636,0.893046
3.14995,0.401872,0.897192
3.16663,0.399383,0.900926
