Time,Pos_X,Output_X
1.662e-06,0.0263879,8
0.01661,0.0262007,0.40415
0.0332784,0.0260229,0.417116
0.0499417,0.0258522,0.430107
0.0666105,0.0256902,0.443083
0.0832771,0.0255364,0.456063
0.0999003,0.0253773,0.469138
0.116615,0.0252715,0.481728
0.133277,0.025237,0.494095
0.149948,0.0253348,0.505866
0.166618,0.0255902,0.517342
0.183282,0.0259817,0.528947
0.199948,0.0264174,0.541359
0.21661,0.0271381,0.551475
0.233277,0.0276847,0.565794
0.249944,0.0283436,0.577481
0.26661,0.029112,0.589136
0.283281,0.0300235,0.600431
0.299946,0.0311045,0.611392
0.31661,0.0323508,0.622313
0.33328,0.0337731,0.633061
0.349944,0.0353763,0.643657
0.366619,0.0371887,0.653916
0.383277,0.0391827,0.664282
0.399947,0.0413671,0.674508
0.416616,0.0437332,0.684694
0.433282,0.0476394,0.681988
0.449947,0.0504693,0.70322
0.466613,0.0534843,0.712991
0.483232,0.0566872,0.7225
0.499924,0.0600668,0.732257
0.516623,0.0636278,0.741759
0.533289,0.067363,0.751081
0.549945,0.0712752,0.760309
0.566614,0.0753653,0.769455
0.583277,0.079624,0.778521
0.599948,0.0840563,0.787473
0.616614,0.0887531,0.795337
0.633279,0.0936153,0.804036
0.649945,0.0986456,0.812568
0.666613,0.10649,0.796068
0.683281,0.111926,0.827454
0.699947,0.117519,0.835609
0.716611,0.123271,0.843579
0.733278,0.129167,0.8516
0.749945,0.135207,0.859445
0.766612,0.141406,0.867029
0.783279,0.147753,0.874568
0.799961,0.154253,0.882015
0.816613,0.160896,0.889112
0.833278,0.167685,0.896301
0.849949,0.174622,0.903273
0.866614,0.181724,0.909881
0.88328,0.188996,0.916308
0.899946,0.200149,0.887654
0.916611,0.20775,0.927195
0.933279,0.215473,0.933532
0.949945,0.223321,0.939662
0.966573,0.231295,0.945455
0.983281,0.239403,0.951571
0.999944,0.24765,0.956918
1.01657,0.256002,0.962384
1.03323,0.264462,0.968085
1.04995,0.27303,0.973719
1.06662,0.281691,0.978844
1.08328,0.290452,0.983915
1.09995,0.299302,0.988976
1.11661,0.312815,0.950885
1.13328,0.321944,0.995775
1.14995,0.331155,1.00032
1.16661,0.340449,1.00472
1.18328,0.349811,1.00912
1.19995,0.359246,1.01328
1.21662,0.368744,1.01743
1.23328,0.378267,1.02165
1.24995,0.387817,1.02587
1.26661,0.39742,1.02963
1.28328,0.407082,1.03323
1.29995,0.41679,1.03679
1.31662,0.426549,1.04011
1.33328,0.436361,1.04328
1.34995,0.451147,1.00004
1.36662,0.46097,1.04803
1.38329,0.470823,1.05095
1.39995,0.480714,1.05363
1.41662,0.490628,1.05628
1.43328,0.500571,1.0588
1.44995,0.510541,1.06115
1.46662,0.520522,1.06353
1.48328,0.530521,1.06568
1.49995,0.540559,1.06754
1.51661,0.550602,1.06948
1.53328,0.560649,1.0714
1.54995,0.570688,1.07323
1.56661,0.580728,1.07484
1.58328,0.595767,1.02934
