Time,Pos_X,Output_X
1.047e-06,0.0203388,1.95932
0.0165946,0.0152442,1.96951
0.0332529,0.0135855,1.97283
0.0499254,0.0087272,1.98255
0.066586,0.00559122,1.98882
0.0832572,0.00253164,1.99494
0.0999229,-0.000450725,2.0009
0.116548,-0.00335412,2.00671
0.133252,-0.00623961,2.01248
0.149922,-0.00890518,2.01781
0.166588,-0.0112764,2.02255
0.183251,-0.0133047,2.02661
0.199925,-0.0149288,2.02986
0.216585,-0.0162715,2.03254
0.233256,-0.0174139,2.03483
0.249924,-0.0183744,2.03675
0.266589,-0.0186821,2.03736
0.28325,-0.0184842,2.03697
0.299922,-0.0179019,2.0358
0.316585,-0.0167482,2.0335
0.333253,-0.0151118,2.03022
0.349921,-0.0129185,2.02584
0.366586,-0.0100569,2.02011
0.383255,-0.00659364,2.01319
0.399922,-0.00246603,2.00493
0.416589,0.00234858,1.9953
0.433253,0.00788708,1.98423
0.449896,0.0175376,1.96492
0.466586,0.0249009,1.9502
0.483255,0.0329695,1.93406
0.499927,0.041801,1.9164
0.516593,0.0513443,1.89731
0.53327,0.0616027,1.87679
0.549922,0.0725776,1.85484
0.566586,0.084194,1.83161
0.583259,0.0964936,1.80701
0.599925,0.109404,1.78119
0.616588,0.122959,1.75408
0.633258,0.137209,1.72558
0.649919,0.152063,1.69587
0.666583,0.175418,1.64916
0.683256,0.191632,1.61674
0.699923,0.208375,1.58325
0.716566,0.225568,1.54886
0.733254,0.243241,1.51352
0.749926,0.261413,1.47717
0.76659,0.27999,1.44002
0.783254,0.298975,1.40205
0.799924,0.318284,1.36343
0.816588,0.337945,1.32411
0.833256,0.357938,1.28412
0.849922,0.378171,1.24366
0.866587,0.409011,1.18198
0.883255,0.429932,1.14014
0.899923,0.45105,1.0979
0.916586,0.472283,1.05543
0.933254,0.493655,1.01269
0.949919,0.515143,0.969715
0.966588,0.536658,0.926684
0.983253,0.55823,0.88354
0.999924,0.579777,0.840446
1.01661,0.601254,0.797491
1.03325,0.622704,0.754592
1.04992,0.644042,0.711916
1.06659,0.665291,0.669418
1.08326,0.696877,0.606246
1.09992,0.717734,0.564533
1.11659,0.728083,0.543834
1.13325,0.758727,0.482546
1.14992,0.778854,0.442292
1.16659,0.798675,0.402651
1.18325,0.818203,0.363594
1.19992,0.837379,0.325242
1.21659,0.856213,0.287574
1.2332,0.874679,0.250642
1.24993,0.892725,0.21455
1.26659,0.91035,0.1793
1.28323,0.927514,0.144972
1.29992,0.944223,0.111554
1.31659,0.960453,0.0790944
1.33325,0.976168,0.0476642
1.34992,0.998766,0.00246799
1.36659,1.01315,0
1.38325,1.02696,0
1.39992,1.04018,0
1.41659,1.05281,0
1.43325,1.06484,0
1.44992,1.07625,0
1.46659,1.08705,0
1.48325,1.09721,0
1.49992,1.10673,0
1.51659,1.11552,0
1.53325,1.12366,0
1.54992,1.13115,0
1.56659,1.14117,0
1.58325,1.14703,0
1.59992,1.15225,0
1.61659,1.15682,0
1.63325,1.16061,0
1.64992,1.16368,0
1.66658,1.1661,0
1.68326,1.16792,0
1.69992,1.1691,0
1.71659,1.16965,0
1.73326,1.16962,0
1.74993,1.16898,0
1.76659,1.16672,0
1.78325,1.16449,0
1.79992,1.16175,0
1.81659,1.15845,0
1.83325,1.15461,0
1.84992,1.15029,0
1.86659,1.14545,0
1.88325,1.14009,0
1.89992,1.13418,0
1.91659,1.1278,0
1.93325,1.12101,0
1.94992,1.11378,0
1.96659,1.10617,0
1.98326,1.09398,0
1.99992,1.08541,0
2.01659,1.07643,0
2.03325,1.06709,0
2.04992,1.05744,0
2.06659,1.04746,0
2.08327,1.03719,0
2.09993,1.02663,0
2.11659,1.01577,0
2.13326,1.00467,0
2.14993,0.993308,0.0133841
2.16659,0.981725,0.0365508
2.18325,0.969908,0.060185
2.19992,0.957865,0.0842694
2.21658,0.945639,0.108723
2.23326,0.933215,0.133571
2.24993,0.914263,0.171475
2.26659,0.901455,0.197091
2.28325,0.888509,0.222982
2.29992,0.875423,0.249153
2.31659,0.862208,0.275584
2.33325,0.848897,0.302207
2.34992,0.835485,0.329029
2.36659,0.822002,0.355996
2.38326,0.808447,0.383106
2.39992,0.794909,0.410182
2.41659,0.78134,0.437321
2.43325,0.767732,0.464536
2.44992,0.754122,0.491756
2.46658,0.733688,0.532624
2.48325,0.720104,0.559792
2.49993,0.706547,0.586906
2.51655,0.693066,0.613868
2.53325,0.679668,0.640664
2.54992,0.666346,0.667309
2.56659,0.653138,0.693724
2.58327,0.640039,0.719922
2.59992,0.627064,0.745872
2.61659,0.614252,0.771496
2.63325,0.601598,0.796803
2.64992,0.589209,0.821581
2.66658,0.57098,0.858039
2.68326,0.559108,0.881784
2.69992,0.547462,0.905077
2.71659,0.536058,0.927885
2.73325,0.524922,0.950156
2.74993,0.514056,0.971887
2.76659,0.503597,0.992807
2.78325,0.493427,1.01315
2.79992,0.483563,1.03287
2.81659,0.47402,1.05196
2.83326,0.464806,1.07039
2.84992,0.455933,1.08813
2.86659,0.443285,1.11343
2.88325,0.43533,1.12934
2.89992,0.427772,1.14446
2.91659,0.420597,1.15881
2.93326,0.413804,1.17239
2.94992,0.407407,1.18519
2.96659,0.401402,1.1972
2.98325,0.395804,1.20839
2.99993,0.390622,1.21876
3.01659,0.385913,1.22817
3.03325,0.381691,1.23662
3.04992,0.377874,1.24425
3.0666,0.372946,1.25411
3.08325,0.370173,1.25965
3.09992,0.367827,1.26435
3.11659,0.365913,1.26817
3.13326,0.36445,1.2711
3.14992,0.363458,1.27308
3.16659,0.362868,1.27426
3.18325,0.3627,1.2746
3.19992,0.362958,1.27408
3.21659,0.363607,1.27279
3.23325,0.364675,1.27065
3.25174,0.366127,1.26775
3.26659,0.368058,1.26388
3.28325,0.370459,1.25908
3.29992,0.373222,1.25356
3.31659,0.378085,1.24383
3.33325,0.381774,1.23645
3.34992,0.385837,1.22833
3.36659,0.390231,1.21954
3.38321,0.394981,1.21004
3.39992,0.400207,1.19959
3.41659,0.405732,1.18854
3.43326,0.411583,1.17683
3.44992,0.417717,1.16457
3.46659,0.424158,1.15168
3.48325,0.4309,1.1382
3.49993,0.437893,1.12421
3.51655,0.445223,1.10955
3.53325,0.452841,1.09432
3.54992,0.460708,1.07858
3.56659,0.468815,1.06237
3.58325,0.48133,1.03734
3.59992,0.489946,1.02011
3.61659,0.498721,1.00256
3.63325,0.507681,0.984638
3.64992,0.516757,0.966487
3.66659,0.52599,0.948019
3.68325,0.535372,0.929255
3.69993,0.54485,0.9103
3.71657,0.554448,0.891104
3.73326,0.564117,0.871766
3.75208,0.573878,0.852244
3.76659,0.583677,0.832646
3.78325,0.598373,0.803253
3.79993,0.60824,0.783521
3.81658,0.618105,0.76379
3.83325,0.62799,0.744019
3.84992,0.637849,0.724301
3.86659,0.6477,0.704599
3.88326,0.657531,0.684938
3.89993,0.667282,0.665436
3.91659,0.676985,0.646029
3.93326,0.6866,0.6268
3.94992,0.69614,0.60772
3.96659,0.705592,0.588817
3.98325,0.714917,0.570165
3.99993,0.728684,0.542632
4.01659,0.737661,0.524678
4.03326,0.746477,0.507047
4.04992,0.755119,0.489761
4.06659,0.7636,0.472801
4.08326,0.771905,0.45619
