Time,Pos_X,Output_X
6.83e-07,-0.0418315,0.416733
0.0166347,-0.0406168,0.424908
0.0332977,-0.0393413,0.433061
0.0499622,-0.0380775,0.441211
0.0666327,-0.0368298,0.44936
0.0833009,-0.0355937,0.457501
0.099964,-0.0337746,0.465393
0.116633,-0.0325761,0.473526
0.133297,-0.0313793,0.481645
0.149965,-0.0302538,0.489786
0.16666,-0.0290878,0.497914
0.183296,-0.0278793,0.505986
0.199968,-0.0266072,0.514041
0.21663,-0.0253089,0.522068
0.233299,-0.0239938,0.530082
0.249965,-0.0226072,0.538055
0.266633,-0.0211856,0.546002
0.283299,-0.0196863,0.553906
0.299963,-0.0181257,0.561771
0.316629,-0.0164851,0.569592
0.333301,-0.0137868,0.576976
0.349963,-0.0118551,0.58464
0.366629,-0.00977551,0.592231
0.383299,-0.00756224,0.599754
0.399963,-0.0052503,0.607214
0.416634,-0.00278652,0.614598
0.433297,-0.000160568,0.621891
0.449964,0.00263525,0.629095
0.466632,0.00559906,0.63621
0.483296,0.00873436,0.643228
0.499971,0.0120403,0.650156
0.51663,0.0155217,0.656978
0.533299,0.019103,0.663736
0.549965,0.022862,0.670391
0.56663,0.0288247,0.676123
0.583295,0.0330175,0.682521
0.599968,0.0373772,0.68882
0.616629,0.0419066,0.695008
0.6333,0.0466063,0.701095
0.649967,0.0514463,0.707084
0.666633,0.0564327,0.712973
0.683299,0.0615752,0.718758
0.699963,0.0668764,0.724433
0.716631,0.0723364,0.730004
0.733297,0.0779422,0.735468
0.749962,0.0836998,0.740824
0.766633,0.0895992,0.746078
0.783295,0.0956291,0.751225
0.799963,0.104939,0.754999
0.816633,0.111315,0.759883
0.833296,0.117828,0.764654
0.849969,0.124465,0.769327
0.866631,0.131232,0.773885
0.883296,0.138117,0.778341
0.899967,0.145172,0.782675
0.91663,0.15239,0.786879
0.933296,0.159712,0.790983
0.949969,0.167141,0.794986
0.966629,0.174669,0.798881
0.983299,0.182297,0.802677
