Time,Pos_X,Output_X
6.36e-07,-0.0440761,0.417631
0.0166735,-0.0428645,0.434545
0.0333408,-0.0416744,0.451441
0.0500091,-0.0404927,0.468321
0.0666727,-0.0393169,0.485179
0.0833452,-0.0381507,0.502032
0.100006,-0.0369965,0.518856
0.116674,-0.0358474,0.535671
0.13334,-0.0346935,0.552464
0.150007,-0.0335156,0.569228
0.166676,-0.0322978,0.585959
0.183339,-0.0303738,0.602373
0.200007,-0.0290346,0.619
0.216674,-0.0276732,0.635597
0.233339,-0.0262397,0.652136
0.250008,-0.02477,0.668644
0.266681,-0.0231748,0.685078
0.283339,-0.021494,0.701435
0.300009,-0.0197355,0.717746
0.316673,-0.0178426,0.733965
0.33334,-0.0158433,0.750113
0.350018,-0.0136893,0.766177
0.366672,-0.0102091,0.781637
0.383342,-0.0076698,0.797441
0.400007,-0.00487135,0.813091
0.416672,-0.00190025,0.828623
0.433341,0.00126404,0.844033
0.45001,0.00461413,0.859312
0.466671,0.00816621,0.874446
0.483343,0.0119131,0.889453
0.500006,0.0158633,0.904304
0.516675,0.0200679,0.918992
0.533339,0.0245219,0.933502
0.550007,0.0291852,0.947857
0.566677,0.0340548,0.962052
0.58334,0.041758,0.975003
0.600016,0.0471574,0.988779
0.616673,0.0527722,1.00236
0.633339,0.0585994,1.01576
0.65001,0.0646504,1.02899
0.666672,0.0709151,1.04201
0.683338,0.077391,1.05485
0.700008,0.0840818,1.0675
0.716672,0.0909821,1.07995
0.733341,0.0980937,1.09219
0.750012,0.105414,1.10424
0.766672,0.112943,1.11607
0.783344,0.124753,1.12604
0.800007,0.132877,1.1373
0.816675,0.141204,1.14836
0.833345,0.149725,1.15919
0.850013,0.158445,1.16981
0.866676,0.167357,1.18019
0.883339,0.17646,1.19035
0.900005,0.185797,1.20026
0.916674,0.195315,1.20994
0.933339,0.205016,1.21939
0.950014,0.214895,1.22862
0.966673,0.224949,1.23759
0.983339,0.240358,1.24421
1.00001,0.250841,1.2526
1.01667,0.261504,1.26073
1.03334,0.272332,1.26861
1.05001,0.283321,1.27626
1.06667,0.29446,1.28365
1.08335,0.305751,1.29081
1.10001,0.317192,1.2977
1.11667,0.32877,1.30435
1.13334,0.34049,1.31075
1.15001,0.352278,1.31693
1.16667,0.364201,1.32286
1.18334,0.376257,1.32853
1.20001,0.388432,1.33396
1.21667,0.40073,1.33913
1.23334,0.419388,1.3415
1.25001,0.431965,1.34604
1.26667,0.444669,1.35032
1.28334,0.457496,1.35433
1.30001,0.470419,1.3581
1.31668,0.483421,1.36162
1.33334,0.496506,1.36488
1.35001,0.509663,1.36791
1.36667,0.522891,1.37067
1.38334,0.536189,1.37319
1.40001,0.549518,1.37548
1.41667,0.562883,1.37753
1.43334,0.576296,1.37934
1.45001,0.589757,1.38091
1.46667,0.610029,1.37947
1.48334,0.623585,1.38043
1.5,0.637175,1.38115
1.51667,0.650794,1.38164
1.53334,0.664443,1.38189
1.55,0.6781,1.3819
1.56668,0.691765,1.38169
1.58334,0.705435,1.38124
1.60001,0.719095,1.38058
1.61668,0.732749,1.37968
1.63334,0.746384,1.37857
1.65001,0.759981,1.37725
1.66662,0.773539,1.3757
1.68334,0.793812,1.3712
1.70001,0.807287,1.36914
1.71667,0.820716,1.36687
1.73334,0.834099,1.36439
1.75001,0.847428,1.36171
1.76667,0.8607,1.35883
1.78334,0.873868,1.35578
1.8,0.886966,1.35253
1.81667,0.899996,1.3491
1.83334,0.912948,1.34547
1.85001,0.925821,1.34167
1.86667,0.93861,1.33768
1.88334,0.957618,1.33095
1.9,0.970211,1.32651
1.91668,0.982698,1.32191
1.93334,0.995077,1.31714
1.95002,1.00734,1.31221
1.96667,1.01949,1.30713
1.98334,1.03152,1.30189
2.00001,1.04342,1.29651
2.01667,1.05519,1.29098
2.03334,1.06682,1.28531
2.05001,1.0783,1.27951
2.06667,1.08965,1.27357
2.08334,1.10085,1.2675
2.10001,1.1119,1.26131
2.11667,1.12818,1.2528
2.13334,1.13884,1.24631
2.15001,1.14937,1.23969
2.16667,1.15973,1.23297
2.18334,1.16992,1.22615
2.20001,1.17994,1.21923
2.21667,1.18978,1.21221
2.23334,1.19944,1.2051
2.25001,1.20892,1.19791
2.26667,1.21821,1.19063
2.28334,1.22736,1.18326
2.3,1.23633,1.17581
2.31668,1.24509,1.16829
2.33334,1.25787,1.15899
2.35001,1.26614,1.15131
2.36667,1.2742,1.14359
2.38334,1.28206,1.13581
2.40001,1.28971,1.12798
2.41667,1.29716,1.12011
2.43334,1.3044,1.1122
2.45001,1.31143,1.10426
2.46667,1.31823,1.09629
2.48334,1.32483,1.08829
2.50001,1.3312,1.08028
2.51667,1.33735,1.07225
2.53334,1.34323,1.06422
2.55001,1.35163,1.05507
2.56667,1.35695,1.04704
2.58334,1.36206,1.039
2.60001,1.36694,1.03098
2.61668,1.3716,1.02296
2.63334,1.37604,1.01495
2.65001,1.38026,1.00696
2.66668,1.38427,0.998986
2.68334,1.38805,0.99104
2.70001,1.39161,0.983118
2.71663,1.39494,0.975248
2.73334,1.39805,0.967381
2.75001,1.40093,0.959569
2.76667,1.40358,0.951805
2.78334,1.40723,0.943588
2.80001,1.40941,0.935907
2.81667,1.41136,0.92829
2.83334,1.41309,0.920728
2.85001,1.41459,0.91323
2.86667,1.41586,0.905804
2.88334,1.41691,0.898442
2.90001,1.4177,0.891173
2.91667,1.41824,0.883991
