Time,Pos_X,Output_X
7.05e-07,0.0381142,0.769509
0.0166317,0.0378987,0.783282
0.033296,0.0376816,0.797085
0.0499604,0.0374623,0.810892
0.0666274,0.0371303,0.824796
0.0832969,0.0368943,0.838631
0.0999594,0.0366529,0.852465
0.116627,0.0364148,0.866306
0.133295,0.0362041,0.880127
0.149961,0.036054,0.893903
0.166628,0.0359963,0.907606
0.183293,0.0360391,0.921225
0.199958,0.0361937,0.934755
0.216628,0.0364261,0.948225
0.233291,0.0367957,0.961574
0.249961,0.0372283,0.974874
0.266626,0.0377477,0.988091
0.283291,0.0384575,1.00115
0.299961,0.0398011,1.01369
0.316627,0.0409642,1.02635
0.333292,0.0423154,1.03885
0.349961,0.0439244,1.05112
0.366625,0.0457774,1.06316
0.383295,0.0479019,1.07497
0.399963,0.0503331,1.0865
0.416628,0.0530608,1.09775
0.433295,0.0561053,1.10871
0.449957,0.0594622,1.11937
0.466626,0.0631486,1.12972
0.483296,0.0671598,1.13975
0.499961,0.0715018,1.14946
0.516628,0.0786281,1.15687
0.533292,0.0837937,1.16575
0.549958,0.08928,1.1743
0.56663,0.0950946,1.18251
0.583272,0.10126,1.19034
0.59996,0.107752,1.19785
0.616631,0.114565,1.20499
0.633294,0.121681,1.21179
0.649966,0.129108,1.21824
0.666631,0.136846,1.22433
0.683292,0.14487,1.23008
0.699966,0.153193,1.23548
0.716626,0.161821,1.24051
0.733291,0.170735,1.24519
0.749961,0.184626,1.24573
0.766624,0.194219,1.24953
0.783294,0.204085,1.25299
0.799964,0.214193,1.25611
0.816627,0.224558,1.25887
0.833294,0.235198,1.26127
0.849961,0.24612,1.26329
0.866629,0.257276,1.26497
0.883294,0.268638,1.26632
0.899963,0.280219,1.26733
0.916632,0.291992,1.26803
0.933321,0.303968,1.26841
0.949959,0.316144,1.26842
0.966628,0.334777,1.26308
0.983296,0.347445,1.26228
0.999962,0.36026,1.26118
1.01663,0.373235,1.25977
1.0333,0.386342,1.25807
1.04996,0.399593,1.25607
1.06663,0.412983,1.25377
1.08329,0.426498,1.25117
1.09996,0.440153,1.24828
1.11663,0.453897,1.24512
1.1333,0.467741,1.24168
1.14996,0.48168,1.23797
1.16663,0.495682,1.23401
1.1833,0.516821,1.2241
1.19996,0.530976,1.21952
1.21663,0.545337,1.21457
1.2333,0.559716,1.20941
1.24996,0.574124,1.20402
1.26663,0.588555,1.19841
1.2833,0.602979,1.19259
1.29996,0.617409,1.18657
1.31663,0.631817,1.18036
1.33329,0.646214,1.17396
1.34996,0.66064,1.16733
1.36663,0.675016,1.16053
1.38329,0.689355,1.15356
1.39996,0.710751,1.1407
1.41663,0.724942,1.13334
1.43329,0.73905,1.12585
1.44996,0.753085,1.11822
1.46662,0.767015,1.11047
1.4833,0.78084,1.10262
1.49996,0.79457,1.09464
1.51663,0.808181,1.08656
1.5333,0.821682,1.07839
1.54996,0.835066,1.07011
1.56662,0.848311,1.06176
1.58329,0.861424,1.05332
1.59997,0.874417,1.0448
1.61664,0.887262,1.03621
1.63331,0.899954,1.02757
1.64997,0.912472,1.01888
1.66663,0.930932,1.00522
1.6833,0.943011,0.996451
1.69996,0.954909,0.987656
1.71663,0.966634,0.978832
1.7333,0.978164,0.969998
1.74996,0.989495,0.961163
1.76663,1.00061,0.95234
1.78329,1.01152,0.943528
1.79996,1.0222,0.934742
1.81663,1.03267,0.925981
1.83329,1.04291,0.917253
1.84996,1.05298,0.908521
1.86662,1.0628,0.899837
1.8833,1.07239,0.891212
1.89996,1.08631,0.878953
1.91663,1.09527,0.870494
1.9333,1.10399,0.862111
1.94996,1.11245,0.853812
1.96662,1.12062,0.845621
1.9833,1.12852,0.83754
1.99996,1.13615,0.829561
2.01664,1.14351,0.821684
2.03329,1.15062,0.813921
2.04996,1.15745,0.806271
2.06663,1.16402,0.798741
2.08329,1.17031,0.791337
2.09996,1.17637,0.784037
2.11663,1.18493,0.774625
2.1333,1.1903,0.767674
2.14996,1.19539,0.760873
2.16662,1.2002,0.754223
2.18329,1.20473,0.747729
2.19996,1.20899,0.741391
2.21659,1.21295,0.735235
2.23329,1.21663,0.729244
2.24996,1.22004,0.723427
2.26662,1.22316,0.717789
2.2833,1.22602,0.712322
2.29996,1.2286,0.707039
2.31663,1.2309,0.701943
2.3333,1.23385,0.696286
2.34996,1.23547,0.691672
2.36663,1.23682,0.687244
2.3833,1.2379,0.683013
2.39996,1.23873,0.678977
2.41663,1.23929,0.675139
2.4333,1.23959,0.671508
2.44996,1.23964,0.668072
2.46663,1.23944,0.664837
2.48329,1.23901,0.661799
2.49996,1.23832,0.658967
2.51663,1.23738,0.656348
2.5333,1.23621,0.65393
2.54996,1.234,0.652365
2.56663,1.23225,0.650468
2.58329,1.23026,0.648784
2.59996,1.22797,0.647366
2.61663,1.22547,0.646158
2.63329,1.22274,0.645163
2.64996,1.21982,0.644366
2.66663,1.21669,0.643781
2.68329,1.21336,0.643393
2.69997,1.20984,0.643212
2.71663,1.20609,0.643272
2.7333,1.20212,0.64355
2.74997,1.19798,0.644034
2.76663,1.19144,0.646505
2.78329,1.18687,0.647483
2.79996,1.18214,0.648648
2.81663,1.17726,0.650009
2.8333,1.17222,0.651568
2.84996,1.16707,0.653278
2.86663,1.16178,0.655183
2.8833,1.15636,0.657265
2.89996,1.15081,0.659534
2.91663,1.14512,0.66199
