Time,Pos_Z,Output_Z
1.106e-06,-4.99293,-1.25883
0.0166237,-4.99298,-1.26882
0.0332939,-4.99301,-1.27886
0.0499529,-4.99306,-1.28886
0.0666254,-4.9931,-1.29888
0.0832915,-4.99325,-1.30876
0.0999091,-4.99433,-1.31744
0.116619,-4.99689,-1.32431
0.133291,-5.00111,-1.32905
0.149953,-5.00704,-1.3316
0.166628,-5.01467,-1.33196
0.183287,-5.02395,-1.33015
0.199955,-5.03483,-1.32626
0.216624,-5.04706,-1.32057
0.233285,-5.06051,-1.31321
0.249954,-5.07503,-1.30439
0.266625,-5.0904,-1.29435
0.283286,-5.11481,-1.27281
0.299954,-5.13174,-1.26041
0.316624,-5.14909,-1.24732
0.333287,-5.16672,-1.2337
0.349957,-5.18456,-1.21965
0.36662,-5.20254,-1.20524
0.383285,-5.22058,-1.19057
0.399957,-5.23863,-1.17572
0.41662,-5.25661,-1.16076
0.433288,-5.27449,-1.14576
0.449954,-5.29219,-1.1308
0.466623,-5.3097,-1.11591
0.48329,-5.32695,-1.10115
0.499954,-5.35237,-1.07599
0.516619,-5.36893,-1.06168
0.53329,-5.38518,-1.0476
0.549956,-5.4011,-1.03376
0.56665,-5.41666,-1.02024
0.583289,-5.43185,-1.00699
0.599957,-5.44665,-0.994101
0.616624,-5.46107,-0.981538
0.633285,-5.47509,-0.96933
0.649953,-5.48869,-0.957512
0.666622,-5.50189,-0.946067
0.683286,-5.51464,-0.935042
0.699953,-5.52698,-0.924411
0.716623,-5.54467,-0.906933
0.733285,-5.55594,-0.897345
0.749956,-5.56679,-0.888178
0.766622,-5.5772,-0.879445
0.783319,-5.58719,-0.871132
0.799956,-5.59677,-0.863232
0.81662,-5.60596,-0.855735
0.83329,-5.61474,-0.848651
0.849955,-5.62312,-0.841988
0.866618,-5.63111,-0.835726
0.883289,-5.63871,-0.829886
0.899953,-5.64593,-0.824432
0.916618,-5.65279,-0.819371
0.93329,-5.66239,-0.810789
0.949971,-5.66837,-0.806667
0.966626,-5.67401,-0.802902
0.983286,-5.67933,-0.799481
0.999952,-5.68434,-0.796406
1.01662,-5.68905,-0.793649
1.03329,-5.69347,-0.791213
1.04995,-5.6976,-0.789087
1.06662,-5.70147,-0.78726
1.08329,-5.70507,-0.785721
1.09996,-5.70843,-0.784455
1.11663,-5.71155,-0.783456
1.13329,-5.71581,-0.780995
1.14996,-5.71838,-0.780615
1.16662,-5.72075,-0.780457
1.18329,-5.72293,-0.780514
1.19995,-5.72493,-0.780775
1.21662,-5.72676,-0.781225
1.2333,-5.72843,-0.781861
1.24995,-5.72996,-0.78266
1.26662,-5.73134,-0.783626
1.28329,-5.73259,-0.784751
1.29995,-5.73371,-0.786017
1.3166,-5.73471,-0.787417
1.33329,-5.73561,-0.788944
1.34995,-5.73678,-0.790121
1.36662,-5.73745,-0.791908
1.38329,-5.73805,-0.793788
1.39995,-5.73856,-0.79576
1.41662,-5.73902,-0.797806
1.43329,-5.73941,-0.799923
1.44995,-5.73976,-0.802091
1.46662,-5.74006,-0.804316
1.48324,-5.74032,-0.806575
1.49995,-5.74055,-0.80889
1.51662,-5.74075,-0.811234
1.53329,-5.74093,-0.813605
1.54995,-5.74109,-0.816
1.56662,-5.7413,-0.818315
1.58329,-5.74144,-0.820732
1.59996,-5.74158,-0.823143
1.61662,-5.74172,-0.825551
1.63329,-5.74187,-0.82795
1.64995,-5.74203,-0.830331
1.66662,-5.74219,-0.832702
1.68329,-5.74238,-0.835051
1.69995,-5.74257,-0.837379
1.71662,-5.74279,-0.839684
1.73329,-5.74302,-0.841958
1.74995,-5.74328,-0.844202
1.76662,-5.74357,-0.846409
1.78329,-5.74388,-0.848584
1.79995,-5.7444,-0.850494
1.81662,-5.74478,-0.852571
1.83329,-5.7452,-0.854604
1.84996,-5.74564,-0.856592
1.86662,-5.74612,-0.858537
1.88329,-5.74663,-0.860434
1.89996,-5.74717,-0.862287
1.91662,-5.74775,-0.864092
1.93328,-5.74836,-0.865849
1.94996,-5.749,-0.867563
1.96663,-5.74967,-0.869228
1.98329,-5.75037,-0.87085
1.99995,-5.75111,-0.872427
2.01662,-5.75226,-0.873465
2.03329,-5.75307,-0.87493
2.04995,-5.75391,-0.876344
2.06662,-5.75478,-0.877713
2.08329,-5.75568,-0.879036
2.09995,-5.75661,-0.880314
2.11663,-5.75756,-0.881552
2.13329,-5.75854,-0.882744
2.14996,-5.75955,-0.88389
2.16663,-5.76059,-0.88499
2.18327,-5.76166,-0.886049
2.19996,-5.76274,-0.887076
2.21662,-5.76384,-0.888065
2.23327,-5.76553,-0.888302
2.24996,-5.76668,-0.889206
2.26662,-5.76785,-0.890076
2.28329,-5.76903,-0.89091
2.29996,-5.77023,-0.891714
2.31662,-5.77145,-0.892487
2.33329,-5.77268,-0.893231
2.34996,-5.77391,-0.89395
2.36662,-5.77516,-0.894642
2.38329,-5.77642,-0.895313
2.39996,-5.77769,-0.895959
2.41662,-5.77896,-0.89658
2.43329,-5.78025,-0.89718
2.44995,-5.78218,-0.896946
2.46662,-5.78348,-0.897497
2.48329,-5.78478,-0.898033
2.49995,-5.78608,-0.898553
2.51662,-5.78738,-0.899061
2.53329,-5.78868,-0.899557
2.54995,-5.78998,-0.900039
2.56662,-5.79128,-0.90051
2.58329,-5.79257,-0.90097
2.59995,-5.79387,-0.901421
2.61662,-5.79516,-0.901865
2.63329,-5.79644,-0.9023
2.64996,-5.79836,-0.901922
2.66662,-5.79965,-0.902329
2.68329,-5.80092,-0.90273
2.69995,-5.80219,-0.903127
2.71662,-5.80346,-0.903519
2.73329,-5.80472,-0.903905
2.74996,-5.80597,-0.904289
2.76662,-5.80721,-0.904668
2.78329,-5.80845,-0.905039
2.79995,-5.80968,-0.905409
2.81662,-5.8109,-0.905779
2.83329,-5.81212,-0.90615
2.84994,-5.81332,-0.906519
2.86662,-5.81451,-0.906891
2.88329,-5.81628,-0.906522
2.89995,-5.81746,-0.906882
2.91662,-5.81863,-0.907236
2.93329,-5.81979,-0.907588
2.94995,-5.82095,-0.907942
2.96663,-5.82209,-0.908297
2.98329,-5.82323,-0.908653
2.99995,-5.82435,-0.909012
3.01662,-5.82546,-0.909377
3.03329,-5.82656,-0.909739
3.04996,-5.82765,-0.9101
3.06661,-5.82874,-0.910463
3.08329,-5.82981,-0.910831
3.09996,-5.8314,-0.910541
3.11662,-5.83244,-0.910914
3.13329,-5.83348,-0.911289
3.14996,-5.83451,-0.911657
3.16662,-5.83554,-0.912019
3.18329,-5.83656,-0.912386
3.19995,-5.83757,-0.912756
3.21662,-5.83857,-0.913129
3.23329,-5.83955,-0.913509
3.24995,-5.84052,-0.913892
3.26662,-5.84148,-0.91428
3.28329,-5.84244,-0.914661
3.29995,-5.8434,-0.915034
3.31662,-5.84482,-0.914823
3.33329,-5.84575,-0.915205
3.34995,-5.84667,-0.915589
3.36662,-5.84759,-0.915976
3.38329,-5.84849,-0.916363
3.39996,-5.84939,-0.916757
3.41662,-5.85027,-0.917153
3.43329,-5.85114,-0.917555
3.44996,-5.85201,-0.917961
3.46662,-5.85286,-0.918371
3.48329,-5.8537,-0.918786
3.49995,-5.85453,-0.919203
3.51662,-5.85536,-0.919623
3.53329,-5.85661,-0.919505
3.54995,-5.85743,-0.9199
3.56662,-5.85825,-0.920297
3.58329,-5.85906,-0.920697
3.59996,-5.85986,-0.921101
3.61662,-5.86066,-0.921506
3.63329,-5.86144,-0.921915
3.64995,-5.86222,-0.922327
3.66662,-5.86299,-0.922731
3.68328,-5.86376,-0.923139
3.69995,-5.86452,-0.923551
3.71663,-5.86527,-0.923966
3.73329,-5.86637,-0.923923
3.74995,-5.8671,-0.924346
3.76662,-5.86782,-0.92477
3.78329,-5.86854,-0.925189
3.79995,-5.86925,-0.925612
3.81662,-5.86996,-0.926037
3.83329,-5.87065,-0.926468
3.84996,-5.87134,-0.926901
3.86662,-5.87201,-0.927336
3.88329,-5.87268,-0.927774
3.89995,-5.87335,-0.928211
3.91665,-5.87403,-0.928631
3.93329,-5.8747,-0.929046
3.94996,-5.8757,-0.929047
3.96662,-5.87636,-0.929462
3.98329,-5.87701,-0.929876
3.99991,-5.87766,-0.930284
4.01662,-5.87831,-0.930697
4.03329,-5.87896,-0.931101
4.04995,-5.87961,-0.9315
4.06663,-5.88025,-0.931899
4.08329,-5.88088,-0.932299
4.09995,-5.88151,-0.932699
4.11662,-5.88214,-0.933101
4.13329,-5.88276,-0.933501
4.14996,-5.88337,-0.933901
4.16658,-5.8843,-0.933901
4.18328,-5.88491,-0.934292
4.19996,-5.88552,-0.934679
4.21662,-5.88613,-0.935064
4.23329,-5.88673,-0.935446
4.24996,-5.88733,-0.935824
4.2666,-5.88793,-0.9362
4.28329,-5.88852,-0.936574
4.29995,-5.88912,-0.936941
4.31662,-5.88971,-0.93731
4.33329,-5.89029,-0.937679
4.34995,-5.89087,-0.938047
4.36662,-5.89145,-0.938414
4.38329,-5.89231,-0.938419
4.39995,-5.89288,-0.938778
4.41662,-5.89345,-0.939134
4.43329,-5.89402,-0.939488
4.44995,-5.89459,-0.93984
4.46662,-5.89515,-0.94019
4.48329,-5.8957,-0.94054
4.49996,-5.89625,-0.940891
4.51662,-5.8968,-0.941242
4.53329,-5.89735,-0.941592
4.54996,-5.89788,-0.941942
4.56662,-5.89842,-0.942289
4.58328,-5.89895,-0.942636
4.59995,-5.89948,-0.942981
4.61662,-5.90027,-0.942995
4.63329,-5.9008,-0.943334
4.64996,-5.90132,-0.94367
4.66662,-5.90184,-0.944012
4.68329,-5.90235,-0.944351
4.69995,-5.90286,-0.944687
4.71663,-5.90336,-0.945023
4.73329,-5.90387,-0.945355
4.74995,-5.90437,-0.945687
4.76663,-5.90487,-0.946017
