Time,Pos_Z,Output_Z
7.48e-07,-5.04966,-10
0.0166184,-5.04898,-1.20914
0.0332895,-5.04831,-1.22412
0.0499536,-5.04736,-1.24215
0.0666174,-5.04674,-1.25424
0.0832865,-5.04624,-1.26804
0.0999533,-5.04667,-1.27352
0.116622,-5.04857,-1.27208
0.133282,-5.05213,-1.267
0.149953,-5.05739,-1.25932
0.166618,-5.06438,-1.24903
0.183285,-5.07302,-1.23743
0.199949,-5.08316,-1.22508
0.216615,-5.09465,-1.21219
0.233287,-5.10727,-1.19974
0.249953,-5.1209,-1.18695
0.266616,-5.13527,-1.17528
0.283288,-5.15798,-1.08486
0.299984,-5.17367,-1.14109
0.31662,-5.18965,-1.13018
0.333287,-5.20584,-1.12043
0.349949,-5.22213,-1.11082
0.36662,-5.23847,-1.10163
0.383282,-5.25477,-1.09286
0.399949,-5.27096,-1.0847
0.41662,-5.287,-1.07687
0.433283,-5.30287,-1.06903
0.449954,-5.31853,-1.06178
0.466577,-5.33398,-1.05403
0.483283,-5.35671,-0.970765
0.499954,-5.37155,-1.03233
0.516616,-5.38614,-1.02563
0.533287,-5.40043,-1.01954
0.54995,-5.41445,-1.0133
0.566616,-5.42817,-1.00758
0.583286,-5.44159,-1.00201
0.599953,-5.45469,-0.996777
0.616618,-5.46746,-0.99188
0.633285,-5.47992,-0.986992
0.649902,-5.49205,-0.982086
0.66662,-5.50389,-0.978185
0.683283,-5.51544,-0.973399
0.699949,-5.53216,-0.912987
0.71662,-5.54295,-0.95997
0.733283,-5.55343,-0.956353
0.749949,-5.56362,-0.952853
0.76662,-5.57351,-0.949704
0.783283,-5.58312,-0.946459
0.799957,-5.59243,-0.943725
0.816617,-5.60144,-0.941274
0.833282,-5.61015,-0.938866
0.849954,-5.61859,-0.93671
0.866616,-5.62676,-0.934446
0.883282,-5.63467,-0.932453
0.899984,-5.64232,-0.930824
0.916616,-5.65335,-0.891599
0.933287,-5.6604,-0.923874
0.949949,-5.66723,-0.922438
0.966616,-5.67382,-0.92129
0.983285,-5.68018,-0.920174
0.999949,-5.68633,-0.919219
1.01662,-5.69224,-0.918656
1.03328,-5.69792,-0.918124
1.04995,-5.70338,-0.917739
1.06662,-5.70866,-0.917322
1.08328,-5.71374,-0.917007
1.09995,-5.71864,-0.916796
1.11662,-5.72336,-0.916669
1.13328,-5.73012,-0.893866
1.14995,-5.73443,-0.914659
1.16662,-5.73859,-0.914748
1.18328,-5.74261,-0.914928
1.19995,-5.74647,-0.915266
1.21662,-5.7502,-0.915619
1.23328,-5.75378,-0.91622
1.24995,-5.75721,-0.916927
1.26662,-5.76051,-0.917573
1.28329,-5.76369,-0.918284
1.29995,-5.76675,-0.918991
1.31661,-5.7697,-0.919787
1.33329,-5.77256,-0.920576
1.34995,-5.77665,-0.907609
1.36662,-5.77927,-0.920988
1.38329,-5.7818,-0.921898
1.39995,-5.78425,-0.922853
1.41662,-5.78663,-0.923699
1.43328,-5.78894,-0.924595
1.44995,-5.79118,-0.925613
1.46662,-5.79334,-0.926737
1.48328,-5.79543,-0.927836
1.49995,-5.79746,-0.928906
1.51662,-5.79943,-0.930016
1.53329,-5.80134,-0.931101
1.54996,-5.8032,-0.932229
1.56662,-5.8059,-0.924257
1.58328,-5.80764,-0.933572
1.59995,-5.80934,-0.934731
1.61662,-5.811,-0.93583
1.63328,-5.81262,-0.93696
1.64995,-5.81421,-0.93807
1.66662,-5.81576,-0.93922
1.68329,-5.81728,-0.940396
1.69995,-5.81877,-0.941503
1.71662,-5.82024,-0.942654
1.73329,-5.82168,-0.943738
1.74995,-5.82309,-0.94484
1.76662,-5.82449,-0.945958
1.78324,-5.82654,-0.939946
1.79995,-5.82789,-0.947336
1.81662,-5.82923,-0.948336
1.83328,-5.83055,-0.949365
1.84995,-5.83186,-0.950357
1.86662,-5.83315,-0.951375
1.88329,-5.83443,-0.952399
1.89995,-5.8357,-0.95339
1.91662,-5.83696,-0.954396
1.93328,-5.83822,-0.955237
1.94995,-5.83947,-0.956179
1.96657,-5.84071,-0.957063
1.98328,-5.84194,-0.958014
1.99995,-5.84378,-0.952613
2.01662,-5.845,-0.958999
2.03328,-5.84621,-0.959866
2.04995,-5.84743,-0.960611
2.06661,-5.84864,-0.961427
2.08329,-5.84984,-0.962248
2.09995,-5.85104,-0.963032
2.11661,-5.85223,-0.963835
2.13329,-5.85342,-0.964612
2.14995,-5.8546,-0.965364
2.16662,-5.85577,-0.966123
2.18328,-5.85695,-0.966799
2.19995,-5.85871,-0.961508
2.21662,-5.85987,-0.967468
2.23328,-5.86104,-0.968137
2.24995,-5.8622,-0.968774
2.26662,-5.86336,-0.969399
2.28329,-5.86452,-0.970022
2.29995,-5.86568,-0.970569
2.31662,-5.86684,-0.97113
2.33328,-5.86799,-0.971717
2.34995,-5.86914,-0.972297
2.36662,-5.87029,-0.972852
2.38329,-5.87143,-0.973382
2.39995,-5.87257,-0.973905
2.41662,-5.87371,-0.974415
2.43329,-5.87541,-0.969137
2.44995,-5.87653,-0.974714
2.46662,-5.87766,-0.975194
2.48329,-5.87877,-0.975665
2.49995,-5.87989,-0.97611
2.51662,-5.881,-0.976582
2.53328,-5.8821,-0.977032
2.54995,-5.88319,-0.97753
2.56662,-5.88427,-0.978007
2.58329,-5.88535,-0.978425
2.59995,-5.88642,-0.978829
2.61662,-5.88749,-0.979231
2.63328,-5.88856,-0.97963
2.64995,-5.89014,-0.974617
2.66662,-5.89119,-0.979757
2.68328,-5.89223,-0.980174
2.69995,-5.89327,-0.980542
2.71657,-5.89429,-0.980883
2.73328,-5.89531,-0.981283
2.74995,-5.89633,-0.98162
2.76662,-5.89734,-0.981971
2.78329,-5.89834,-0.982317
2.79995,-5.89932,-0.982719
2.81662,-5.9003,-0.983123
2.83329,-5.90127,-0.98345
2.84995,-5.90223,-0.983767
2.86662,-5.90367,-0.979199
2.88328,-5.90461,-0.983805
2.89995,-5.90556,-0.984113
2.91662,-5.9065,-0.984395
2.93329,-5.90745,-0.98444
2.94998,-5.9084,-0.984723
2.96662,-5.90934,-0.984954
2.98328,-5.91027,-0.985224
2.99995,-5.91119,-0.985473
3.01662,-5.91211,-0.985706
3.03329,-5.91302,-0.985955
3.04995,-5.91392,-0.986282
3.06662,-5.9148,-0.986603
3.08328,-5.9161,-0.982384
3.09995,-5.91697,-0.98655
3.11662,-5.91782,-0.986771
3.13329,-5.91867,-0.986992
3.14995,-5.91952,-0.987216
3.16662,-5.92036,-0.987422
3.18329,-5.92118,-0.987762
3.19995,-5.92198,-0.988003
3.21662,-5.92279,-0.988236
3.23329,-5.92358,-0.98845
3.24995,-5.92437,-0.988661
3.26662,-5.92515,-0.988875
3.28329,-5.92593,-0.98907
3.29995,-5.92709,-0.985323
3.31662,-5.92785,-0.988985
3.33328,-5.92861,-0.989173
3.34995,-5.92936,-0.989354
3.36662,-5.9301,-0.989535
3.38328,-5.93084,-0.989715
3.39995,-5.93157,-0.989907
3.41662,-5.93229,-0.990099
3.43328,-5.933,-0.990283
3.44995,-5.93371,-0.990465
3.46662,-5.93441,-0.990634
3.48329,-5.93511,-0.990809
3.49995,-5.93579,-0.990978
3.51661,-5.93681,-0.987669
3.53329,-5.93748,-0.990917
3.54995,-5.93815,-0.991011
3.56661,-5.93882,-0.991103
3.58329,-5.93949,-0.99125
3.59995,-5.94014,-0.991391
3.61662,-5.94079,-0.991547
3.63328,-5.94143,-0.991701
3.64995,-5.94206,-0.99186
3.66662,-5.94268,-0.992031
3.68328,-5.9433,-0.992145
3.69995,-5.94392,-0.992276
3.71662,-5.94452,-0.992424
3.73328,-5.94541,-0.989537
3.74995,-5.946,-0.992396
3.76662,-5.94658,-0.992535
3.78328,-5.94715,-0.992674
3.79995,-5.94772,-0.992776
3.81662,-5.94829,-0.992873
3.83328,-5.94885,-0.992993
3.84995,-5.9494,-0.99314
3.86662,-5.94995,-0.993265
3.88329,-5.95049,-0.993403
3.89995,-5.95102,-0.99353
3.91662,-5.95155,-0.993662
3.93329,-5.95207,-0.993801
3.94995,-5.95284,-0.991328
3.96662,-5.95334,-0.99378
3.98328,-5.95384,-0.993905
3.99995,-5.95433,-0.994025
4.01662,-5.95482,-0.994147
4.03328,-5.9553,-0.994279
4.04995,-5.95577,-0.99442
4.06662,-5.95623,-0.994578
4.08328,-5.95669,-0.994726
4.09995,-5.95714,-0.994873
4.11657,-5.95759,-0.994988
4.13328,-5.95802,-0.995143
4.14995,-5.95846,-0.99525
4.16662,-5.95911,-0.993161
4.18328,-5.95955,-0.995069
4.19995,-5.95998,-0.995172
4.21662,-5.96042,-0.995276
4.23328,-5.96084,-0.995372
4.24995,-5.96126,-0.995471
4.26662,-5.96168,-0.995575
4.28329,-5.96209,-0.995697
4.29995,-5.9625,-0.995805
4.31662,-5.9629,-0.995875
4.33329,-5.9633,-0.995985
4.34995,-5.96369,-0.996088
4.36662,-5.96407,-0.996195
4.38328,-5.96465,-0.994358
4.39995,-5.96502,-0.996191
4.41662,-5.96539,-0.996297
4.43329,-5.96578,-0.996129
4.44995,-5.96616,-0.99622
4.46662,-5.96654,-0.996295
4.48328,-5.96692,-0.996373
4.49995,-5.96728,-0.996464
4.51662,-5.96765,-0.996549
4.53329,-5.968,-0.99663
4.54995,-5.96835,-0.99671
4.56662,-5.96872,-0.996588
4.58329,-5.96926,-0.994841
4.59995,-5.96961,-0.996542
4.61662,-5.96996,-0.996615
4.63329,-5.9703,-0.996691
4.64995,-5.97063,-0.996765
4.66662,-5.97096,-0.99684
4.68329,-5.97128,-0.996937
4.69995,-5.9716,-0.997038
4.71662,-5.97191,-0.997131
4.73329,-5.97221,-0.997216
4.74995,-5.97251,-0.997305
4.76662,-5.9728,-0.997393
4.78328,-5.97323,-0.996012
4.79995,-5.97351,-0.997403
4.81662,-5.97379,-0.99749
4.83329,-5.97407,-0.997576
4.84996,-5.97434,-0.997657
4.86662,-5.9746,-0.997729
4.88331,-5.97487,-0.997824
4.89996,-5.97513,-0.997905
4.91662,-5.97538,-0.997985
4.93328,-5.97563,-0.998151
4.94996,-5.97586,-0.998317
4.96662,-5.97609,-0.998388
4.98329,-5.97633,-0.998464
4.99996,-5.97656,-0.998535
5.01662,-5.9769,-0.99743
5.03329,-5.97713,-0.998552
5.04995,-5.97736,-0.998608
5.06662,-5.97758,-0.998672
5.08329,-5.97781,-0.998749
5.09995,-5.97803,-0.998818
5.11662,-5.97825,-0.998894
5.13328,-5.97847,-0.998977
5.14995,-5.97868,-0.999042
5.16662,-5.9789,-0.999117
5.18328,-5.97911,-0.999121
5.19996,-5.97933,-0.999124
5.21662,-5.97955,-0.999175
5.23328,-5.97977,-0.99923
5.24995,-5.98009,-0.998177
5.26661,-5.9803,-0.999189
5.28328,-5.98052,-0.999232
5.29995,-5.98073,-0.999273
5.31664,-5.98094,-0.999256
5.33329,-5.98115,-0.999282
5.34995,-5.98136,-0.999323
5.36661,-5.98157,-0.999371
5.38329,-5.98178,-0.999412
5.39995,-5.98198,-0.999451
5.41662,-5.98218,-0.999482
5.43329,-5.98239,-0.999424
5.44995,-5.9826,-0.999361
5.46662,-5.98292,-0.99834
5.48328,-5.98312,-0.999321
5.49995,-5.98332,-0.999363
5.51662,-5.98352,-0.999401
5.53328,-5.98371,-0.99944
5.54995,-5.9839,-0.999492
5.56662,-5.98409,-0.999455
5.58328,-5.98427,-0.999511
5.59995,-5.98445,-0.999567
5.61662,-5.98463,-0.999617
5.63328,-5.9848,-0.999658
5.64995,-5.98497,-0.9997
5.66662,-5.98514,-0.999734
5.68328,-5.9854,-0.998827
5.69995,-5.98558,-0.999476
5.71662,-5.98576,-0.999499
5.73329,-5.98594,-0.999531
5.74998,-5.98611,-0.999557
5.76662,-5.98628,-0.999587
5.78329,-5.98644,-0.999633
5.79995,-5.9866,-0.999684
5.81662,-5.98674,-0.999921
5.83329,-5.98687,-0.999984
5.84995,-5.987,-1.00004
5.86662,-5.98713,-1.0001
5.88328,-5.98725,-1.00015
5.89995,-5.98744,-0.999581
5.91662,-5.98756,-1.00019
5.93329,-5.98768,-1.00019
5.94995,-5.98781,-1.00016
5.96662,-5.98794,-1.00021
5.98328,-5.98806,-1.00025
5.99995,-5.98818,-1.00029
6.01662,-5.98831,-1.00032
6.03329,-5.98843,-1.00037
6.04995,-5.98855,-1.00041
6.06662,-5.98867,-1.00032
6.08329,-5.9888,-1.00035
6.09995,-5.98893,-1.00039
6.11662,-5.98911,-0.999796
6.13329,-5.98923,-1.00039
6.14991,-5.98934,-1.00041
6.16661,-5.98946,-1.00046
6.18329,-5.98957,-1.00046
6.19995,-5.98969,-1.00045
6.21662,-5.9898,-1.00049
6.23328,-5.98992,-1.00052
6.24995,-5.99003,-1.00056
6.26662,-5.99013,-1.00059
6.28328,-5.99024,-1.00062
6.29995,-5.99034,-1.00066
6.31662,-5.99044,-1.00075
6.33328,-5.99057,-1.00038
6.34995,-5.99066,-1.00084
6.36662,-5.99075,-1.00088
6.38328,-5.99083,-1.00093
6.39995,-5.99091,-1.00098
6.41662,-5.99099,-1.00103
6.43329,-5.99108,-1.00103
6.44995,-5.99116,-1.001
6.46662,-5.99125,-1.00103
6.48329,-5.99134,-1.00105
6.49991,-5.99143,-1.00106
6.51662,-5.99152,-1.00109
6.53329,-5.99161,-1.00111
6.54995,-5.99174,-1.00069
6.56662,-5.99182,-1.00115
6.58328,-5.9919,-1.00117
6.59995,-5.99198,-1.0012
6.61662,-5.99206,-1.00122
6.63329,-5.99214,-1.00125
6.64995,-5.99222,-1.00128
6.66662,-5.9923,-1.00131
6.68323,-5.99237,-1.00134
6.69996,-5.99245,-1.00134
6.71662,-5.99252,-1.00137
6.73331,-5.9926,-1.0014
6.74995,-5.99268,-1.00141
6.76662,-5.99278,-1.00108
6.78328,-5.99286,-1.00143
6.79995,-5.99293,-1.00146
6.81662,-5.99299,-1.00152
6.83329,-5.99306,-1.00156
6.84995,-5.99312,-1.00159
6.86661,-5.99319,-1.00161
6.88329,-5.99325,-1.00165
6.89995,-5.99331,-1.00168
6.91662,-5.99337,-1.00171
6.93329,-5.99343,-1.00174
6.94995,-5.99349,-1.00177
6.96662,-5.99355,-1.0018
6.98329,-5.99364,-1.00152
6.99995,-5.9937,-1.0018
7.01662,-5.99376,-1.00182
7.03328,-5.99382,-1.00186
7.04996,-5.99388,-1.00188
7.06662,-5.99394,-1.00178
7.08328,-5.99401,-1.0018
7.09995,-5.99408,-1.00182
7.11662,-5.99414,-1.00184
7.13329,-5.99421,-1.00186
7.14995,-5.99427,-1.00189
7.16662,-5.99433,-1.00192
7.18329,-5.99438,-1.00194
7.19995,-5.99447,-1.00171
7.21662,-5.99452,-1.00197
7.23329,-5.99458,-1.00199
7.24995,-5.99463,-1.00201
7.26662,-5.99468,-1.00202
7.28329,-5.99474,-1.00203
7.29995,-5.99479,-1.00204
7.31662,-5.99485,-1.00203
7.33328,-5.9949,-1.00202
7.34995,-5.99496,-1.00203
7.36662,-5.99502,-1.00203
7.38328,-5.99507,-1.00204
7.39995,-5.99513,-1.00205
7.41662,-5.99521,-1.00177
7.43328,-5.99527,-1.00205
7.44995,-5.99532,-1.00208
7.46662,-5.99537,-1.0021
7.48329,-5.99541,-1.00211
7.49995,-5.99546,-1.00213
7.51662,-5.99551,-1.00215
7.53328,-5.99556,-1.00216
7.54995,-5.9956,-1.00218
7.56662,-5.99565,-1.00214
7.58329,-5.99571,-1.00209
7.59995,-5.99576,-1.00209
7.61662,-5.99582,-1.00208
7.63329,-5.9959,-1.00177
7.64995,-5.99596,-1.00201
7.66662,-5.99601,-1.002
7.68328,-5.99607,-1.00199
7.69995,-5.99614,-1.00189
7.71662,-5.9962,-1.00188
7.73329,-5.99626,-1.00188
7.74995,-5.99632,-1.00188
7.76662,-5.99638,-1.00188
7.78328,-5.99643,-1.00188
7.79995,-5.99649,-1.00187
7.81662,-5.99654,-1.0019
7.83329,-5.99659,-1.00193
