Time,Pos_Z,Output_Z
6.96e-07,-4.98257,-10
0.0166298,-4.9827,-1.23223
0.033296,-4.98282,-1.24741
0.049959,-4.983,-1.2607
0.0666319,-4.98312,-1.27771
0.0832943,-4.98335,-1.28922
0.0999598,-4.98452,-1.2752
0.11663,-4.98715,-1.24297
0.133293,-4.99144,-1.20348
0.149965,-4.99743,-1.16051
0.16663,-5.00513,-1.11467
0.183291,-5.01447,-1.06908
0.199961,-5.02532,-1.02552
0.216631,-5.03753,-0.984966
0.233293,-5.05081,-0.950725
0.249964,-5.06499,-0.921129
0.266627,-5.08732,-0.66355
0.283291,-5.10268,-0.867894
0.299964,-5.11816,-0.859326
0.316631,-5.13364,-0.853381
0.333294,-5.14903,-0.850795
0.349967,-5.16422,-0.851229
0.366628,-5.17911,-0.854704
0.383297,-5.19356,-0.862615
0.39996,-5.20762,-0.869457
0.416626,-5.22129,-0.876679
0.433297,-5.2346,-0.883102
0.449962,-5.24755,-0.889623
0.466626,-5.26643,-0.700354
0.483295,-5.27864,-0.896811
0.49996,-5.2906,-0.900512
0.516632,-5.30232,-0.904222
0.533295,-5.31381,-0.9076
0.549959,-5.32511,-0.910144
0.566631,-5.33614,-0.91487
0.583246,-5.34691,-0.918707
0.599966,-5.35748,-0.923687
0.616628,-5.36789,-0.924744
0.633292,-5.37814,-0.926313
0.649962,-5.38824,-0.92819
0.666632,-5.39822,-0.929125
0.683293,-5.41293,-0.778105
0.699961,-5.42257,-0.927452
0.716628,-5.43209,-0.928186
0.733295,-5.44149,-0.929269
0.749959,-5.45075,-0.9302
0.766626,-5.45988,-0.931626
0.783295,-5.46884,-0.934074
0.799961,-5.47758,-0.937724
0.816628,-5.48616,-0.940358
0.833266,-5.49459,-0.941677
0.849962,-5.5029,-0.944008
0.866635,-5.51108,-0.944833
0.883295,-5.51914,-0.946002
0.899961,-5.53099,-0.82537
0.916632,-5.53873,-0.946249
0.933294,-5.54635,-0.947532
0.94996,-5.55385,-0.948954
0.96663,-5.56123,-0.950509
0.983295,-5.56849,-0.951762
0.999965,-5.57559,-0.954356
1.01663,-5.58251,-0.95773
1.03329,-5.58929,-0.960091
1.04996,-5.59595,-0.961971
1.06663,-5.6025,-0.963341
1.0833,-5.60893,-0.964949
1.09996,-5.61526,-0.966431
1.11663,-5.62455,-0.872166
1.1333,-5.63061,-0.96708
1.14996,-5.63658,-0.968311
1.16663,-5.64245,-0.969581
1.1833,-5.64823,-0.970905
1.19996,-5.65391,-0.972074
1.21663,-5.65947,-0.974337
1.23329,-5.66488,-0.977264
1.24996,-5.67018,-0.979245
1.26663,-5.67539,-0.980753
1.28329,-5.68051,-0.981994
1.29996,-5.68555,-0.983182
1.31663,-5.69051,-0.984318
1.33329,-5.6978,-0.909916
1.34996,-5.70259,-0.984139
1.36663,-5.70731,-0.984641
1.3833,-5.71196,-0.985648
1.39996,-5.71654,-0.986616
1.41663,-5.72105,-0.98749
1.43329,-5.72546,-0.98913
1.44996,-5.72977,-0.991387
1.46663,-5.73399,-0.992877
1.4833,-5.73814,-0.993983
1.49996,-5.74222,-0.994878
1.51663,-5.74624,-0.995969
1.5333,-5.7502,-0.996966
1.54991,-5.75601,-0.937171
1.56663,-5.75981,-0.997504
1.5833,-5.76356,-0.998038
1.59996,-5.76725,-0.998609
1.61663,-5.7709,-0.99924
1.63329,-5.77449,-0.999981
