Time,Pos_Z,Output_Z
1.087e-06,-5.04933,-1.18834
0.0166208,-5.04865,-1.20342
0.0332893,-5.04798,-1.21852
0.0499563,-5.04733,-1.23363
0.0666227,-5.04668,-1.24873
0.0832873,-5.04604,-1.26383
0.0999535,-5.04588,-1.27835
0.11662,-5.04699,-1.29126
0.133288,-5.04971,-1.30214
0.149951,-5.05412,-1.31084
0.166621,-5.06394,-1.31269
0.183286,-5.07259,-1.31585
0.199955,-5.08273,-1.31701
0.216618,-5.09422,-1.31632
0.233285,-5.10692,-1.31394
0.249955,-5.12062,-1.31011
0.266618,-5.13522,-1.30494
0.283285,-5.15049,-1.2987
0.299955,-5.16635,-1.29151
0.316618,-5.1827,-1.28344
0.333285,-5.19943,-1.27467
0.349955,-5.21645,-1.26527
0.366637,-5.23367,-1.25539
0.383292,-5.25103,-1.24505
0.399964,-5.27719,-1.22339
0.416634,-5.29465,-1.21228
0.433296,-5.31205,-1.20097
0.449961,-5.32939,-1.18948
0.466625,-5.3466,-1.17791
0.483295,-5.36365,-1.16626
0.499975,-5.38053,-1.15459
0.51663,-5.39718,-1.14294
0.533296,-5.41359,-1.13134
0.549958,-5.42972,-1.11986
0.566625,-5.44556,-1.10848
0.583292,-5.46111,-1.09725
0.599952,-5.47633,-1.0862
0.616621,-5.49853,-1.06614
0.633291,-5.51288,-1.05561
0.649961,-5.52688,-1.04531
0.666625,-5.54051,-1.03527
0.68329,-5.55377,-1.02549
0.699958,-5.56666,-1.01598
0.716625,-5.57915,-1.00677
0.733292,-5.59127,-0.997838
0.749958,-5.60299,-0.989234
0.76662,-5.61433,-0.980929
0.783289,-5.62528,-0.972941
0.799951,-5.63584,-0.965284
0.816618,-5.64602,-0.957946
0.833289,-5.65581,-0.950948
0.849952,-5.6698,-0.938508
0.866622,-5.67866,-0.932323
0.883285,-5.68716,-0.926451
0.899951,-5.69531,-0.9209
0.916621,-5.7031,-0.915677
0.933286,-5.71055,-0.910763
0.949955,-5.71766,-0.90616
0.96662,-5.72445,-0.901857
0.983285,-5.73091,-0.897863
0.999957,-5.73705,-0.894177
1.01662,-5.74289,-0.890779
1.03329,-5.74842,-0.887679
1.04996,-5.75619,-0.881689
1.06662,-5.76101,-0.879283
1.08329,-5.76556,-0.877141
1.09991,-5.76986,-0.875248
1.11662,-5.7739,-0.873622
1.13329,-5.77771,-0.872224
1.14995,-5.78129,-0.871057
1.16663,-5.78465,-0.870114
1.18329,-5.7878,-0.869389
1.19995,-5.79074,-0.868866
1.21662,-5.7935,-0.868538
1.23328,-5.79607,-0.868402
1.24995,-5.79847,-0.868451
1.26662,-5.80069,-0.868678
1.28329,-5.80374,-0.867837
1.29996,-5.80558,-0.868462
1.31662,-5.80729,-0.86923
