Time,Pos_Z,Output_Z
7.82e-07,-4.97678,-1.22787
0.0166139,-4.97696,-1.24124
0.0332815,-4.97715,-1.25466
0.0499478,-4.97733,-1.26808
0.0666152,-4.97751,-1.2815
0.083287,-4.97769,-1.29492
0.0999454,-4.97833,-1.30777
0.116613,-4.98025,-1.31908
0.133284,-4.98376,-1.32844
0.149947,-4.98898,-1.33569
0.166613,-4.99591,-1.34081
0.183282,-5.00456,-1.34376
0.199931,-5.01477,-1.3447
0.216613,-5.03277,-1.33613
0.233281,-5.04627,-1.33273
0.249947,-5.0608,-1.32792
0.266616,-5.07622,-1.32183
0.28328,-5.09236,-1.31467
0.299946,-5.10914,-1.30653
0.316616,-5.12637,-1.29761
0.333281,-5.144,-1.28799
0.349949,-5.16192,-1.27778
0.366613,-5.18005,-1.26708
0.383279,-5.19831,-1.25598
0.399949,-5.21664,-1.24455
0.416613,-5.23499,-1.23285
0.433279,-5.26241,-1.20996
0.44995,-5.28058,-1.19787
0.466613,-5.2986,-1.18572
0.483281,-5.31645,-1.17354
0.499945,-5.33407,-1.16138
0.516611,-5.35148,-1.14926
0.533282,-5.36864,-1.1372
0.549899,-5.3855,-1.12525
0.566613,-5.40206,-1.11349
0.583286,-5.41827,-1.1019
0.599948,-5.43415,-1.09049
0.61662,-5.44969,-1.07929
0.633281,-5.46484,-1.06833
0.649948,-5.47965,-1.0576
0.666618,-5.50115,-1.0386
0.683282,-5.51501,-1.02853
0.699951,-5.52846,-1.01876
0.716612,-5.54153,-1.00928
0.733279,-5.55421,-1.00009
0.749953,-5.56648,-0.99123
0.766613,-5.57837,-0.982663
0.783281,-5.58984,-0.97444
0.799951,-5.60093,-0.966534
0.816613,-5.61161,-0.958961
0.833284,-5.62189,-0.95174
0.849952,-5.63178,-0.944848
0.866616,-5.64127,-0.9383
0.883284,-5.65482,-0.926733
0.899947,-5.66338,-0.921004
0.916613,-5.67159,-0.915588
0.933285,-5.67944,-0.910493
0.949948,-5.68695,-0.905715
0.966615,-5.69411,-0.901241
0.983283,-5.70094,-0.897079
0.99995,-5.70745,-0.893208
1.01662,-5.71365,-0.889637
1.03328,-5.71953,-0.886354
1.04995,-5.72511,-0.883355
1.06662,-5.7304,-0.88064
1.08328,-5.73541,-0.878189
1.09995,-5.74241,-0.873269
1.11661,-5.74676,-0.871459
1.13328,-5.75085,-0.869894
1.14995,-5.75471,-0.868562
1.16661,-5.75834,-0.867452
1.18328,-5.76175,-0.866561
1.19995,-5.76495,-0.865874
1.21661,-5.76795,-0.865393
1.23328,-5.77075,-0.865106
1.24995,-5.77337,-0.865004
1.26661,-5.77581,-0.865081
1.28328,-5.77808,-0.865325
1.29995,-5.7812,-0.86452
1.31662,-5.7831,-0.865147
1.33328,-5.78486,-0.865916
1.34995,-5.7865,-0.866811
1.36662,-5.78801,-0.867832
1.38328,-5.78941,-0.868963
1.39995,-5.79072,-0.87019
1.41662,-5.79194,-0.871511
1.43328,-5.79307,-0.872921
1.44995,-5.79411,-0.874423
1.46661,-5.79508,-0.876
1.48328,-5.79598,-0.877651
1.49995,-5.79681,-0.879372
1.51661,-5.79795,-0.880704
1.53328,-5.79866,-0.882533
1.54995,-5.79934,-0.884402
1.56662,-5.79998,-0.886312
1.58328,-5.80058,-0.888252
1.59995,-5.80115,-0.890226
1.61661,-5.80168,-0.892227
1.63328,-5.8022,-0.894244
1.64995,-5.8027,-0.896278
1.66661,-5.80319,-0.898316
1.68328,-5.80367,-0.900367
1.69995,-5.80414,-0.90242
1.71662,-5.8046,-0.904471
1.73328,-5.80506,-0.906519
1.74994,-5.80576,-0.908275
1.76662,-5.80623,-0.910299
1.78323,-5.80672,-0.912291
1.79995,-5.80721,-0.914284
1.81661,-5.80771,-0.91625
1.83328,-5.80822,-0.918191
1.84995,-5.80875,-0.92011
1.86661,-5.8093,-0.922
1.88328,-5.80986,-0.923863
1.89995,-5.81044,-0.925703
1.91661,-5.81104,-0.927509
1.93328,-5.81165,-0.929286
1.94995,-5.81229,-0.931024
1.96661,-5.81329,-0.932319
1.98328,-5.81399,-0.933965
1.99995,-5.81471,-0.935573
2.01661,-5.81546,-0.937144
2.03328,-5.81626,-0.938644
2.04995,-5.81707,-0.940107
2.06662,-5.81792,-0.941529
2.08328,-5.81878,-0.942916
2.09995,-5.81966,-0.944267
2.11662,-5.82057,-0.945582
2.13328,-5.82149,-0.946859
2.14995,-5.82244,-0.948097
2.16662,-5.82341,-0.949288
2.18328,-5.82492,-0.949826
2.19995,-5.82594,-0.950921
2.21661,-5.82699,-0.951977
2.23328,-5.82806,-0.952996
