Time,Pos_Z,Output_Z
7.15e-07,-5.04943,-0.950571
0.0166219,-5.04808,-0.951916
0.0332924,-5.04721,-0.952785
0.0499601,-5.04636,-0.953635
0.0666256,-5.04554,-0.954464
0.0832896,-5.04474,-0.955259
0.0999557,-5.04442,-0.95558
0.11662,-5.04539,-0.954612
0.133291,-5.04795,-0.952055
0.149955,-5.05211,-0.947889
0.166626,-5.05779,-0.942211
0.183294,-5.06481,-0.935187
0.199953,-5.07302,-0.92698
0.216623,-5.08216,-0.917844
0.233287,-5.09733,-0.902674
0.249953,-5.10819,-0.891812
0.266623,-5.11952,-0.880478
0.283286,-5.13123,-0.868765
0.299955,-5.14322,-0.856784
0.316618,-5.15541,-0.844594
0.333286,-5.16772,-0.832281
0.349956,-5.1801,-0.819896
0.366621,-5.1925,-0.807498
0.383288,-5.20486,-0.795136
0.399954,-5.21714,-0.782856
0.416619,-5.22931,-0.770688
0.433289,-5.24134,-0.758657
0.449953,-5.25905,-0.740948
0.466619,-5.27062,-0.729379
0.48329,-5.28195,-0.718045
0.499953,-5.29305,-0.706947
0.516623,-5.30388,-0.696119
0.53329,-5.31445,-0.685548
0.549953,-5.32475,-0.675247
0.566625,-5.33475,-0.665245
0.58329,-5.34447,-0.65553
0.599952,-5.35387,-0.646128
0.616624,-5.36297,-0.637025
0.633286,-5.37177,-0.628231
0.649956,-5.38024,-0.61976
0.66662,-5.39236,-0.607636
0.683286,-5.40005,-0.599952
0.699953,-5.40743,-0.592567
0.716619,-5.4145,-0.585499
0.733289,-5.42127,-0.578728
0.749959,-5.42775,-0.572254
0.766621,-5.43392,-0.56608
0.78329,-5.43981,-0.560194
0.799952,-5.44539,-0.554609
0.816619,-5.4507,-0.549302
0.83329,-5.45572,-0.544277
0.849955,-5.46047,-0.539533
0.866619,-5.46495,-0.535054
0.88329,-5.47117,-0.528826
0.899952,-5.47501,-0.524986
0.916623,-5.4786,-0.521395
0.93324,-5.48196,-0.518036
0.949952,-5.4851,-0.514896
0.966626,-5.48803,-0.51197
0.983287,-5.49074,-0.509257
0.999954,-5.49324,-0.506757
1.01662,-5.49554,-0.504455
1.03329,-5.49765,-0.502347
1.04996,-5.49958,-0.500424
1.06662,-5.50132,-0.498677
1.08329,-5.5029,-0.497102
1.09996,-5.50496,-0.495041
1.11662,-5.50614,-0.49386
1.13329,-5.50718,-0.49282
1.14995,-5.50808,-0.491918
1.16662,-5.50886,-0.491144
1.18329,-5.50951,-0.490491
1.19995,-5.51005,-0.489954
1.21662,-5.51049,-0.48951
1.23329,-5.51083,-0.489172
1.24996,-5.51107,-0.488929
1.26663,-5.51122,-0.488779
1.28328,-5.51129,-0.488713
1.29995,-5.51127,-0.488727
1.31662,-5.51111,-0.488888
1.33329,-5.51093,-0.489067
1.34995,-5.51069,-0.489311
1.36662,-5.51039,-0.489607
1.38329,-5.51004,-0.489957
1.39996,-5.50965,-0.490351
1.41662,-5.50921,-0.490788
1.43329,-5.50873,-0.491266
1.44996,-5.50822,-0.491776
1.46662,-5.50769,-0.492307
1.48329,-5.50714,-0.492863
1.49996,-5.50656,-0.493445
1.51662,-5.50595,-0.49405
1.53329,-5.50502,-0.494983
1.54995,-5.50438,-0.495624
1.56662,-5.50373,-0.496272
1.58329,-5.50307,-0.496925
1.59996,-5.50242,-0.497578
1.61663,-5.50176,-0.498236
1.63329,-5.5011,-0.498895
