Time,Pos_Z,Output_Z
7.28e-07,-4.98257,-10
0.0166343,-4.98271,-1.23381
0.0332977,-4.98285,-1.24893
0.0499645,-4.98299,-1.26406
0.0666312,-4.98313,-1.27918
0.0832976,-4.98327,-1.2942
0.099964,-4.98461,-1.2898
0.116632,-4.98726,-1.28235
0.133297,-4.99155,-1.26752
0.149971,-4.99756,-1.24992
0.166629,-5.00527,-1.22978
0.183296,-5.01462,-1.20901
0.199966,-5.02548,-1.18798
0.216633,-5.03771,-1.16727
0.233297,-5.05107,-1.14865
0.249966,-5.06542,-1.13074
0.266628,-5.08048,-1.11578
0.283301,-5.09612,-1.10229
0.299963,-5.12034,-0.957556
0.316629,-5.13678,-1.06764
0.333301,-5.15336,-1.05879
0.349962,-5.16996,-1.05083
0.366628,-5.18651,-1.04404
0.383298,-5.20297,-1.03795
0.399962,-5.21926,-1.0326
0.416632,-5.23529,-1.02901
0.433295,-5.25106,-1.02509
0.449962,-5.26657,-1.02176
0.466632,-5.28181,-1.01827
0.483295,-5.2968,-1.01472
0.499967,-5.3115,-1.01187
0.516631,-5.32595,-1.00854
0.533295,-5.34709,-0.892618
0.549966,-5.36085,-0.996639
0.566628,-5.37433,-0.994128
0.583336,-5.38754,-0.992034
0.599964,-5.4005,-0.98857
0.616632,-5.41317,-0.986898
0.633299,-5.42556,-0.985064
0.649963,-5.43761,-0.984063
0.666629,-5.44939,-0.982417
0.683299,-5.4609,-0.980758
0.699962,-5.47215,-0.97919
0.716631,-5.48316,-0.977582
0.733299,-5.4939,-0.976238
0.749964,-5.50959,-0.89061
0.76663,-5.51974,-0.968854
0.783296,-5.52966,-0.96753
0.799962,-5.53935,-0.966351
0.816632,-5.5488,-0.965454
0.833297,-5.55803,-0.964384
0.849964,-5.56701,-0.963969
0.866633,-5.57572,-0.964001
0.883296,-5.58418,-0.963802
0.899964,-5.59241,-0.963515
0.916628,-5.60044,-0.963058
0.933296,-5.60825,-0.962815
0.949967,-5.61961,-0.901892
0.966629,-5.62693,-0.959175
0.983322,-5.63407,-0.959148
0.999964,-5.64103,-0.958427
1.01663,-5.64782,-0.95851
1.0333,-5.65443,-0.958487
1.04996,-5.66085,-0.958677
1.06663,-5.66709,-0.958985
1.0833,-5.67315,-0.959296
1.09996,-5.67905,-0.959537
1.11663,-5.68479,-0.959766
1.1333,-5.69038,-0.960056
1.14996,-5.69583,-0.960302
1.16663,-5.70112,-0.960781
1.1833,-5.70879,-0.920255
1.19997,-5.71373,-0.959668
1.21663,-5.71854,-0.960101
1.2333,-5.72322,-0.960605
1.24997,-5.72779,-0.960918
1.26663,-5.73223,-0.961461
1.2833,-5.73655,-0.962213
1.29997,-5.74074,-0.962953
1.31663,-5.74482,-0.963652
1.3333,-5.74879,-0.964357
1.34997,-5.75265,-0.965056
1.36663,-5.75641,-0.965763
1.3833,-5.76186,-0.937375
1.39996,-5.76538,-0.965723
1.41663,-5.76881,-0.966421
1.4333,-5.77216,-0.967195
1.44996,-5.77542,-0.967874
1.46663,-5.7786,-0.968674
1.4833,-5.78168,-0.969731
1.49996,-5.78465,-0.971005
1.51663,-5.78754,-0.971964
1.5333,-5.79037,-0.972747
1.54996,-5.79313,-0.97355
1.56663,-5.79583,-0.974342
1.5833,-5.79847,-0.975081
1.59996,-5.80232,-0.955154
1.61663,-5.80482,-0.975514
1.6333,-5.80726,-0.976362
1.64997,-5.80966,-0.977061
1.66663,-5.812,-0.977754
1.68329,-5.81431,-0.978484
1.69997,-5.81656,-0.979242
1.71663,-5.81877,-0.980079
1.7333,-5.82093,-0.980829
1.74996,-5.82307,-0.98129
1.76663,-5.82517,-0.982001
1.7833,-5.82724,-0.982649
1.79996,-5.82927,-0.983311
1.81663,-5.83225,-0.96792
1.8333,-5.83421,-0.983607
1.84996,-5.83613,-0.984189
1.86663,-5.83803,-0.984752
