Time,Pos_Z,Output_Z
7.5e-07,-4.97662,-1.22806
0.0166208,-4.97687,-1.23966
0.033289,-4.97704,-1.2514
0.0499522,-4.9772,-1.26313
0.0666228,-4.97738,-1.27485
0.0832904,-4.97756,-1.28657
0.099954,-4.97819,-1.29773
0.11662,-4.98011,-1.30733
0.13329,-4.98363,-1.31499
0.149956,-4.98884,-1.32057
0.166625,-4.99576,-1.32403
0.183286,-5.00439,-1.32532
0.199952,-5.01464,-1.32459
0.216624,-5.02632,-1.322
0.233286,-5.04623,-1.30935
0.249955,-5.06079,-1.30292
0.266624,-5.07624,-1.29525
0.283287,-5.09239,-1.28655
0.299956,-5.10914,-1.27695
0.316645,-5.12635,-1.26659
0.333292,-5.14393,-1.25558
0.349959,-5.16178,-1.24405
0.366619,-5.17979,-1.2321
0.383287,-5.1979,-1.21983
0.399958,-5.21605,-1.20731
0.416619,-5.23418,-1.19459
0.433291,-5.25223,-1.18176
0.449955,-5.27016,-1.16887
0.466619,-5.29674,-1.14532
0.483291,-5.31423,-1.13244
0.499953,-5.33148,-1.11964
0.516624,-5.34848,-1.10694
0.533307,-5.36521,-1.09438
0.549953,-5.38163,-1.08197
0.566625,-5.39776,-1.06974
0.583241,-5.41354,-1.05771
0.599954,-5.42899,-1.04595
0.616621,-5.44408,-1.03442
0.633287,-5.45878,-1.02318
0.649957,-5.4731,-1.01222
0.666619,-5.48702,-1.00158
0.683285,-5.50056,-0.991243
0.699955,-5.5201,-0.973502
0.716622,-5.53263,-0.963993
0.733286,-5.54476,-0.95482
0.749958,-5.55647,-0.946008
0.76662,-5.5678,-0.937526
0.783291,-5.57871,-0.929407
0.799953,-5.58925,-0.921618
0.81662,-5.59939,-0.914176
0.83329,-5.60914,-0.907094
0.849954,-5.61851,-0.900362
0.866619,-5.62748,-0.893999
0.883293,-5.63607,-0.887981
0.899953,-5.64826,-0.877523
0.916624,-5.65594,-0.872369
0.933287,-5.66327,-0.867551
0.949955,-5.67024,-0.863074
0.966623,-5.67688,-0.858916
0.983239,-5.68319,-0.855067
0.999954,-5.68919,-0.851539
1.01662,-5.69487,-0.848306
1.03329,-5.70026,-0.845373
1.04996,-5.70535,-0.842731
1.06662,-5.71016,-0.840365
1.08328,-5.71471,-0.838261
1.09996,-5.72104,-0.83396
1.11662,-5.72495,-0.832502
1.13329,-5.72861,-0.831289
1.14995,-5.73205,-0.830309
1.16662,-5.73527,-0.829552
1.18329,-5.73828,-0.829013
1.19995,-5.7411,-0.828665
1.21662,-5.74373,-0.82852
1.23329,-5.74617,-0.828562
1.24995,-5.74844,-0.828782
1.26662,-5.75055,-0.829175
1.28329,-5.75251,-0.829726
1.29995,-5.75431,-0.830435
1.31662,-5.75598,-0.831289
1.33328,-5.75824,-0.831409
1.34996,-5.75961,-0.832587
1.36662,-5.76086,-0.833876
1.38329,-5.76202,-0.835268
1.39996,-5.76309,-0.836759
1.41662,-5.76407,-0.838342
1.43329,-5.76497,-0.840006
1.44996,-5.76581,-0.841741
1.46662,-5.76658,-0.84354
1.48329,-5.76729,-0.845407
1.49996,-5.76795,-0.847331
1.51662,-5.76856,-0.849302
1.53329,-5.76912,-0.85132
1.54995,-5.76991,-0.853068
1.56662,-5.77039,-0.855168
1.58329,-5.77086,-0.857286
1.59995,-5.7713,-0.859422
1.61662,-5.77173,-0.861576
1.63329,-5.77215,-0.863732
1.64996,-5.77256,-0.865899
1.66663,-5.77296,-0.868064
1.68329,-5.77336,-0.870228
1.69996,-5.77377,-0.872379
1.71662,-5.77419,-0.874518
1.73329,-5.77461,-0.876645
1.74996,-5.77504,-0.878754
1.76662,-5.77548,-0.880844
1.78329,-5.77618,-0.88263
1.79996,-5.77666,-0.884662
1.81662,-5.77717,-0.886649
1.83329,-5.77772,-0.888587
1.84995,-5.77828,-0.890498
1.86662,-5.77887,-0.892375
1.88329,-5.77948,-0.894223
1.89995,-5.78011,-0.89604
