Time,Pos_Z,Output_Z
7.02e-07,-5.04987,-10
0.0165626,-5.04919,-1.2068
0.033273,-5.04853,-1.22175
0.0499422,-5.04788,-1.23677
0.0666132,-5.04725,-1.2518
0.0832827,-5.04662,-1.26682
0.0999433,-5.04612,-1.28099
0.116608,-5.04655,-1.28921
0.133277,-5.05003,-1.28078
0.149939,-5.05445,-1.28383
0.166606,-5.06059,-1.28001
0.183277,-5.06841,-1.27417
0.199939,-5.07782,-1.26676
0.216606,-5.08871,-1.25804
0.233278,-5.10083,-1.24912
0.249944,-5.11403,-1.2395
0.266611,-5.12815,-1.22949
0.283227,-5.14299,-1.21925
0.299942,-5.15845,-1.20957
0.316613,-5.17434,-1.19942
0.333274,-5.19879,-1.12955
0.349941,-5.21536,-1.16814
0.366609,-5.23205,-1.15815
0.383273,-5.24879,-1.14828
0.399944,-5.26554,-1.13852
0.416606,-5.28224,-1.12877
0.433273,-5.29883,-1.11935
0.449943,-5.31526,-1.11016
0.466606,-5.3315,-1.10114
0.483272,-5.34754,-1.09224
0.499943,-5.36333,-1.08366
0.516606,-5.37888,-1.07502
0.533276,-5.39418,-1.06668
0.549939,-5.4092,-1.05857
0.566606,-5.43118,-0.997966
0.583276,-5.44545,-1.03485
0.599943,-5.45942,-1.02739
0.616606,-5.47306,-1.02033
0.633276,-5.48639,-1.01338
0.649942,-5.49939,-1.00662
0.66661,-5.51205,-1.00034
0.683273,-5.52436,-0.994229
0.699941,-5.53631,-0.988524
0.71661,-5.54793,-0.982838
0.733274,-5.55922,-0.977371
0.749943,-5.57017,-0.972298
0.766606,-5.5808,-0.967273
0.783272,-5.5961,-0.926284
0.799943,-5.60591,-0.953014
0.816558,-5.61539,-0.948737
0.833273,-5.62457,-0.945134
0.849944,-5.63344,-0.941292
0.866615,-5.64201,-0.937836
0.883276,-5.65028,-0.934564
0.89994,-5.65825,-0.931617
0.916606,-5.66595,-0.92872
0.933276,-5.67335,-0.926144
0.94994,-5.68048,-0.923742
0.966637,-5.68734,-0.921585
0.983275,-5.69394,-0.91945
0.99994,-5.70336,-0.895268
1.01661,-5.70933,-0.912948
1.03328,-5.71509,-0.911305
1.04994,-5.72062,-0.910021
1.06661,-5.72592,-0.908924
1.08327,-5.73101,-0.907931
1.09994,-5.73587,-0.907172
1.11661,-5.74052,-0.906575
1.13327,-5.74497,-0.906099
1.14994,-5.74922,-0.905779
1.16661,-5.75327,-0.905559
1.18328,-5.75715,-0.905458
1.19994,-5.76087,-0.905443
1.21661,-5.76613,-0.893104
1.23328,-5.76944,-0.904133
