Time,Pos_Z,Output_Z
6.66e-07,-4.98192,-10
0.0166375,-4.98207,-1.23588
0.033298,-4.98222,-1.25094
0.0499686,-4.98237,-1.26606
0.0666355,-4.98258,-1.28065
0.0832989,-4.98284,-1.29535
0.0999667,-4.98401,-1.3037
0.116634,-4.98667,-1.30684
0.133297,-4.99097,-1.30689
0.149964,-4.99699,-1.30455
0.166635,-5.00471,-1.30003
0.183297,-5.01412,-1.29343
0.199969,-5.02504,-1.28608
0.216631,-5.03732,-1.27761
0.233299,-5.05082,-1.26846
0.249969,-5.06531,-1.25926
0.266629,-5.08068,-1.24943
0.283295,-5.10493,-1.18065
0.299968,-5.12173,-1.21852
0.31663,-5.13886,-1.20902
0.333302,-5.15623,-1.19956
0.349967,-5.17376,-1.19001
0.36663,-5.19138,-1.18061
0.3833,-5.20901,-1.17145
0.399965,-5.22658,-1.16239
0.41663,-5.24407,-1.15336
0.433298,-5.26142,-1.14463
0.449965,-5.27861,-1.13587
0.466633,-5.29561,-1.12739
0.483296,-5.3124,-1.11885
0.499963,-5.33714,-1.05158
0.516633,-5.35332,-1.09343
0.533296,-5.36926,-1.08527
0.549964,-5.38489,-1.07769
0.566632,-5.40024,-1.07014
0.583299,-5.41526,-1.06291
0.599969,-5.42997,-1.05584
0.61663,-5.44433,-1.04906
0.633296,-5.45834,-1.04263
0.649969,-5.47201,-1.03631
0.666631,-5.48533,-1.03023
0.683301,-5.49832,-1.02429
0.699963,-5.51097,-1.01848
0.716631,-5.5293,-0.969643
0.733298,-5.54111,-1.00157
0.749964,-5.55258,-0.996647
0.76663,-5.56373,-0.991852
0.783299,-5.57454,-0.987314
0.799963,-5.58505,-0.982868
0.816635,-5.59522,-0.978806
0.833296,-5.60505,-0.975041
0.849977,-5.61456,-0.971468
0.866633,-5.62375,-0.968015
0.883296,-5.63264,-0.964734
0.899962,-5.64122,-0.961714
0.916632,-5.64951,-0.95891
0.933299,-5.6614,-0.928131
0.949967,-5.66898,-0.949961
0.966629,-5.67629,-0.947689
0.983296,-5.68333,-0.945677
0.999966,-5.69012,-0.94376
1.01663,-5.69666,-0.941987
1.0333,-5.70294,-0.940462
1.04997,-5.70898,-0.939158
1.06663,-5.71477,-0.937963
1.0833,-5.72033,-0.936902
1.09996,-5.72568,-0.93595
1.11663,-5.73081,-0.935164
1.1333,-5.73574,-0.934472
1.14996,-5.74276,-0.917335
1.16663,-5.74722,-0.93125
1.1833,-5.7515,-0.930962
1.19996,-5.7556,-0.930768
1.21663,-5.75953,-0.930704
1.2333,-5.76331,-0.930697
1.24996,-5.76692,-0.930847
1.26663,-5.77038,-0.931119
1.2833,-5.77371,-0.931293
1.29997,-5.7769,-0.931692
1.31663,-5.77996,-0.9321
1.3333,-5.7829,-0.932637
1.34997,-5.78571,-0.933216
1.36663,-5.78972,-0.924413
1.38329,-5.79226,-0.933308
1.39997,-5.7947,-0.934086
1.41663,-5.79704,-0.934898
1.4333,-5.7993,-0.935737
1.44996,-5.80148,-0.93664
1.46663,-5.80357,-0.937579
1.4833,-5.80558,-0.9386
1.49996,-5.80751,-0.939646
1.51663,-5.80937,-0.940683
1.5333,-5.81117,-0.941765
1.54996,-5.81291,-0.942836
1.56663,-5.8146,-0.943953
1.58328,-5.81703,-0.9393
1.59996,-5.81859,-0.945408
1.61663,-5.8201,-0.946564
1.6333,-5.82158,-0.947694
1.64996,-5.82303,-0.948834
1.66664,-5.82444,-0.949947
1.6833,-5.82582,-0.951123
1.69997,-5.82717,-0.952334
1.71663,-5.82849,-0.953493
1.7333,-5.82978,-0.95468
1.74997,-5.83105,-0.955823
1.76663,-5.83229,-0.956994
1.7833,-5.83411,-0.953865
1.79996,-5.8353,-0.958693
1.81663,-5.83648,-0.959839
1.8333,-5.83764,-0.960949
1.84996,-5.83879,-0.96207
1.86663,-5.83994,-0.963156
1.8833,-5.84107,-0.96425
1.89996,-5.8422,-0.965287
1.91663,-5.84333,-0.96627
1.9333,-5.84446,-0.967303
1.94996,-5.84558,-0.968301
1.96663,-5.8467,-0.969301
1.9833,-5.84837,-0.966254
1.99996,-5.84948,-0.970534
2.01663,-5.85059,-0.971456
2.0333,-5.85171,-0.972323
2.04997,-5.85283,-0.973205
2.06663,-5.85395,-0.974046
2.0833,-5.85506,-0.974894
2.09997,-5.85618,-0.97574
2.11663,-5.85729,-0.976532
2.1333,-5.85841,-0.977324
2.14997,-5.85953,-0.978082
2.16663,-5.86066,-0.978762
2.1833,-5.86236,-0.975386
2.19996,-5.8635,-0.979461
2.21663,-5.86463,-0.98013
2.2333,-5.86577,-0.980764
2.24997,-5.86691,-0.981395
2.26663,-5.86806,-0.981992
2.2833,-5.86919,-0.982635
2.29996,-5.87033,-0.983252
2.31663,-5.87146,-0.983841
2.3333,-5.87259,-0.984418
2.34996,-5.87372,-0.984975
2.36663,-5.87484,-0.985523
2.3833,-5.87597,-0.986055
2.39996,-5.87709,-0.986558
2.41663,-5.8782,-0.987147
2.4333,-5.87987,-0.983633
2.44997,-5.88097,-0.98744
2.46663,-5.88208,-0.987883
2.48329,-5.88319,-0.988325
2.49996,-5.88429,-0.988747
2.51663,-5.8854,-0.989149
2.5333,-5.8865,-0.989553
2.54996,-5.8876,-0.989951
2.56663,-5.8887,-0.990338
2.5833,-5.88979,-0.990712
2.59996,-5.89088,-0.991065
2.61663,-5.89196,-0.991416
2.6333,-5.89305,-0.991744
2.64997,-5.89466,-0.988207
2.66664,-5.89573,-0.991774
2.6833,-5.89679,-0.992065
2.69996,-5.89786,-0.992354
2.71663,-5.89892,-0.992625
2.73329,-5.89997,-0.992881
2.74996,-5.90102,-0.993143
2.76663,-5.90207,-0.993411
2.7833,-5.90311,-0.993636
2.79997,-5.90415,-0.993843
2.81663,-5.90518,-0.994069
2.8333,-5.90621,-0.994295
2.84997,-5.90723,-0.99452
2.86663,-5.90824,-0.994726
2.8833,-5.90975,-0.99133
2.89997,-5.91074,-0.994584
2.91663,-5.91171,-0.994808
2.9333,-5.91268,-0.995013
2.94996,-5.91364,-0.995213
2.96663,-5.9146,-0.995414
2.9833,-5.91554,-0.995614
2.99996,-5.91647,-0.995801
3.01664,-5.9174,-0.995995
3.0333,-5.91832,-0.996164
3.04996,-5.91923,-0.996328
3.06663,-5.92013,-0.996495
3.08325,-5.92103,-0.996631
3.09997,-5.92236,-0.993629
3.11663,-5.92324,-0.996432
3.1333,-5.92412,-0.996559
3.14997,-5.92498,-0.996705
3.16663,-5.92582,-0.997023
3.1833,-5.92664,-0.997169
3.19997,-5.92746,-0.997327
3.21663,-5.92827,-0.997476
3.23329,-5.92908,-0.997621
3.24997,-5.92988,-0.997771
3.26658,-5.93067,-0.997883
3.2833,-5.93146,-0.99803
3.29997,-5.93224,-0.998122
3.31663,-5.9334,-0.995461
3.3333,-5.93417,-0.997913
3.34996,-5.93493,-0.998024
3.36663,-5.93568,-0.998136
3.3833,-5.93642,-0.998241
3.39996,-5.93716,-0.998349
3.41663,-5.93791,-0.998355
3.4333,-5.93864,-0.99846
3.44996,-5.93936,-0.998557
3.46663,-5.94008,-0.998655
3.4833,-5.94079,-0.998745
3.49997,-5.94149,-0.998836
3.51664,-5.94218,-0.998924
3.5333,-5.94321,-0.996562
3.54997,-5.94388,-0.998721
3.56658,-5.94454,-0.998787
3.58329,-5.9452,-0.998907
3.59996,-5.94585,-0.998983
3.61663,-5.94649,-0.999062
3.6333,-5.94712,-0.999159
3.64996,-5.94774,-0.999255
3.66663,-5.94837,-0.999224
3.6833,-5.94899,-0.999315
3.69996,-5.9496,-0.999408
3.71663,-5.9502,-0.999508
3.7333,-5.95079,-0.999606
3.74996,-5.95166,-0.997619
3.76663,-5.95223,-0.999444
3.78329,-5.95279,-0.99955
3.79996,-5.95334,-0.999664
3.81664,-5.95388,-0.999746
3.83333,-5.95441,-0.999824
3.84996,-5.95494,-0.999896
3.86663,-5.95547,-1
3.8833,-5.95598,-1.00009
3.89997,-5.95649,-1.00019
3.91663,-5.95699,-1.00022
3.93331,-5.95749,-1.00032
3.94997,-5.95798,-1.00041
3.96663,-5.9587,-0.998797
3.98329,-5.95917,-1.00034
3.99997,-5.95964,-1.00044
4.01663,-5.96009,-1.00053
4.0333,-5.96055,-1.00058
4.04996,-5.96101,-1.00061
4.06663,-5.96146,-1.0007
4.0833,-5.9619,-1.00079
4.09996,-5.96234,-1.00087
4.11663,-5.96277,-1.00095
4.1333,-5.96319,-1.00104
4.14996,-5.96361,-1.00112
4.16662,-5.96402,-1.00123
4.1833,-5.96461,-0.99993
4.19997,-5.96501,-1.0012
4.21663,-5.96539,-1.00128
4.2333,-5.96578,-1.00137
4.24997,-5.96616,-1.00145
4.26663,-5.96653,-1.00153
4.2833,-5.96691,-1.00156
4.29997,-5.96729,-1.00157
4.31663,-5.96767,-1.00165
4.3333,-5.96804,-1.00172
4.34996,-5.9684,-1.0018
4.36663,-5.96876,-1.00186
4.3833,-5.96929,-1.00065
4.39996,-5.96964,-1.00178
4.41663,-5.97,-1.00177
4.4333,-5.97035,-1.00181
4.44992,-5.9707,-1.00186
4.46663,-5.97105,-1.00192
4.4833,-5.97138,-1.00197
4.49996,-5.97172,-1.00202
4.51663,-5.97205,-1.00208
4.5333,-5.97237,-1.00213
4.54996,-5.97271,-1.00206
